city,labor_type,n_shops,mean_min,median_min,std_min,p75_min,p85_min,p90_min
1,2.0,0,63.00369575481915,54.0,42.12653873102241,75.08333333333333,93.0,107.45666666666668
1,3.0,28,58.613183432539685,57.0,38.01451457412215,78.0,91.0,104.075
1,4.0,7,42.51396835443038,43.0,34.91070747106676,59.7,70.01,75.45000000000002
1,5.0,5,118.15384615384616,76.0,107.80216923748655,218.0,231.79999999999998,255.20000000000002
1,6.0,19,409.660752688172,208.0,463.74390380152136,486.0,1174.2,1251.8
1,7.0,1,0.0,0.0,,0.0,0.0,0.0
1,8.0,3,97.42857142857143,66.0,76.26239165507715,139.5,174.39999999999998,190.60000000000002
1,9.0,3,29.571428571428573,1.0,37.6955220278534,60.0,67.1,73.4
1,10.0,1,119.5,119.5,7.7781745930520225,122.25,123.35,123.9
1,11.0,0,42.0,42.0,45.881835808333314,60.0,110.99999999999987,120.0
1,12.0,0,106.7362680845839,101.0,53.747019263629326,128.0,144.0,157.0
1,13.0,4,166.44761904761904,182.0,73.41480842758563,219.3125,226.5975,234.365
1,14.0,3,95.62166666666667,84.95833333333334,61.091495361920515,124.025,146.95416666666665,160.78666666666663
1,16.0,5,4.0287037037037035,0.0,13.859194765261297,1.0,1.0,6.0
1,21.0,6,151.75,37.0,314.06372399128287,120.75,186.34999999999994,285.9000000000001
1,25.0,4,162.5090909090909,132.0,140.33506656958875,233.5,272.5,308.0
1,27.0,0,202.0,202.0,,202.0,202.0,202.0
1,30.0,1,1349.0,1349.0,,1349.0,1349.0,1349.0
1,31.0,1,176.83333333333334,117.5,160.29524842198742,318.75,376.0,376.0
1,35.0,1,60.0,60.0,,60.0,60.0,60.0
1,67.0,1,193.87777777777777,245.58333333333334,90.82978025670592,246.31666666666666,246.61,246.7566666666667
1,69.0,2,81.22999999999999,65.0,69.84564768115476,99.0,135.79999999999998,154.20000000000002
1,71.0,1,0.0,0.0,,0.0,0.0,0.0
1,77.0,1,454.0,454.0,,454.0,454.0,454.0
1,79.0,2,214.0,214.0,98.99494936611666,249.0,263.0,270.0
1,80.0,1,120.5,120.5,170.41273426595797,180.75,204.85,216.9
1,81.0,1,246.0,246.0,,246.0,246.0,246.0
1,84.0,4,207.0611111111111,90.0,387.53789635480956,137.0,156.2,374.6000000000002
1,85.0,5,62.94444444444445,49.43333333333333,71.31550452170401,104.71666666666667,124.2,139.4
1,86.0,1,618.6666666666666,325.0,583.8067602668997,808.0,1001.1999999999999,1097.8
1,123.0,1,803.7666666666667,803.7666666666667,640.3087605904583,1030.15,1120.7033333333334,1165.98
1,125.0,1,442.0,442.0,,442.0,442.0,442.0
1,129.0,2,0.0,0.0,0.0,0.0,0.0,0.0
