service_id,labor_id,labor_type,labor_name,labor_category,labor_price,labor_created_at,labor_start_date,labor_end_date,alfred,shop,created_at,schedule_date,client_type,paying_customer,state_service,start_address_id,start_address_point,end_address_id,end_address_point,city,address_id,address_point,address_name
79272,139791.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,35000.0,2023-01-10 19:00:23.986000+00:00,2025-09-11 11:36:00,2025-09-11 13:03:00,23475.0,,2023-01-10 19:00:23.785000+00:00,2025-09-11 12:00:00,B2C,32243.0,COMPLETED,46482.0,POINT (-75.59561889999999 6.2485196),46482.0,POINT (-75.59561889999999 6.2485196),1,31479.0,POINT (-75.5587931 6.227465599999999),apto
79272,139793.0,2.0,Alfred Transport,VEHICLE_TRANSPORTATION,35000.0,2023-01-10 19:00:24.455000+00:00,2025-09-11 13:03:00,2025-09-11 13:26:00,23475.0,,2023-01-10 19:00:23.785000+00:00,2025-09-11 12:00:00,B2C,32243.0,COMPLETED,46482.0,POINT (-75.59561889999999 6.2485196),46482.0,POINT (-75.59561889999999 6.2485196),1,31479.0,POINT (-75.5587931 6.227465599999999),apto
79272,140111.0,16.0,Tanqueo Terpel (Corriente),OTHER_LABORS,200041.0,2023-01-11 21:23:33.600000+00:00,2025-09-11 13:03:00,2025-09-11 13:03:00,,342.0,2023-01-10 19:00:23.785000+00:00,2025-09-11 12:00:00,B2C,32243.0,COMPLETED,46482.0,POINT (-75.59561889999999 6.2485196),46482.0,POINT (-75.59561889999999 6.2485196),1,11197.0,POINT (-75.5695385 6.2226085),TERPEL LOS TOTES MED
79272,139792.0,3.0,Wash and Polish,WASH_AND_POLISH,20900.0,2023-01-10 19:00:24.234000+00:00,2025-09-11 13:26:00,2025-09-11 13:57:00,,643.0,2023-01-10 19:00:23.785000+00:00,2025-09-11 12:00:00,B2C,32243.0,COMPLETED,46482.0,POINT (-75.59561889999999 6.2485196),46482.0,POINT (-75.59561889999999 6.2485196),1,33695.0,POINT (-75.56576609999999 6.2008911),Shop -
79272,140119.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,35000.0,2023-01-11 21:37:09.372000+00:00,2025-09-11 13:57:00,2025-09-11 15:00:00,23475.0,,2023-01-10 19:00:23.785000+00:00,2025-09-11 12:00:00,B2C,32243.0,COMPLETED,46482.0,POINT (-75.59561889999999 6.2485196),46482.0,POINT (-75.59561889999999 6.2485196),1,31479.0,POINT (-75.5587931 6.227465599999999),apto
80672,142027.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,40000.0,2023-01-19 22:21:41.264000+00:00,2025-09-11 11:38:00,2025-09-11 12:40:00,9480.0,,2023-01-19 22:21:40.999000+00:00,2025-09-11 12:30:00,B2B,20831.0,COMPLETED,50009.0,POINT (-75.562131 6.188683),4849.0,POINT (-75.5697983 6.227549600000001),1,14935.0,POINT (-75.5838536 6.2255503),Casa
80935,142510.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,35000.0,2023-01-23 15:28:54.745000+00:00,2025-09-11 13:13:00,2025-09-11 14:41:00,4555.0,,2023-01-23 15:28:54.563000+00:00,2025-09-11 14:00:00,B2C,18679.0,COMPLETED,46374.0,POINT (-75.60240879999999 6.1593054),46374.0,POINT (-75.60240879999999 6.1593054),1,,,
80935,142511.0,3.0,Wash and Polish,WASH_AND_POLISH,20900.0,2023-01-23 15:28:54.963000+00:00,2025-09-11 14:41:00,2025-09-11 16:00:00,,660.0,2023-01-23 15:28:54.563000+00:00,2025-09-11 14:00:00,B2C,18679.0,COMPLETED,46374.0,POINT (-75.60240879999999 6.1593054),46374.0,POINT (-75.60240879999999 6.1593054),1,39882.0,POINT (-75.5692949 6.166495299999999),Auto Spa La Sebastiana
80935,142512.0,2.0,Alfred Transport,VEHICLE_TRANSPORTATION,35000.0,2023-01-23 15:28:55.161000+00:00,2025-09-11 16:00:00,2025-09-11 16:58:00,4555.0,,2023-01-23 15:28:54.563000+00:00,2025-09-11 14:00:00,B2C,18679.0,COMPLETED,46374.0,POINT (-75.60240879999999 6.1593054),46374.0,POINT (-75.60240879999999 6.1593054),1,,,
81005,142636.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,40000.0,2023-01-23 20:19:28.043000+00:00,2025-09-11 11:54:00,2025-09-11 13:31:00,21323.0,,2023-01-23 20:19:27.730000+00:00,2025-09-11 13:00:00,B2B,26110.0,COMPLETED,50208.0,POINT (-75.57961300000001 6.2183451),4975.0,POINT (-75.57055969999999 6.220259),1,27911.0,POINT (-75.55957269999999 6.2917589),casa
81201,142943.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,40000.0,2023-01-24 22:45:28.772000+00:00,2025-09-11 13:48:00,2025-09-11 15:13:00,9480.0,,2023-01-24 22:45:28.526000+00:00,2025-09-11 14:30:00,B2B,26595.0,COMPLETED,50390.0,POINT (-75.55660486221313 6.2167136870629145),50365.0,POINT (-75.5861129 6.184187700000001),1,14935.0,POINT (-75.5838536 6.2255503),Casa
