service_id,labor_id,labor_type,labor_name,labor_category,schedule_date,shop,alfred,labor_start_date,labor_end_date,address_id,address_point,address_name,start_address_id,start_address_point,end_address_id,end_address_point,city,state_service
256441,370341.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-07-23 11:00:00-05:00,,11988.0,2025-07-23 09:27:00-05:00,2025-07-23 11:48:00-05:00,20721.0,POINT (-74.0286017 4.9203296),casa,146498.0,POINT (-74.1061023 4.6595331),146498.0,POINT (-74.1061023 4.6595331),149,IN_PROGRESS
256441,352680.0,6.0,General Mechanics,GENERAL_MECHANICS,2025-07-23 11:00:00-05:00,855.0,,2025-07-23 11:48:00-05:00,2025-07-24 16:16:20-05:00,59037.0,POINT (-74.075518 4.6209114),Sr. Ruedas,146498.0,POINT (-74.1061023 4.6595331),146498.0,POINT (-74.1061023 4.6595331),149,IN_PROGRESS
256441,370907.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-07-23 11:00:00-05:00,,10449.0,2025-07-24 16:16:20-05:00,2025-07-24 17:31:45-05:00,16682.0,POINT (-74.1691584 4.6514129),casa,146498.0,POINT (-74.1061023 4.6595331),146498.0,POINT (-74.1061023 4.6595331),149,IN_PROGRESS
261842,358424.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-07-26 08:00:00-05:00,,9526.0,2025-07-26 07:49:07-05:00,2025-07-26 09:22:18-05:00,15087.0,POINT (-76.35007879999999 3.4079059),Casa,89041.0,POINT (-76.51724329999999 3.3594184),89041.0,POINT (-76.51724329999999 3.3594184),1004,COMPLETED
261842,358425.0,3.0,Wash and Polish,WASH_AND_POLISH,2025-07-26 08:00:00-05:00,3539.0,,2025-07-26 09:22:18-05:00,2025-07-26 09:42:49-05:00,114928.0,POINT (-76.5313527 3.4197604),Lavadero La 39 - Cali,89041.0,POINT (-76.51724329999999 3.3594184),89041.0,POINT (-76.51724329999999 3.3594184),1004,COMPLETED
261842,358426.0,2.0,Alfred Transport,VEHICLE_TRANSPORTATION,2025-07-26 08:00:00-05:00,,9526.0,2025-07-26 09:42:49-05:00,2025-07-26 10:48:38-05:00,15087.0,POINT (-76.35007879999999 3.4079059),Casa,89041.0,POINT (-76.51724329999999 3.3594184),89041.0,POINT (-76.51724329999999 3.3594184),1004,COMPLETED
263746,360450.0,4.0,Tecnomecanica,SAFETI_INSPECTION,2025-07-23 08:00:00-05:00,525.0,,2025-07-22 14:00:00-05:00,2025-07-22 16:23:00-05:00,25573.0,POINT (-75.5225292 10.389562),AUTOMAS CARTAGENA,94452.0,POINT (-75.52202559999999 10.3910081),146379.0,POINT (-75.47268369999999 10.5056449),150,IN_PROGRESS
263746,370134.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-07-23 08:00:00-05:00,,69147.0,2025-07-22 16:23:00-05:00,2025-07-22 17:30:27-05:00,123522.0,POINT (-75.5051041 10.392139),Apartamento,94452.0,POINT (-75.52202559999999 10.3910081),146379.0,POINT (-75.47268369999999 10.5056449),150,IN_PROGRESS
263906,360621.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-07-21 08:00:00-05:00,,14671.0,2025-07-21 07:07:00-05:00,2025-07-21 09:23:00-05:00,23068.0,POINT (-74.1122312 4.7384985),Casa,143121.0,POINT (-74.02782909999999 4.6972939),15.0,POINT (-74.065413 4.759951),149,COMPLETED
265092,361900.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2025-07-25 08:00:00-05:00,,20111.0,2025-07-25 07:03:00-05:00,2025-07-25 09:00:00-05:00,25905.0,POINT (-75.594906 6.190818699999999),Apto,143498.0,POINT (-75.57947659999999 6.182424399999999),4849.0,POINT (-75.5697983 6.227549600000001),1,COMPLETED
