service_id,labor_id,labor_type,labor_name,labor_category,labor_price,labor_created_at,labor_start_date,labor_end_date,alfred,shop,created_at,schedule_date,client_type,paying_customer,state_service,start_address_id,start_address_point,end_address_id,end_address_point,city,address_id,address_point,address_name,labor_sequence,date
227836,321884,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,49485.0,2025-04-03 07:56:02.533000-05:00,2026-01-08 12:17:00-05:00,2026-01-08 13:28:00-05:00,70424,,2026-01-08 07:56:02.437000-05:00,2026-01-08 13:00:00-05:00,B2B,45838.0,COMPLETED,130739.0,POINT (-75.56477129999999 6.1883558),102162.0,POINT (-75.564082 6.2082589),1,126965.0,POINT (-75.560277 6.340593500000001),Casa,0,2026-01-08
227838,321888,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-04-03 08:08:54.364000-05:00,2026-01-08 09:08:00-05:00,2026-01-08 10:01:00-05:00,5455,,2026-01-08 08:08:54.273000-05:00,2026-01-08 09:30:00-05:00,B2B,71157.0,COMPLETED,4852.0,POINT (-75.56991479999999 6.2276503),130774.0,POINT (-75.55557019999999 6.2173366),1,10331.0,POINT (-75.5568613 6.278588999999999),Casa,0,2026-01-08
227862,321918,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-04-03 09:06:03.656000-05:00,2026-01-08 11:14:00-05:00,2026-01-08 12:14:00-05:00,10491,,2026-01-08 09:06:03.563000-05:00,2026-01-08 11:30:00-05:00,B2B,52311.0,COMPLETED,4852.0,POINT (-75.56991479999999 6.2276503),130744.0,POINT (-75.5576958 6.210093),1,16770.0,POINT (-75.5948708 6.222133500000001),casa,0,2026-01-08
227867,321923,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-04-03 09:25:42.962000-05:00,2026-01-08 13:03:00-05:00,2026-01-08 14:03:00-05:00,5455,,2026-01-08 09:25:42.867000-05:00,2026-01-08 14:00:00-05:00,B2B,71459.0,COMPLETED,130461.0,POINT (-75.57377029999999 6.236330100000001),110194.0,POINT (-75.5722457 6.1964519),1,10331.0,POINT (-75.5568613 6.278588999999999),Casa,0,2026-01-08
227898,321960,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-04-03 10:55:41.805000-05:00,2026-01-08 14:50:00-05:00,2026-01-08 16:55:00-05:00,20111,,2026-01-08 10:55:41.675000-05:00,2026-01-08 16:00:00-05:00,B2B,57949.0,COMPLETED,7485.0,POINT (-75.55127643988114 6.2398819767722795),130797.0,POINT (-75.56910049999999 6.1701307),1,25905.0,POINT (-75.594906 6.190818699999999),Apto,0,2026-01-08
227906,321968,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-04-03 11:14:18.898000-05:00,2026-01-08 13:04:00-05:00,2026-01-08 14:33:00-05:00,10491,,2026-01-08 11:14:18.807000-05:00,2026-01-08 14:00:00-05:00,B2B,61737.0,COMPLETED,130803.0,POINT (-75.562652 6.220096000000001),130804.0,POINT (-75.5754326 6.237222200000001),1,16770.0,POINT (-75.5948708 6.222133500000001),casa,0,2026-01-08
227914,321978,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,52440.0,2025-04-03 11:28:19.734000-05:00,2026-01-08 14:33:00-05:00,2026-01-08 16:19:00-05:00,2036,,2026-01-08 11:28:19.640000-05:00,2026-01-08 15:30:00-05:00,B2B,25807.0,COMPLETED,117281.0,POINT (-75.56979539999999 6.2198631),130810.0,POINT (-75.5763979 6.203141999999999),1,55748.0,POINT (-75.55748439999999 6.252939599999999),Apartamento,0,2026-01-08
227929,321995,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-04-03 12:12:02.371000-05:00,2026-01-08 14:24:00-05:00,2026-01-08 16:41:00-05:00,9258,,2026-01-08 12:12:02.282000-05:00,2026-01-08 15:30:00-05:00,B2B,26161.0,COMPLETED,16344.0,POINT (-75.6091325 6.157386300000001),130471.0,POINT (-75.5740513 6.219988099999999),1,14667.0,POINT (-75.5504277 6.280507099999999),Casa,0,2026-01-08
227973,322046,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-04-03 14:36:54.574000-05:00,2026-01-08 16:19:00-05:00,2026-01-08 17:40:00-05:00,2036,,2026-01-08 14:36:54.487000-05:00,2026-01-08 17:00:00-05:00,B2B,71157.0,COMPLETED,4852.0,POINT (-75.56991479999999 6.2276503),130854.0,POINT (-75.56342339999999 6.1909383),1,55748.0,POINT (-75.55748439999999 6.252939599999999),Apartamento,0,2026-01-08
222976,316568,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,52988.0,2025-03-19 08:08:47.906000-05:00,2026-01-09 08:25:00-05:00,2026-01-09 10:34:00-05:00,20111,,2026-01-09 08:08:47.825000-05:00,2026-01-09 09:30:00-05:00,B2B,26430.0,COMPLETED,129566.0,POINT (-75.5610234 6.2061687),1606.0,POINT (-75.57438254356384 6.2283712162642235),1,25905.0,POINT (-75.594906 6.190818699999999),Apto,0,2026-01-09
