service_id,labor_id,labor_type,labor_name,labor_category,labor_price,labor_created_at,labor_start_date,labor_end_date,alfred,shop,created_at,schedule_date,client_type,paying_customer,state_service,start_address_id,start_address_point,end_address_id,end_address_point,city,address_id,address_point,address_name,labor_sequence,map_start_point,map_end_point,date
225457,319315,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-03-27 11:11:20.915000-05:00,2026-01-08 09:18:00-05:00,2026-01-08 10:48:00-05:00,10491,,2026-01-01 11:11:20.829000-05:00,2026-01-08 10:00:00-05:00,B2B,71157.0,COMPLETED,123732.0,POINT (-75.57742050000002 6.1633384),4852.0,POINT (-75.56991479999999 6.2276503),1,16770.0,POINT (-75.5948708 6.222133500000001),casa,0,POINT (-75.57742050000002 6.1633384),POINT (-75.56991479999999 6.2276503),2026-01-08
225964,319872,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-03-28 15:17:40.778000-05:00,2026-01-08 12:02:00-05:00,2026-01-08 13:46:00-05:00,2036,,2026-01-02 15:17:40.701000-05:00,2026-01-08 13:00:00-05:00,B2B,71157.0,COMPLETED,130351.0,POINT (-75.56342339999999 6.1909383),4852.0,POINT (-75.56991479999999 6.2276503),1,55748.0,POINT (-75.55748439999999 6.252939599999999),Apartamento,0,POINT (-75.56342339999999 6.1909383),POINT (-75.56991479999999 6.2276503),2026-01-08
226534,320473,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-03-31 07:58:37.297000-05:00,2026-01-08 12:25:00-05:00,2026-01-08 14:08:00-05:00,20111,,2026-01-05 07:58:37.219000-05:00,2026-01-08 13:00:00-05:00,B2B,71157.0,COMPLETED,130438.0,POINT (-75.5520973 6.202223299999999),4852.0,POINT (-75.56991479999999 6.2276503),1,25905.0,POINT (-75.594906 6.190818699999999),Apto,0,POINT (-75.5520973 6.202223299999999),POINT (-75.56991479999999 6.2276503),2026-01-08
226535,320474,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-03-31 07:59:37.872000-05:00,2026-01-08 15:35:00-05:00,2026-01-08 17:21:00-05:00,70424,,2026-01-05 07:59:37.788000-05:00,2026-01-08 16:30:00-05:00,B2B,71157.0,COMPLETED,4852.0,POINT (-75.56991479999999 6.2276503),130438.0,POINT (-75.5520973 6.202223299999999),1,126965.0,POINT (-75.560277 6.340593500000001),Casa,0,POINT (-75.56991479999999 6.2276503),POINT (-75.5520973 6.202223299999999),2026-01-08
226655,320621,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,49485.0,2025-03-31 14:25:09.474000-05:00,2026-01-08 07:00:00-05:00,2026-01-08 08:53:00-05:00,2036,,2026-01-05 14:25:09.383000-05:00,2026-01-08 08:00:00-05:00,B2B,45838.0,COMPLETED,111980.0,POINT (-75.5724749 6.2026219),102162.0,POINT (-75.564082 6.2082589),1,55748.0,POINT (-75.55748439999999 6.252939599999999),Apartamento,0,POINT (-75.5724749 6.2026219),POINT (-75.564082 6.2082589),2026-01-08
227000,320974,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,49485.0,2025-04-01 08:58:21.924000-05:00,2026-01-08 08:33:00-05:00,2026-01-08 10:45:00-05:00,20111,,2026-01-06 08:58:21.836000-05:00,2026-01-08 09:30:00-05:00,B2B,69668.0,COMPLETED,130555.0,POINT (-75.607089 6.254021),130556.0,POINT (-75.57566829999999 6.2153768),1,25905.0,POINT (-75.594906 6.190818699999999),Apto,0,POINT (-75.607089 6.254021),POINT (-75.57566829999999 6.2153768),2026-01-08
227001,320975,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,49485.0,2025-04-01 09:01:14.544000-05:00,2026-01-08 15:43:00-05:00,2026-01-08 17:18:00-05:00,10491,,2026-01-06 09:01:14.462000-05:00,2026-01-08 16:30:00-05:00,B2B,69668.0,COMPLETED,130556.0,POINT (-75.57566829999999 6.2153768),130555.0,POINT (-75.607089 6.254021),1,16770.0,POINT (-75.5948708 6.222133500000001),casa,0,POINT (-75.57566829999999 6.2153768),POINT (-75.607089 6.254021),2026-01-08
227060,321041,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,49485.0,2025-04-01 10:55:05.007000-05:00,2026-01-08 07:05:00-05:00,2026-01-08 08:56:00-05:00,9258,,2026-01-06 10:55:04.888000-05:00,2026-01-08 08:00:00-05:00,B2B,68419.0,COMPLETED,130587.0,POINT (-75.57849 6.25386),102162.0,POINT (-75.564082 6.2082589),1,14667.0,POINT (-75.5504277 6.280507099999999),Casa,0,POINT (-75.57849 6.25386),POINT (-75.564082 6.2082589),2026-01-08
227128,321127,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-04-01 14:33:57.640000-05:00,2026-01-08 07:00:00-05:00,2026-01-08 09:17:00-05:00,10491,,2026-01-06 14:33:57.559000-05:00,2026-01-08 08:00:00-05:00,B2B,25088.0,COMPLETED,109709.0,POINT (-75.6054801 6.2710785),67814.0,POINT (-75.5856104 6.183108199999999),1,16770.0,POINT (-75.5948708 6.222133500000001),casa,0,POINT (-75.6054801 6.2710785),POINT (-75.5856104 6.183108199999999),2026-01-08
227154,321163,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-04-01 15:20:55.961000-05:00,2026-01-08 08:46:00-05:00,2026-01-08 09:35:00-05:00,70424,,2026-01-06 15:20:55.880000-05:00,2026-01-08 09:30:00-05:00,B2B,29476.0,COMPLETED,114936.0,POINT (-75.56507409999999 6.2174466),5038.0,POINT (-75.57009649999999 6.224776299999999),1,126965.0,POINT (-75.560277 6.340593500000001),Casa,0,POINT (-75.56507409999999 6.2174466),POINT (-75.57009649999999 6.224776299999999),2026-01-08
227433,321455,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,80663.0,2025-04-02 08:22:53.063000-05:00,2026-01-08 09:29:00-05:00,2026-01-08 12:26:00-05:00,9258,,2026-01-07 08:22:52.979000-05:00,2026-01-08 11:30:00-05:00,B2B,71157.0,COMPLETED,113733.0,POINT (-75.4234616 6.116611),4852.0,POINT (-75.56991479999999 6.2276503),1,14667.0,POINT (-75.5504277 6.280507099999999),Casa,0,POINT (-75.4234616 6.116611),POINT (-75.56991479999999 6.2276503),2026-01-08
