service_id,labor_id,labor_type,labor_name,labor_category,labor_price,labor_created_at,labor_start_date,labor_end_date,alfred,shop,created_at,schedule_date,client_type,paying_customer,state_service,start_address_id,start_address_point,end_address_id,end_address_point,city,address_id,address_point,address_name,labor_sequence,date
272029,369268,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,35000.0,2025-07-21 06:22:56.324000-05:00,2025-07-21 10:43:37-05:00,2025-07-21 11:23:43-05:00,9526,,2025-07-21 06:22:56.277000-05:00,2025-07-21 11:30:00-05:00,B2C,74630.0,COMPLETED,135332.0,POINT (-76.3101071 3.5417186),135332.0,POINT (-76.3101071 3.5417186),1004,15087.0,POINT (-76.35007879999999 3.4079059),Casa,0,2025-07-21
272029,369269,3.0,Wash and Polish,WASH_AND_POLISH,33250.0,2025-07-21 06:22:56.386000-05:00,2025-07-21 11:23:43-05:00,2025-07-21 13:26:53-05:00,,4157.0,2025-07-21 06:22:56.277000-05:00,2025-07-21 11:30:00-05:00,B2C,74630.0,COMPLETED,135332.0,POINT (-76.3101071 3.5417186),135332.0,POINT (-76.3101071 3.5417186),1004,127839.0,POINT (-76.31507669999999 3.5385042),Palmotors - Lavados,1,2025-07-21
272029,369270,2.0,Alfred Transport,VEHICLE_TRANSPORTATION,35000.0,2025-07-21 06:22:56.440000-05:00,2025-07-21 13:26:53-05:00,2025-07-21 14:12:20-05:00,9526,,2025-07-21 06:22:56.277000-05:00,2025-07-21 11:30:00-05:00,B2C,74630.0,COMPLETED,135332.0,POINT (-76.3101071 3.5417186),135332.0,POINT (-76.3101071 3.5417186),1004,15087.0,POINT (-76.35007879999999 3.4079059),Casa,2,2025-07-21
272091,369337,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,82789.0,2025-07-21 08:33:55.818000-05:00,2025-07-21 10:00:00-05:00,2025-07-21 10:00:00-05:00,69861,,2025-07-21 08:33:55.759000-05:00,2025-07-21 12:00:00-05:00,B2B,61607.0,COMPLETED,146038.0,POINT (-73.948241 4.947403),135461.0,POINT (-74.1764369 4.6950584),149,125737.0,POINT (-74.18022189999999 4.624224),Apartamento,0,2025-07-21
272092,369338,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-07-21 08:34:17.432000-05:00,2025-07-21 11:48:00-05:00,2025-07-21 13:25:00-05:00,70424,,2025-07-21 08:34:17.367000-05:00,2025-07-21 12:30:00-05:00,B2B,25091.0,COMPLETED,146040.0,POINT (-75.5856515 6.183439799999999),146041.0,POINT (-75.5542662 6.335097999999999),1,126965.0,POINT (-75.560277 6.340593500000001),Casa,0,2025-07-21
272102,369348,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,65004.0,2025-07-21 08:49:59.856000-05:00,2025-07-21 09:55:00-05:00,2025-07-21 12:22:00-05:00,20111,,2025-07-21 08:49:59.803000-05:00,2025-07-21 11:00:00-05:00,B2B,64313.0,COMPLETED,110158.0,POINT (-75.5717335 6.2027526),110158.0,POINT (-75.5717335 6.2027526),1,25905.0,POINT (-75.594906 6.190818699999999),Apto,0,2025-07-21
272102,369352,3.0,Wash and Polish,WASH_AND_POLISH,47850.0,2025-07-21 08:54:12.480000-05:00,2025-07-21 12:22:00-05:00,2025-07-21 12:42:00-05:00,,643.0,2025-07-21 08:49:59.803000-05:00,2025-07-21 11:00:00-05:00,B2B,64313.0,COMPLETED,110158.0,POINT (-75.5717335 6.2027526),110158.0,POINT (-75.5717335 6.2027526),1,33695.0,POINT (-75.56576609999999 6.2008911),Shop -,1,2025-07-21
272102,369353,2.0,Alfred Transport,VEHICLE_TRANSPORTATION,65004.0,2025-07-21 08:54:12.524000-05:00,2025-07-21 12:42:00-05:00,2025-07-21 13:39:00-05:00,20111,,2025-07-21 08:49:59.803000-05:00,2025-07-21 11:00:00-05:00,B2B,64313.0,COMPLETED,110158.0,POINT (-75.5717335 6.2027526),110158.0,POINT (-75.5717335 6.2027526),1,25905.0,POINT (-75.594906 6.190818699999999),Apto,2,2025-07-21
272109,369357,2.0,Alfred Transport,VEHICLE_TRANSPORTATION,52440.0,2025-07-21 08:57:04.061000-05:00,2025-07-21 12:32:00-05:00,2025-07-21 13:34:00-05:00,10451,,2025-07-21 08:57:04.025000-05:00,2025-07-21 12:30:00-05:00,B2B,41974.0,COMPLETED,146048.0,POINT (-74.04436489999999 4.7549386),145455.0,POINT (-74.0315454 4.6972458),149,16688.0,POINT (-74.0202608 4.6664181),casa,0,2025-07-21
272111,369359,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,55663.0,2025-07-21 08:57:51.970000-05:00,2025-07-21 15:58:00-05:00,2025-07-21 17:12:00-05:00,10500,,2025-07-21 08:57:51.903000-05:00,2025-07-21 16:00:00-05:00,B2B,20290.0,COMPLETED,3325.0,POINT (-74.06386971473694 4.709362767211348),145900.0,POINT (-74.03560639999999 4.7293855),149,16797.0,POINT (-74.118284 4.7485876),casa,0,2025-07-21
