"city","name","data"
43,ANTIOQUIA-DON MATIAS,"{""city_code"": 237, ""city_name"": ""DON MATIAS"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
79,ANTIOQUIA-PUEBLORRICO,"{""city_code"": 576, ""city_name"": ""PUEBLORRICO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
114,ANTIOQUIA-URAMITA,"{""city_code"": 842, ""city_name"": ""URAMITA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
115,ANTIOQUIA-URRAO,"{""city_code"": 847, ""city_name"": ""URRAO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
151,BOLIVAR-ACHI,"{""city_code"": 6, ""city_name"": ""ACHI"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
407,CESAR-ASTREA,"{""city_code"": 32, ""city_name"": ""ASTREA"", ""department_code"": 20, ""department_name"": ""CESAR""}"
439,CORDOBA-LORICA,"{""city_code"": 417, ""city_name"": ""LORICA"", ""department_code"": 23, ""department_name"": ""CORDOBA""}"
474,CUNDINAMARCA-CHOACHI,"{""city_code"": 181, ""city_name"": ""CHOACHI"", ""department_code"": 25, ""department_name"": ""CUNDINAMARCA""}"
545,CUNDINAMARCA-SUBACHOQUE,"{""city_code"": 769, ""city_name"": ""SUBACHOQUE"", ""department_code"": 25, ""department_name"": ""CUNDINAMARCA""}"
827,QUINDIO-PIJAO,"{""city_code"": 548, ""city_name"": ""PIJAO"", ""department_code"": 63, ""department_name"": ""QUINDIO""}"
863,SANTANDER-CIMITARRA,"{""city_code"": 190, ""city_name"": ""CIMITARRA"", ""department_code"": 68, ""department_name"": ""SANTANDER""}"
899,SANTANDER-OIBA,"{""city_code"": 500, ""city_name"": ""OIBA"", ""department_code"": 68, ""department_name"": ""SANTANDER""}"
934,SUCRE-COLOSO,"{""city_code"": 204, ""city_name"": ""COLOSO"", ""department_code"": 70, ""department_name"": ""SUCRE""}"
970,TOLIMA-CUNDAY,"{""city_code"": 226, ""city_name"": ""CUNDAY"", ""department_code"": 73, ""department_name"": ""TOLIMA""}"
11,ANTIOQUIA-SANTAFE DE ANTIOQUIA,"{""city_code"": 42, ""city_name"": ""SANTAFE DE ANTIOQUIA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
12,ANTIOQUIA-ANZA,"{""city_code"": 44, ""city_name"": ""ANZA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
2,ANTIOQUIA-ABEJORRAL,"{""city_code"": 2, ""city_name"": ""ABEJORRAL"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
3,ANTIOQUIA-ABRIAQUI,"{""city_code"": 4, ""city_name"": ""ABRIAQUI"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
4,ANTIOQUIA-ALEJANDRIA,"{""city_code"": 21, ""city_name"": ""ALEJANDRIA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
5,ANTIOQUIA-AMAGA,"{""city_code"": 30, ""city_name"": ""AMAGA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
6,ANTIOQUIA-AMALFI,"{""city_code"": 31, ""city_name"": ""AMALFI"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
7,ANTIOQUIA-ANDES,"{""city_code"": 34, ""city_name"": ""ANDES"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
8,ANTIOQUIA-ANGELOPOLIS,"{""city_code"": 36, ""city_name"": ""ANGELOPOLIS"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
9,ANTIOQUIA-ANGOSTURA,"{""city_code"": 38, ""city_name"": ""ANGOSTURA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
10,ANTIOQUIA-ANORI,"{""city_code"": 40, ""city_name"": ""ANORI"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
13,ANTIOQUIA-APARTADO,"{""city_code"": 45, ""city_name"": ""APARTADO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
14,ANTIOQUIA-ARBOLETES,"{""city_code"": 51, ""city_name"": ""ARBOLETES"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
15,ANTIOQUIA-ARGELIA,"{""city_code"": 55, ""city_name"": ""ARGELIA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
16,ANTIOQUIA-ARMENIA,"{""city_code"": 59, ""city_name"": ""ARMENIA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
