service_id,labor_id,labor_sequence,assigned_driver,actual_status,actual_start,actual_end,is_infeasible,infeasibility_cause_code,infeasibility_cause_detail,reassignment_candidate
399332,503021,1,20111,COMPLETED,2026-02-19 09:00:00-05:00,2026-02-19 09:47:24.770959-05:00,False,,,False
399335,503024,1,4555,COMPLETED,2026-02-19 13:00:00-05:00,2026-02-19 13:47:24.770959-05:00,False,,,False
399668,503383,1,20111,COMPLETED,2026-02-19 15:30:00-05:00,2026-02-19 16:19:39.529824-05:00,False,,,False
399777,503494,1,20111,COMPLETED,2026-02-19 07:04:51.491682-05:00,2026-02-19 07:51:26.636734-05:00,False,,,False
400326,504072,1,20111,COMPLETED,2026-02-19 10:30:00-05:00,2026-02-19 11:16:40.582924-05:00,False,,,False
400357,504105,1,4555,COMPLETED,2026-02-19 15:30:00-05:00,2026-02-19 16:16:40.582924-05:00,False,,,False
402879,506687,1,4555,COMPLETED,2026-02-19 07:10:20.471782-05:00,2026-02-19 07:55:54.458237-05:00,False,,,False
402881,506689,1,4555,COMPLETED,2026-02-19 12:00:00-05:00,2026-02-19 12:45:33.986455-05:00,False,,,False
404682,508596,1,4554,COMPLETED,2026-02-19 09:00:00-05:00,2026-02-19 09:49:10.326828-05:00,False,,,False
404685,508599,1,,FAILED,,,True,assignment_failed_unassigned,No feasible driver assignment was found for this labor/service.,False
404812,508732,1,4555,COMPLETED,2026-02-19 08:30:00-05:00,2026-02-19 09:17:04.168581-05:00,False,,,False
404816,508737,1,4554,COMPLETED,2026-02-19 14:00:00-05:00,2026-02-19 14:47:04.168581-05:00,False,,,False
404915,508841,1,20111,COMPLETED,2026-02-19 07:52:37.702397-05:00,2026-02-19 08:40:22.062803-05:00,False,,,False
404917,508843,1,4555,COMPLETED,2026-02-19 14:30:00-05:00,2026-02-19 15:17:44.360406-05:00,False,,,False
