2026-02-12 19:36:56,408 | INFO | __main__ | run_id=d723e95d | pipeline_start mode_default=LOCAL
2026-02-12 19:36:56,408 | INFO | __main__ | run_id=d723e95d | local_outputs_enabled outputs=validation_reports,intermediate_dataframes,model_solution
2026-02-12 19:36:56,408 | INFO | __main__ | run_id=d723e95d | step_start step=load_request path=/Users/jbeta/Documents/AlfredEnvs/AlfredPROD/data/phase1/5/request.json
2026-02-12 19:36:56,424 | INFO | __main__ | run_id=d723e95d | step_end   step=load_request duration_ms=16.73 path=/Users/jbeta/Documents/AlfredEnvs/AlfredPROD/data/phase1/5/request.json
2026-02-12 19:36:56,425 | INFO | __main__ | run_id=d723e95d | preassignment_mode_resolved keep_payload_assignment=False mode=reassign_infeasible_services
2026-02-12 19:36:56,425 | INFO | __main__ | run_id=d723e95d | step_start step=load_local_input path=/Users/jbeta/Documents/AlfredEnvs/AlfredPROD/data/phase1/5/local/input.csv
2026-02-12 19:36:56,433 | INFO | src.io.input_loader | run_id=d723e95d | local_input_loaded services=8 labors=8
2026-02-12 19:36:56,434 | INFO | __main__ | run_id=d723e95d | step_end   step=load_local_input duration_ms=8.95 path=/Users/jbeta/Documents/AlfredEnvs/AlfredPROD/data/phase1/5/local/input.csv
2026-02-12 19:36:56,434 | INFO | __main__ | run_id=d723e95d | step_start step=parse_input
2026-02-12 19:36:56,666 | INFO | src.data.parsing.input_parser | run_id=d723e95d | input_parsed rows=8
2026-02-12 19:36:56,666 | INFO | __main__ | run_id=d723e95d | step_end   step=parse_input duration_ms=232.29
2026-02-12 19:36:56,667 | INFO | src.io.request_loader | run_id=d723e95d | request_filters_applied rows_in=8 rows_out=8
2026-02-12 19:36:56,667 | INFO | __main__ | run_id=d723e95d | step_start step=validate_input
2026-02-12 19:36:56,668 | INFO | src.data.validation.validator | run_id=d723e95d | validation_completed total=8 valid_rows=8 invalid_rows=0
2026-02-12 19:36:56,668 | INFO | __main__ | run_id=d723e95d | step_end   step=validate_input duration_ms=1.04
2026-02-12 19:36:56,668 | INFO | __main__ | run_id=d723e95d | step_start step=write_validation_reports
2026-02-12 19:36:56,669 | INFO | src.io.output_writer | run_id=d723e95d | validation_outputs_saved generated=data_validation_invalid_rows_csv,data_validation_report_json
2026-02-12 19:36:56,669 | INFO | __main__ | run_id=d723e95d | step_end   step=write_validation_reports duration_ms=0.8
2026-02-12 19:36:56,669 | INFO | __main__ | run_id=d723e95d | step_start step=load_local_driver_directory path=./data/model_input/driver_directory.csv
2026-02-12 19:36:56,671 | INFO | src.data.parsing.driver_directory_parser | run_id=d723e95d | driver_directory_parsed rows=22 skipped=0
2026-02-12 19:36:56,671 | INFO | __main__ | run_id=d723e95d | step_end   step=load_local_driver_directory duration_ms=1.41 path=./data/model_input/driver_directory.csv
2026-02-12 19:36:56,671 | INFO | __main__ | run_id=d723e95d | department_filter_applied dataset=driver_directory department=5 rows_in=22 rows_out=3
2026-02-12 19:36:56,671 | INFO | src.pipeline_helpers | run_id=d723e95d | intermediate_dataframe_exported dataframe=driver_directory rows=3
2026-02-12 19:36:56,740 | INFO | src.data.loading.master_data_loader | run_id=d723e95d | master_data_loaded directorio duraciones dist_dict
2026-02-12 19:36:56,740 | INFO | __main__ | run_id=d723e95d | preassigned_reconstruction_skipped reason=algorithm_offline algorithm=OFFLINE
2026-02-12 19:36:56,740 | INFO | src.pipeline_helpers | run_id=d723e95d | intermediate_dataframe_exported dataframe=input_df rows=8
2026-02-12 19:36:56,741 | INFO | src.pipeline_helpers | run_id=d723e95d | intermediate_dataframe_exported dataframe=preassigned_df rows=0
2026-02-12 19:36:56,741 | INFO | __main__ | run_id=d723e95d | step_start step=solve
2026-02-12 19:36:56,744 | WARNING | src.optimization.solver | run_id=d723e95d | TEMP: schedule_date normalized to first row date for testing
2026-02-12 19:36:56,745 | INFO | src.optimization.solver | run_id=d723e95d | solver_selected algorithm=OFFLINE
2026-02-12 19:36:56,754 | INFO | __main__ | run_id=d723e95d | step_end   step=solve duration_ms=12.83
2026-02-12 19:36:56,757 | INFO | __main__ | run_id=d723e95d | assignment_diagnostics_summary rows_total=8 rows_infeasible=0 rows_warning=0 rows_reassignment_candidate=0 rows_reassignment_failed=0
2026-02-12 19:36:56,757 | INFO | __main__ | run_id=d723e95d | step_start step=write_assignment_diagnostics_report
2026-02-12 19:36:56,759 | INFO | src.io.output_writer | run_id=d723e95d | assignment_diagnostics_report_saved artifacts=assignment_diagnostics_csv,assignment_diagnostics_json rows=8
2026-02-12 19:36:56,759 | INFO | __main__ | run_id=d723e95d | step_end   step=write_assignment_diagnostics_report duration_ms=1.49
2026-02-12 19:36:56,759 | INFO | __main__ | run_id=d723e95d | step_start step=validate_solution
2026-02-12 19:36:56,761 | INFO | src.optimization.validation.solution_validator | run_id=d723e95d | solution_validation_driver_overlap drivers=3 overlaps=0
2026-02-12 19:36:56,764 | INFO | src.optimization.validation.solution_validator | run_id=d723e95d | solution_validation_moves drivers=3 rows=24 inconsistencies=0
2026-02-12 19:36:56,764 | INFO | __main__ | run_id=d723e95d | step_end   step=validate_solution duration_ms=5.12
2026-02-12 19:36:56,764 | INFO | __main__ | run_id=d723e95d | step_start step=write_solution_validation_outputs
2026-02-12 19:36:56,764 | INFO | src.io.output_writer | run_id=d723e95d | solution_validation_outputs_saved generated=issues_csv,validation_report_json
2026-02-12 19:36:56,764 | INFO | __main__ | run_id=d723e95d | step_end   step=write_solution_validation_outputs duration_ms=0.28
2026-02-12 19:36:56,765 | INFO | __main__ | run_id=d723e95d | step_start step=evaluate_solution
2026-02-12 19:36:56,783 | INFO | src.optimization.evaluation.solution_evaluator | run_id=d723e95d | solution_evaluation_completed services=8 labors=8 drivers=3 vt_labors=8 labor_distance_km=10.39 driver_move_distance_km=11.96 util_wo_moves=19.57 util_with_moves=20.81
2026-02-12 19:36:56,783 | INFO | __main__ | run_id=d723e95d | step_end   step=evaluate_solution duration_ms=18.67
2026-02-12 19:36:56,783 | INFO | __main__ | run_id=d723e95d | step_start step=write_solution_evaluation_output
2026-02-12 19:36:56,783 | INFO | src.io.output_writer | run_id=d723e95d | solution_evaluation_output_saved artifact=solution_evaluation_report_json
2026-02-12 19:36:56,783 | INFO | __main__ | run_id=d723e95d | step_end   step=write_solution_evaluation_output duration_ms=0.24
2026-02-12 19:36:56,783 | INFO | __main__ | run_id=d723e95d | step_start step=format_output
2026-02-12 19:36:56,787 | INFO | __main__ | run_id=d723e95d | step_end   step=format_output duration_ms=3.44
2026-02-12 19:36:56,787 | INFO | __main__ | run_id=d723e95d | step_start step=save_model_solution_artifacts
