2026-02-12 19:36:59,830 | INFO | __main__ | run_id=b88812eb | pipeline_start mode_default=API
2026-02-12 19:36:59,830 | INFO | __main__ | run_id=b88812eb | local_outputs_enabled outputs=validation_reports,intermediate_dataframes,model_solution
2026-02-12 19:36:59,830 | INFO | __main__ | run_id=b88812eb | step_start step=load_request path=/Users/jbeta/Documents/AlfredEnvs/AlfredPROD/data/phase1/76/request.json
2026-02-12 19:36:59,845 | INFO | __main__ | run_id=b88812eb | step_end   step=load_request duration_ms=14.86 path=/Users/jbeta/Documents/AlfredEnvs/AlfredPROD/data/phase1/76/request.json
2026-02-12 19:36:59,845 | INFO | __main__ | run_id=b88812eb | preassignment_mode_resolved keep_payload_assignment=False mode=reassign_infeasible_services
2026-02-12 19:36:59,845 | INFO | __main__ | run_id=b88812eb | step_start step=fetch_optimization_data
2026-02-12 19:37:00,493 | INFO | src.integration.client | run_id=b88812eb | fetch_optimization_data_completed department=76 start_date=2026-02-19T00:00:00-05:00 end_date=2026-02-27T23:59:59-05:00
2026-02-12 19:37:00,493 | INFO | __main__ | run_id=b88812eb | step_end   step=fetch_optimization_data duration_ms=648.04
2026-02-12 19:37:00,494 | INFO | __main__ | run_id=b88812eb | step_start step=parse_input
2026-02-12 19:37:00,748 | INFO | src.data.parsing.input_parser | run_id=b88812eb | input_parsed rows=9
2026-02-12 19:37:00,749 | INFO | __main__ | run_id=b88812eb | step_end   step=parse_input duration_ms=254.74
2026-02-12 19:37:00,749 | INFO | __main__ | run_id=b88812eb | api_payload_driver_ignored_for_testing cleared_rows=0
2026-02-12 19:37:00,750 | INFO | __main__ | run_id=b88812eb | step_start step=validate_input
2026-02-12 19:37:00,751 | INFO | src.data.validation.validator | run_id=b88812eb | validation_completed total=9 valid_rows=9 invalid_rows=0
2026-02-12 19:37:00,751 | INFO | __main__ | run_id=b88812eb | step_end   step=validate_input duration_ms=1.4
2026-02-12 19:37:00,751 | INFO | __main__ | run_id=b88812eb | step_start step=write_validation_reports
