labor_id,presence,present_api_flag,present_local_flag,any_field_mismatch,mismatch_field_count,service_id_api,service_id_local,mismatch__service_id,created_at_api,created_at_local,mismatch__created_at,city_code_api,city_code_local,mismatch__city_code,department_code_api,department_code_local,mismatch__department_code,start_address_id_api,start_address_id_local,mismatch__start_address_id,start_address_point_api,start_address_point_local,mismatch__start_address_point,end_address_id_api,end_address_id_local,mismatch__end_address_id,end_address_point_api,end_address_point_local,mismatch__end_address_point,labor_type_api,labor_type_local,mismatch__labor_type,labor_name_api,labor_name_local,mismatch__labor_name,labor_category_api,labor_category_local,mismatch__labor_category,schedule_date_api,schedule_date_local,mismatch__schedule_date,labor_sequence_api,labor_sequence_local,mismatch__labor_sequence,address_id_api,address_id_local,mismatch__address_id,address_point_api,address_point_local,mismatch__address_point,state_api,service_schedule_date_api,city_name_api,department_name_api,location_resolution_status_api,payload_labor_schedule_date_api,assigned_driver_api,actual_start_api,actual_end_api,shop_id_api,shop_address_id_api,shop_address_point_api,source_department_dir_api,alfred_local,shop_local,labor_created_at_local,labor_start_date_local,labor_end_date_local
495284,both,1,1,False,0,391861,391861,False,2026-01-27T08:47:56.024886-05:00,2026-01-27T08:47:56.024000-05:00,False,149,149,False,25,25,False,186811,186811,False,POINT (-74.0676022 4.6182478),POINT (-74.0676022 4.6182478),False,28798,28798,False,POINT (-74.08720430000001 4.6760977),POINT (-74.08720430000001 4.6760977),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-24T08:00:00-05:00,2026-02-24T08:00:00-05:00,False,1,1,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-24T08:00:00-05:00,BOGOTA D.C.,CUNDINAMARCA,resolved,2026-02-24T08:00:00-05:00,11714,,,,,,25,,,2026-01-27T08:47:56.099000-05:00,,
495534,both,1,1,False,0,392107,392107,False,2026-01-27T12:06:29.830574-05:00,2026-01-27T12:06:29.830000-05:00,False,149,149,False,25,25,False,186867,186867,False,POINT (-74.14571839999999 4.6366725),POINT (-74.14571839999999 4.6366725),False,2,2,False,POINT (-74.028923 4.704466),POINT (-74.028923 4.704466),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-25T09:00:00-05:00,2026-02-25T09:00:00-05:00,False,1,1,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-25T09:00:00-05:00,BOGOTA D.C.,CUNDINAMARCA,resolved,2026-02-25T09:00:00-05:00,,,,,,,25,,,2026-01-27T12:06:29.899000-05:00,,
500567,both,1,1,False,0,397007,397007,False,2026-01-31T21:52:36.806281-05:00,2026-01-31T21:52:36.806000-05:00,False,1004,1004,False,76,76,False,183705,183705,False,POINT (-76.5215896 3.4536185),POINT (-76.5215896 3.4536185),False,183705,183705,False,POINT (-76.5215896 3.4536185),POINT (-76.5215896 3.4536185),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-20T12:00:00-05:00,2026-02-20T12:00:00-05:00,False,1,1,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-20T12:00:00-05:00,CALI,VALLE DEL CAUCA,resolved,2026-02-20T12:00:00-05:00,,,,,,,76,,,2026-01-31T21:52:36.867000-05:00,,
500568,both,1,1,True,3,397007,397007,False,2026-01-31T21:52:36.806281-05:00,2026-01-31T21:52:36.806000-05:00,False,1004,1004,False,76,76,False,183705,183705,False,POINT (-76.5215896 3.4536185),POINT (-76.5215896 3.4536185),False,183705,183705,False,POINT (-76.5215896 3.4536185),POINT (-76.5215896 3.4536185),False,3,3,False,Wash and Polish,Wash and Polish,False,WASH_AND_POLISH,WASH_AND_POLISH,False,2026-02-20T12:30:00-05:00,2026-02-20T12:00:00-05:00,True,2,2,False,,114928.0,True,,POINT (-76.5313527 3.4197604),True,TO_BE_CONFIRMED,2026-02-20T12:00:00-05:00,CALI,VALLE DEL CAUCA,resolved,2026-02-20T12:30:00-05:00,,,,3539,114928,POINT (-76.5313527 3.4197604),76,,3539.0,2026-01-31T21:52:36.939000-05:00,,
500569,both,1,1,True,1,397007,397007,False,2026-01-31T21:52:36.806281-05:00,2026-01-31T21:52:36.806000-05:00,False,1004,1004,False,76,76,False,183705,183705,False,POINT (-76.5215896 3.4536185),POINT (-76.5215896 3.4536185),False,183705,183705,False,POINT (-76.5215896 3.4536185),POINT (-76.5215896 3.4536185),False,2,2,False,Alfred Transport,Alfred Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-20T13:00:00-05:00,2026-02-20T12:00:00-05:00,True,3,3,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-20T12:00:00-05:00,CALI,VALLE DEL CAUCA,resolved,2026-02-20T13:00:00-05:00,,,,,,,76,,,2026-01-31T21:52:36.996000-05:00,,
500894,both,1,1,False,0,397322,397322,False,2026-02-01T19:07:43.899074-05:00,2026-02-01T19:07:43.899000-05:00,False,126,126,False,8,8,False,93748,93748,False,POINT (-74.80476019999999 10.9994735),POINT (-74.80476019999999 10.9994735),False,93748,93748,False,POINT (-74.80476019999999 10.9994735),POINT (-74.80476019999999 10.9994735),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-20T15:00:00-05:00,2026-02-20T15:00:00-05:00,False,1,1,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-20T15:00:00-05:00,BARRANQUILLA,ATLANTICO,resolved,2026-02-20T15:00:00-05:00,,,,,,,8,,,2026-02-01T19:07:43.952000-05:00,,
500895,both,1,1,True,3,397322,397322,False,2026-02-01T19:07:43.899074-05:00,2026-02-01T19:07:43.899000-05:00,False,126,126,False,8,8,False,93748,93748,False,POINT (-74.80476019999999 10.9994735),POINT (-74.80476019999999 10.9994735),False,93748,93748,False,POINT (-74.80476019999999 10.9994735),POINT (-74.80476019999999 10.9994735),False,3,3,False,Wash and Polish,Wash and Polish,False,WASH_AND_POLISH,WASH_AND_POLISH,False,2026-02-20T15:30:00-05:00,2026-02-20T15:00:00-05:00,True,2,2,False,,101855.0,True,,POINT (-74.7995734 10.9959409),True,TO_BE_CONFIRMED,2026-02-20T15:00:00-05:00,BARRANQUILLA,ATLANTICO,resolved,2026-02-20T15:30:00-05:00,,,,1856,101855,POINT (-74.7995734 10.9959409),8,,1856.0,2026-02-01T19:07:44.011000-05:00,,
500896,both,1,1,True,1,397322,397322,False,2026-02-01T19:07:43.899074-05:00,2026-02-01T19:07:43.899000-05:00,False,126,126,False,8,8,False,93748,93748,False,POINT (-74.80476019999999 10.9994735),POINT (-74.80476019999999 10.9994735),False,93748,93748,False,POINT (-74.80476019999999 10.9994735),POINT (-74.80476019999999 10.9994735),False,2,2,False,Alfred Transport,Alfred Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-20T16:00:00-05:00,2026-02-20T15:00:00-05:00,True,3,3,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-20T15:00:00-05:00,BARRANQUILLA,ATLANTICO,resolved,2026-02-20T16:00:00-05:00,,,,,,,8,,,2026-02-01T19:07:44.060000-05:00,,
501831,api_only,1,0,False,0,398197,,False,2026-02-03T10:10:12.658428-05:00,,False,149,,False,25,,False,188061,,False,POINT (-74.0231522 4.7378978),,False,188062,,False,POINT (-74.0457322 4.7525901),,False,12,,False,Alfred Initial Transport,,False,VEHICLE_TRANSPORTATION,,False,2026-02-27T07:00:00-05:00,,False,1,,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-27T07:00:00-05:00,BOGOTA D.C.,CUNDINAMARCA,resolved,2026-02-27T07:00:00-05:00,3214,,,,,,25,,,,,
503021,both,1,1,False,0,399332,399332,False,2026-02-04T14:52:00.626317-05:00,2026-02-04T14:52:00.626000-05:00,False,1,1,False,5,5,False,188305,188305,False,POINT (-75.5724501 6.1627934),POINT (-75.5724501 6.1627934),False,117281,117281,False,POINT (-75.56979539999999 6.2198631),POINT (-75.56979539999999 6.2198631),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-19T09:30:00-05:00,2026-02-19T09:30:00-05:00,False,1,1,False,,,False,,,False,REQUESTED,2026-02-19T09:30:00-05:00,MEDELLIN,ANTIOQUIA,resolved,2026-02-19T09:30:00-05:00,5455,,,,,,5,,,2026-02-04T14:52:00.687000-05:00,,
503024,both,1,1,False,0,399335,399335,False,2026-02-04T14:53:27.276355-05:00,2026-02-04T14:53:27.276000-05:00,False,1,1,False,5,5,False,117281,117281,False,POINT (-75.56979539999999 6.2198631),POINT (-75.56979539999999 6.2198631),False,188305,188305,False,POINT (-75.5724501 6.1627934),POINT (-75.5724501 6.1627934),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-19T13:30:00-05:00,2026-02-19T13:30:00-05:00,False,1,1,False,,,False,,,False,REQUESTED,2026-02-19T13:30:00-05:00,MEDELLIN,ANTIOQUIA,resolved,2026-02-19T13:30:00-05:00,5455,,,,,,5,,,2026-02-04T14:53:27.330000-05:00,,
503120,both,1,1,False,0,399422,399422,False,2026-02-04T16:12:31.297741-05:00,2026-02-04T16:12:31.297000-05:00,False,149,149,False,25,25,False,125253,125253,False,POINT (-74.1188902 4.6992568),POINT (-74.1188902 4.6992568),False,125253,125253,False,POINT (-74.1188902 4.6992568),POINT (-74.1188902 4.6992568),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-24T09:00:00-05:00,2026-02-24T09:00:00-05:00,False,2,2,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-24T09:00:00-05:00,BOGOTA D.C.,CUNDINAMARCA,resolved,2026-02-24T09:00:00-05:00,,,,,,,25,,,2026-02-04T16:12:31.339000-05:00,,
