service_id,created_at,schedule_date,start_address_id,start_address_point,end_address_id,end_address_point,city_code,department_code,labor_id,labor_type,labor_name,labor_category,labor_sequence,alfred,shop,address_id,address_point,labor_created_at,labor_start_date,labor_end_date
391861,2026-01-27T08:47:56.024000-05:00,2026-02-24T08:00:00-05:00,186811,POINT (-74.0676022 4.6182478),28798,POINT (-74.08720430000001 4.6760977),149,25,495284,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-01-27T08:47:56.099000-05:00,,
392107,2026-01-27T12:06:29.830000-05:00,2026-02-25T09:00:00-05:00,186867,POINT (-74.14571839999999 4.6366725),2,POINT (-74.028923 4.704466),149,25,495534,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-01-27T12:06:29.899000-05:00,,
397007,2026-01-31T21:52:36.806000-05:00,2026-02-20T12:00:00-05:00,183705,POINT (-76.5215896 3.4536185),183705,POINT (-76.5215896 3.4536185),1004,76,500567,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-01-31T21:52:36.867000-05:00,,
397007,2026-01-31T21:52:36.806000-05:00,2026-02-20T12:00:00-05:00,183705,POINT (-76.5215896 3.4536185),183705,POINT (-76.5215896 3.4536185),1004,76,500568,3,Wash and Polish,WASH_AND_POLISH,2,,3539.0,114928.0,POINT (-76.5313527 3.4197604),2026-01-31T21:52:36.939000-05:00,,
397007,2026-01-31T21:52:36.806000-05:00,2026-02-20T12:00:00-05:00,183705,POINT (-76.5215896 3.4536185),183705,POINT (-76.5215896 3.4536185),1004,76,500569,2,Alfred Transport,VEHICLE_TRANSPORTATION,3,,,,,2026-01-31T21:52:36.996000-05:00,,
397322,2026-02-01T19:07:43.899000-05:00,2026-02-20T15:00:00-05:00,93748,POINT (-74.80476019999999 10.9994735),93748,POINT (-74.80476019999999 10.9994735),126,8,500894,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-01T19:07:43.952000-05:00,,
397322,2026-02-01T19:07:43.899000-05:00,2026-02-20T15:00:00-05:00,93748,POINT (-74.80476019999999 10.9994735),93748,POINT (-74.80476019999999 10.9994735),126,8,500895,3,Wash and Polish,WASH_AND_POLISH,2,,1856.0,101855.0,POINT (-74.7995734 10.9959409),2026-02-01T19:07:44.011000-05:00,,
397322,2026-02-01T19:07:43.899000-05:00,2026-02-20T15:00:00-05:00,93748,POINT (-74.80476019999999 10.9994735),93748,POINT (-74.80476019999999 10.9994735),126,8,500896,2,Alfred Transport,VEHICLE_TRANSPORTATION,3,,,,,2026-02-01T19:07:44.060000-05:00,,
399332,2026-02-04T14:52:00.626000-05:00,2026-02-19T09:30:00-05:00,188305,POINT (-75.5724501 6.1627934),117281,POINT (-75.56979539999999 6.2198631),1,5,503021,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-04T14:52:00.687000-05:00,,
399335,2026-02-04T14:53:27.276000-05:00,2026-02-19T13:30:00-05:00,117281,POINT (-75.56979539999999 6.2198631),188305,POINT (-75.5724501 6.1627934),1,5,503024,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-04T14:53:27.330000-05:00,,
399422,2026-02-04T16:12:31.297000-05:00,2026-02-24T09:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,504180,3,Wash and Polish,WASH_AND_POLISH,1,,934.0,72261.0,POINT (-74.1089748 4.6597407),2026-02-06T09:25:02.339000-05:00,,
399422,2026-02-04T16:12:31.297000-05:00,2026-02-24T09:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,503120,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2,,,,,2026-02-04T16:12:31.339000-05:00,,
399422,2026-02-04T16:12:31.297000-05:00,2026-02-24T09:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,503121,4,Tecnomecanica,SAFETI_INSPECTION,3,,4375.0,178711.0,POINT (-74.1554709 4.6832376),2026-02-04T16:12:31.379000-05:00,,
399422,2026-02-04T16:12:31.297000-05:00,2026-02-24T09:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,503122,2,Alfred Transport,VEHICLE_TRANSPORTATION,4,,,,,2026-02-04T16:12:31.420000-05:00,,
399423,2026-02-04T16:13:42.295000-05:00,2026-02-24T12:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,503123,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-04T16:13:42.337000-05:00,,
399423,2026-02-04T16:13:42.295000-05:00,2026-02-24T12:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,503124,3,Wash and Polish,WASH_AND_POLISH,2,,934.0,72261.0,POINT (-74.1089748 4.6597407),2026-02-04T16:13:42.384000-05:00,,
399423,2026-02-04T16:13:42.295000-05:00,2026-02-24T12:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,503125,2,Alfred Transport,VEHICLE_TRANSPORTATION,3,,,,,2026-02-04T16:13:42.423000-05:00,,
399668,2026-02-05T08:38:31.384000-05:00,2026-02-24T16:00:00-05:00,188384,POINT (-75.5914068 6.2315137),102162,POINT (-75.564082 6.2082589),1,5,503383,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-05T08:38:31.434000-05:00,,
