optimization_variable,city,date,alpha,iteration,vt_labors,extra_time,dist
hybrid,149,2026-01-05,0.0,68,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,136,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,205,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,273,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,342,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,410,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,478,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,547,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,615,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,684,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,752,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,821,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,889,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,957,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,1026,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,1094,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,1163,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,1231,73,1586.6,182.49
hybrid,149,2026-01-05,0.0,1300,73,1586.6,182.49
hybrid,1,2026-01-05,0.0,52,26,423.7,63.21
hybrid,1,2026-01-05,0.0,105,26,423.7,63.21
hybrid,1,2026-01-05,0.0,157,26,423.7,63.21
hybrid,1,2026-01-05,0.0,210,26,423.7,63.21
hybrid,1,2026-01-05,0.0,263,26,423.7,63.21
hybrid,1,2026-01-05,0.0,315,26,423.7,63.21
hybrid,1,2026-01-05,0.0,368,26,423.7,63.21
hybrid,1,2026-01-05,0.0,421,26,423.7,63.21
hybrid,1,2026-01-05,0.0,473,26,423.7,63.21
hybrid,1,2026-01-05,0.0,526,26,423.7,63.21
hybrid,1,2026-01-05,0.0,578,26,423.7,63.21
hybrid,1,2026-01-05,0.0,631,26,423.7,63.21
hybrid,1,2026-01-05,0.0,684,26,423.7,63.21
hybrid,1,2026-01-05,0.0,736,26,423.7,63.21
hybrid,1,2026-01-05,0.0,789,26,423.7,63.21
hybrid,1,2026-01-05,0.0,842,26,423.7,63.21
hybrid,1,2026-01-05,0.0,894,26,423.7,63.21
hybrid,1,2026-01-05,0.0,947,26,423.7,63.21
hybrid,1,2026-01-05,0.0,1000,26,423.7,63.21
hybrid,126,2026-01-05,0.0,7,8,268.0,25.35
hybrid,126,2026-01-05,0.0,15,8,268.0,25.35
hybrid,126,2026-01-05,0.0,23,8,268.0,25.35
hybrid,126,2026-01-05,0.0,31,8,268.0,25.35
hybrid,126,2026-01-05,0.0,39,8,268.0,25.35
hybrid,126,2026-01-05,0.0,47,8,268.0,25.35
hybrid,126,2026-01-05,0.0,55,8,268.0,25.35
hybrid,126,2026-01-05,0.0,63,8,268.0,25.35
hybrid,126,2026-01-05,0.0,71,8,268.0,25.35
hybrid,126,2026-01-05,0.0,78,8,268.0,25.35
hybrid,126,2026-01-05,0.0,86,8,268.0,25.35
hybrid,126,2026-01-05,0.0,94,8,268.0,25.35
hybrid,126,2026-01-05,0.0,102,8,268.0,25.35
hybrid,126,2026-01-05,0.0,110,8,268.0,25.35
hybrid,126,2026-01-05,0.0,118,8,268.0,25.35
hybrid,126,2026-01-05,0.0,126,8,268.0,25.35
hybrid,126,2026-01-05,0.0,134,8,268.0,25.35
hybrid,126,2026-01-05,0.0,142,8,268.0,25.35
hybrid,126,2026-01-05,0.0,150,8,268.0,25.35
hybrid,150,2026-01-05,0.0,7,4,30.0,12.51
hybrid,150,2026-01-05,0.0,15,4,30.0,12.51
hybrid,150,2026-01-05,0.0,23,4,30.0,12.51
hybrid,150,2026-01-05,0.0,31,4,30.0,12.51
hybrid,150,2026-01-05,0.0,39,4,30.0,12.51
hybrid,150,2026-01-05,0.0,47,4,30.0,12.51
hybrid,150,2026-01-05,0.0,55,4,30.0,12.51
hybrid,150,2026-01-05,0.0,63,4,30.0,12.51
hybrid,150,2026-01-05,0.0,71,4,30.0,12.51
hybrid,150,2026-01-05,0.0,78,4,30.0,12.51
hybrid,150,2026-01-05,0.0,86,4,30.0,12.51
hybrid,150,2026-01-05,0.0,94,4,30.0,12.51
hybrid,150,2026-01-05,0.0,102,4,30.0,12.51
hybrid,150,2026-01-05,0.0,110,4,30.0,12.51
hybrid,150,2026-01-05,0.0,118,4,30.0,12.51
hybrid,150,2026-01-05,0.0,126,4,30.0,12.51
hybrid,150,2026-01-05,0.0,134,4,30.0,12.51
hybrid,150,2026-01-05,0.0,142,4,30.0,12.51
hybrid,150,2026-01-05,0.0,150,4,30.0,12.51
hybrid,844,2026-01-05,0.0,7,5,144.1,29.72
hybrid,844,2026-01-05,0.0,15,5,144.1,29.72
hybrid,844,2026-01-05,0.0,23,5,144.1,29.72
hybrid,844,2026-01-05,0.0,31,5,144.1,29.72
hybrid,844,2026-01-05,0.0,39,5,144.1,29.72
hybrid,844,2026-01-05,0.0,47,5,144.1,29.72
hybrid,844,2026-01-05,0.0,55,5,144.1,29.72
hybrid,844,2026-01-05,0.0,63,5,144.1,29.72
hybrid,844,2026-01-05,0.0,71,5,144.1,29.72
hybrid,844,2026-01-05,0.0,78,5,144.1,29.72
hybrid,844,2026-01-05,0.0,86,5,144.1,29.72
hybrid,844,2026-01-05,0.0,94,5,144.1,29.72
hybrid,844,2026-01-05,0.0,102,5,144.1,29.72
hybrid,844,2026-01-05,0.0,110,5,144.1,29.72
hybrid,844,2026-01-05,0.0,118,5,144.1,29.72
hybrid,844,2026-01-05,0.0,126,5,144.1,29.72
hybrid,844,2026-01-05,0.0,134,5,144.1,29.72
hybrid,844,2026-01-05,0.0,142,5,144.1,29.72
hybrid,844,2026-01-05,0.0,150,5,144.1,29.72
hybrid,830,2026-01-05,0.0,7,1,0.0,6.92
hybrid,830,2026-01-05,0.0,15,1,0.0,6.92
hybrid,830,2026-01-05,0.0,23,1,0.0,6.92
hybrid,830,2026-01-05,0.0,31,1,0.0,6.92
hybrid,830,2026-01-05,0.0,39,1,0.0,6.92
hybrid,830,2026-01-05,0.0,47,1,0.0,6.92
hybrid,830,2026-01-05,0.0,55,1,0.0,6.92
hybrid,830,2026-01-05,0.0,63,1,0.0,6.92
hybrid,830,2026-01-05,0.0,71,1,0.0,6.92
hybrid,830,2026-01-05,0.0,78,1,0.0,6.92
hybrid,830,2026-01-05,0.0,86,1,0.0,6.92
hybrid,830,2026-01-05,0.0,94,1,0.0,6.92
hybrid,830,2026-01-05,0.0,102,1,0.0,6.92
hybrid,830,2026-01-05,0.0,110,1,0.0,6.92
hybrid,830,2026-01-05,0.0,118,1,0.0,6.92
hybrid,830,2026-01-05,0.0,126,1,0.0,6.92
hybrid,830,2026-01-05,0.0,134,1,0.0,6.92
hybrid,830,2026-01-05,0.0,142,1,0.0,6.92
hybrid,830,2026-01-05,0.0,150,1,0.0,6.92
hybrid,1004,2026-01-05,0.0,52,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,105,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,157,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,210,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,263,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,315,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,368,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,421,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,473,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,526,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,578,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,631,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,684,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,736,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,789,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,842,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,894,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,947,26,663.2,120.81
hybrid,1004,2026-01-05,0.0,1000,26,663.2,120.81
hybrid,149,2026-01-06,0.0,68,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,136,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,205,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,273,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,342,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,410,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,478,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,547,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,615,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,684,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,752,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,821,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,889,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,957,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,1026,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,1094,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,1163,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,1231,68,1457.9,198.43
hybrid,149,2026-01-06,0.0,1300,68,1457.9,198.43
hybrid,1,2026-01-06,0.0,52,27,597.2,63.9
hybrid,1,2026-01-06,0.0,105,27,597.2,63.9
hybrid,1,2026-01-06,0.0,157,27,597.2,63.9
hybrid,1,2026-01-06,0.0,210,27,597.2,63.9
hybrid,1,2026-01-06,0.0,263,27,597.2,63.9
hybrid,1,2026-01-06,0.0,315,27,597.2,63.9
hybrid,1,2026-01-06,0.0,368,27,597.2,63.9
hybrid,1,2026-01-06,0.0,421,27,597.2,63.9
hybrid,1,2026-01-06,0.0,473,27,597.2,63.9
hybrid,1,2026-01-06,0.0,526,27,597.2,63.9
hybrid,1,2026-01-06,0.0,578,27,597.2,63.9
hybrid,1,2026-01-06,0.0,631,27,597.2,63.9
hybrid,1,2026-01-06,0.0,684,27,597.2,63.9
hybrid,1,2026-01-06,0.0,736,27,597.2,63.9
hybrid,1,2026-01-06,0.0,789,27,597.2,63.9
hybrid,1,2026-01-06,0.0,842,27,597.2,63.9
hybrid,1,2026-01-06,0.0,894,27,597.2,63.9
hybrid,1,2026-01-06,0.0,947,27,597.2,63.9
hybrid,1,2026-01-06,0.0,1000,27,597.2,63.9
hybrid,126,2026-01-06,0.0,7,6,30.0,46.83
hybrid,126,2026-01-06,0.0,15,6,30.0,46.83
hybrid,126,2026-01-06,0.0,23,6,30.0,46.83
hybrid,126,2026-01-06,0.0,31,6,30.0,46.83
hybrid,126,2026-01-06,0.0,39,6,30.0,46.83
hybrid,126,2026-01-06,0.0,47,6,30.0,46.83
hybrid,126,2026-01-06,0.0,55,6,30.0,46.83
hybrid,126,2026-01-06,0.0,63,6,30.0,46.83
hybrid,126,2026-01-06,0.0,71,6,30.0,46.83
hybrid,126,2026-01-06,0.0,78,6,30.0,46.83
hybrid,126,2026-01-06,0.0,86,6,30.0,46.83
hybrid,126,2026-01-06,0.0,94,6,30.0,46.83
hybrid,126,2026-01-06,0.0,102,6,30.0,46.83
hybrid,126,2026-01-06,0.0,110,6,30.0,46.83
hybrid,126,2026-01-06,0.0,118,6,30.0,46.83
hybrid,126,2026-01-06,0.0,126,6,30.0,46.83
hybrid,126,2026-01-06,0.0,134,6,30.0,46.83
hybrid,126,2026-01-06,0.0,142,6,30.0,46.83
hybrid,126,2026-01-06,0.0,150,6,30.0,46.83
hybrid,150,2026-01-06,0.0,7,5,120.0,33.08
hybrid,150,2026-01-06,0.0,15,5,120.0,33.08
hybrid,150,2026-01-06,0.0,23,5,120.0,33.08
hybrid,150,2026-01-06,0.0,31,5,120.0,33.08
hybrid,150,2026-01-06,0.0,39,5,120.0,33.08
hybrid,150,2026-01-06,0.0,47,5,120.0,33.08
hybrid,150,2026-01-06,0.0,55,5,120.0,33.08
hybrid,150,2026-01-06,0.0,63,5,120.0,33.08
hybrid,150,2026-01-06,0.0,71,5,120.0,33.08
hybrid,150,2026-01-06,0.0,78,5,120.0,33.08
hybrid,150,2026-01-06,0.0,86,5,120.0,33.08
hybrid,150,2026-01-06,0.0,94,5,120.0,33.08
hybrid,150,2026-01-06,0.0,102,5,120.0,33.08
hybrid,150,2026-01-06,0.0,110,5,120.0,33.08
hybrid,150,2026-01-06,0.0,118,5,120.0,33.08
hybrid,150,2026-01-06,0.0,126,5,120.0,33.08
hybrid,150,2026-01-06,0.0,134,5,120.0,33.08
hybrid,150,2026-01-06,0.0,142,5,120.0,33.08
hybrid,150,2026-01-06,0.0,150,5,120.0,33.08
hybrid,844,2026-01-06,0.0,7,1,0.0,2.56
hybrid,844,2026-01-06,0.0,15,1,0.0,2.56
hybrid,844,2026-01-06,0.0,23,1,0.0,2.56
hybrid,844,2026-01-06,0.0,31,1,0.0,2.56
hybrid,844,2026-01-06,0.0,39,1,0.0,2.56
hybrid,844,2026-01-06,0.0,47,1,0.0,2.56
hybrid,844,2026-01-06,0.0,55,1,0.0,2.56
hybrid,844,2026-01-06,0.0,63,1,0.0,2.56
hybrid,844,2026-01-06,0.0,71,1,0.0,2.56
hybrid,844,2026-01-06,0.0,78,1,0.0,2.56
hybrid,844,2026-01-06,0.0,86,1,0.0,2.56
hybrid,844,2026-01-06,0.0,94,1,0.0,2.56
hybrid,844,2026-01-06,0.0,102,1,0.0,2.56
hybrid,844,2026-01-06,0.0,110,1,0.0,2.56
hybrid,844,2026-01-06,0.0,118,1,0.0,2.56
hybrid,844,2026-01-06,0.0,126,1,0.0,2.56
hybrid,844,2026-01-06,0.0,134,1,0.0,2.56
hybrid,844,2026-01-06,0.0,142,1,0.0,2.56
hybrid,844,2026-01-06,0.0,150,1,0.0,2.56
hybrid,830,2026-01-06,0.0,7,3,120.0,8.73
hybrid,830,2026-01-06,0.0,15,3,120.0,8.73
hybrid,830,2026-01-06,0.0,23,3,120.0,8.73
hybrid,830,2026-01-06,0.0,31,3,120.0,8.73
hybrid,830,2026-01-06,0.0,39,3,120.0,8.73
hybrid,830,2026-01-06,0.0,47,3,120.0,8.73
hybrid,830,2026-01-06,0.0,55,3,120.0,8.73
hybrid,830,2026-01-06,0.0,63,3,120.0,8.73
hybrid,830,2026-01-06,0.0,71,3,120.0,8.73
hybrid,830,2026-01-06,0.0,78,3,120.0,8.73
hybrid,830,2026-01-06,0.0,86,3,120.0,8.73
hybrid,830,2026-01-06,0.0,94,3,120.0,8.73
hybrid,830,2026-01-06,0.0,102,3,120.0,8.73
hybrid,830,2026-01-06,0.0,110,3,120.0,8.73
hybrid,830,2026-01-06,0.0,118,3,120.0,8.73
hybrid,830,2026-01-06,0.0,126,3,120.0,8.73
hybrid,830,2026-01-06,0.0,134,3,120.0,8.73
hybrid,830,2026-01-06,0.0,142,3,120.0,8.73
hybrid,830,2026-01-06,0.0,150,3,120.0,8.73
hybrid,1004,2026-01-06,0.0,52,28,748.1,202.52
hybrid,1004,2026-01-06,0.0,105,28,748.1,202.52
hybrid,1004,2026-01-06,0.0,157,28,748.1,205.76
hybrid,1004,2026-01-06,0.0,210,28,748.1,202.52
hybrid,1004,2026-01-06,0.0,263,28,748.1,202.52
hybrid,1004,2026-01-06,0.0,315,28,748.1,202.52
hybrid,1004,2026-01-06,0.0,368,28,748.1,205.76
hybrid,1004,2026-01-06,0.0,421,28,748.1,205.76
hybrid,1004,2026-01-06,0.0,473,28,748.1,205.76
hybrid,1004,2026-01-06,0.0,526,28,748.1,205.76
hybrid,1004,2026-01-06,0.0,578,28,748.1,202.52
hybrid,1004,2026-01-06,0.0,631,28,748.1,205.76
hybrid,1004,2026-01-06,0.0,684,28,748.1,202.52
hybrid,1004,2026-01-06,0.0,736,28,748.1,202.52
hybrid,1004,2026-01-06,0.0,789,28,748.1,205.76
hybrid,1004,2026-01-06,0.0,842,28,748.1,202.52
hybrid,1004,2026-01-06,0.0,894,28,748.1,205.76
hybrid,1004,2026-01-06,0.0,947,28,748.1,202.52
hybrid,1004,2026-01-06,0.0,1000,28,748.1,202.52
hybrid,149,2026-01-07,0.0,68,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,136,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,205,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,273,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,342,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,410,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,478,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,547,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,615,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,684,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,752,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,821,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,889,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,957,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,1026,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,1094,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,1163,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,1231,79,1795.6,282.36
hybrid,149,2026-01-07,0.0,1300,79,1795.6,282.36
hybrid,1,2026-01-07,0.0,52,26,456.5,55.3
hybrid,1,2026-01-07,0.0,105,26,456.5,55.3
hybrid,1,2026-01-07,0.0,157,26,456.5,55.3
hybrid,1,2026-01-07,0.0,210,26,456.5,55.3
