city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-01-05,0.3,133,34,567.5,172.44,133,40.1
149,2026-01-05,0.3,310,34,635.5,165.55,310,40.1
149,2026-01-05,0.3,488,34,635.5,165.55,488,40.1
149,2026-01-05,0.3,666,34,635.5,165.55,666,40.1
149,2026-01-05,0.3,133,30,167.0,148.7,133,34.8
149,2026-01-05,0.3,310,30,149.7,140.27,310,34.8
149,2026-01-05,0.3,488,30,149.7,140.27,488,34.8
149,2026-01-05,0.3,666,30,145.8,136.37,666,34.8
149,2026-01-05,0.3,133,29,116.6,134.58,133,34.2
149,2026-01-05,0.3,310,29,116.6,134.58,310,34.2
149,2026-01-05,0.3,488,29,116.6,134.58,488,34.2
149,2026-01-05,0.3,666,29,116.6,134.58,666,34.2
149,2026-01-05,0.3,133,26,0.0,125.85,133,32.1
149,2026-01-05,0.3,310,26,0.0,125.85,310,32.1
149,2026-01-05,0.3,488,26,0.0,125.85,488,32.1
149,2026-01-05,0.3,666,26,0.0,125.85,666,32.1
149,2026-01-05,0.3,133,21,0.0,96.98,133,29.0
149,2026-01-05,0.3,310,21,0.0,95.9,310,29.0
149,2026-01-05,0.3,488,21,0.0,91.32,488,29.0
149,2026-01-05,0.3,666,21,0.0,91.32,666,29.0
149,2026-01-05,0.3,133,19,0.0,84.76,133,27.6
149,2026-01-05,0.3,310,19,0.0,76.87,310,27.6
149,2026-01-05,0.3,488,19,0.0,76.87,488,27.6
149,2026-01-05,0.3,666,19,0.0,76.87,666,27.6
149,2026-01-05,0.3,133,19,0.0,78.7,133,27.7
149,2026-01-05,0.3,310,19,0.0,78.7,310,27.7
149,2026-01-05,0.3,488,19,0.0,76.49,488,27.7
149,2026-01-05,0.3,666,19,0.0,76.49,666,27.7
149,2026-01-05,0.3,133,20,0.0,87.16,133,28.0
149,2026-01-05,0.3,310,20,0.0,87.16,310,28.0
149,2026-01-05,0.3,488,20,0.0,85.34,488,28.0
149,2026-01-05,0.3,666,20,0.0,85.34,666,28.0
149,2026-01-05,0.3,133,21,0.0,79.86,133,28.7
149,2026-01-05,0.3,310,21,0.0,79.86,310,28.7
149,2026-01-05,0.3,488,21,0.0,79.86,488,28.7
149,2026-01-05,0.3,666,21,0.0,79.86,666,28.7
149,2026-01-05,0.3,133,18,0.0,78.84,133,26.9
149,2026-01-05,0.3,310,18,0.0,70.55,310,26.9
149,2026-01-05,0.3,488,18,0.0,67.12,488,26.9
149,2026-01-05,0.3,666,18,0.0,67.12,666,26.9
149,2026-01-05,0.3,133,19,0.0,87.3,133,27.9
149,2026-01-05,0.3,310,19,0.0,80.16,310,27.9
149,2026-01-05,0.3,488,19,0.0,80.16,488,27.9
149,2026-01-05,0.3,666,19,0.0,80.16,666,28.0
149,2026-01-05,0.3,133,20,0.0,86.0,133,27.8
149,2026-01-05,0.3,310,20,0.0,64.86,310,27.8
149,2026-01-05,0.3,488,20,0.0,64.86,488,27.8
149,2026-01-05,0.3,666,20,0.0,64.86,666,27.8
149,2026-01-05,0.3,133,21,0.0,87.17,133,29.1
149,2026-01-05,0.3,310,21,1.3,86.15,310,29.1
149,2026-01-05,0.3,488,21,1.3,86.15,488,29.1
149,2026-01-05,0.3,666,21,1.3,86.15,666,29.1
149,2026-01-05,0.3,133,22,0.0,90.96,133,29.5
149,2026-01-05,0.3,310,22,0.0,90.96,310,29.5
149,2026-01-05,0.3,488,22,0.0,90.96,488,29.5
149,2026-01-05,0.3,666,22,0.0,84.26,666,29.5
149,2026-01-05,0.3,133,23,0.0,105.29,133,30.5
149,2026-01-05,0.3,310,23,0.0,100.44,310,30.5
149,2026-01-05,0.3,488,23,0.0,100.44,488,30.5
149,2026-01-05,0.3,666,23,0.0,100.44,666,30.5
149,2026-01-05,0.3,133,23,0.0,104.04,133,30.3
149,2026-01-05,0.3,310,23,0.0,96.03,310,30.3
149,2026-01-05,0.3,488,23,0.0,96.03,488,30.3
149,2026-01-05,0.3,666,23,0.0,96.03,666,30.3
149,2026-01-05,0.3,133,18,0.0,88.04,133,27.1
149,2026-01-05,0.3,310,18,0.0,79.25,310,27.1
149,2026-01-05,0.3,488,18,0.0,79.25,488,27.1
149,2026-01-05,0.3,666,18,0.0,79.25,666,27.1
149,2026-01-05,0.3,133,16,0.0,69.37,133,24.8
