city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-01-05,0.3,133,31,351.7,153.27,133,38.4
149,2026-01-05,0.3,310,31,379.0,145.1,310,38.4
149,2026-01-05,0.3,488,31,379.0,145.1,488,38.4
149,2026-01-05,0.3,666,31,379.0,145.1,666,38.4
149,2026-01-05,0.3,133,26,0.0,112.81,133,32.4
149,2026-01-05,0.3,310,26,0.0,112.81,310,32.4
149,2026-01-05,0.3,488,26,0.0,112.81,488,32.4
149,2026-01-05,0.3,666,26,0.0,112.81,666,32.4
149,2026-01-05,0.3,133,18,0.0,71.07,133,27.4
149,2026-01-05,0.3,310,18,0.0,71.07,310,27.4
149,2026-01-05,0.3,488,18,0.0,71.07,488,27.4
149,2026-01-05,0.3,666,18,0.0,71.07,666,27.4
149,2026-01-05,0.3,133,20,0.0,83.89,133,28.2
149,2026-01-05,0.3,310,20,0.0,83.35,310,28.2
149,2026-01-05,0.3,488,20,0.0,83.35,488,28.2
149,2026-01-05,0.3,666,20,0.0,83.35,666,28.2
149,2026-01-05,0.3,133,18,0.0,66.71,133,26.6
149,2026-01-05,0.3,310,18,0.0,66.71,310,26.6
149,2026-01-05,0.3,488,18,0.0,66.71,488,26.6
149,2026-01-05,0.3,666,18,0.0,66.71,666,26.6
149,2026-01-05,0.3,133,21,0.0,94.73,133,29.0
149,2026-01-05,0.3,310,21,0.0,94.73,310,29.0
149,2026-01-05,0.3,488,21,0.0,88.97,488,29.0
149,2026-01-05,0.3,666,21,0.0,88.97,666,29.0
149,2026-01-05,0.3,133,18,0.0,73.18,133,27.4
149,2026-01-05,0.3,310,18,0.0,73.18,310,27.4
149,2026-01-05,0.3,488,18,0.0,73.18,488,27.4
149,2026-01-05,0.3,666,18,0.0,73.18,666,27.4
149,2026-01-05,0.3,133,17,0.0,84.57,133,26.2
149,2026-01-05,0.3,310,17,0.0,76.55,310,26.2
149,2026-01-05,0.3,488,17,0.0,76.55,488,26.2
149,2026-01-05,0.3,666,17,0.0,76.55,666,26.2
149,2026-01-05,0.3,133,17,22.7,73.99,133,25.8
149,2026-01-05,0.3,310,17,22.7,73.99,310,25.9
149,2026-01-05,0.3,488,17,22.7,73.99,488,25.9
149,2026-01-05,0.3,666,17,22.7,73.99,666,25.9
149,2026-01-05,0.3,133,8,22.7,29.58,133,19.6
