city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-01-05,0.3,133,14,82.0,57.73,133,25.3
149,2026-01-05,0.3,310,14,82.0,57.73,310,25.3
149,2026-01-05,0.3,488,14,82.0,57.73,488,25.3
149,2026-01-05,0.3,666,14,82.0,57.73,666,25.3
149,2026-01-05,0.3,133,14,56.9,65.44,133,23.4
149,2026-01-05,0.3,310,14,50.6,59.81,310,23.4
149,2026-01-05,0.3,488,14,50.6,59.81,488,23.4
149,2026-01-05,0.3,666,14,26.9,59.05,666,23.4
149,2026-01-05,0.3,133,15,58.5,63.41,133,24.4
149,2026-01-05,0.3,310,15,58.5,63.41,310,24.4
149,2026-01-05,0.3,488,15,58.5,63.41,488,24.4
149,2026-01-05,0.3,666,15,58.5,63.41,666,24.4
149,2026-01-05,0.3,133,16,28.5,70.47,133,25.3
149,2026-01-05,0.3,310,16,58.5,64.08,310,25.3
149,2026-01-05,0.3,488,16,58.5,64.08,488,25.3
149,2026-01-05,0.3,666,16,58.5,64.08,666,25.3
149,2026-01-05,0.3,133,17,58.5,77.5,133,25.9
149,2026-01-05,0.3,310,17,58.5,64.73,310,25.9
149,2026-01-05,0.3,488,17,58.5,64.73,488,25.9
149,2026-01-05,0.3,666,17,58.5,63.95,666,26.0
149,2026-01-05,0.3,133,18,41.3,76.0,133,27.0
149,2026-01-05,0.3,310,18,41.3,76.0,310,27.0
149,2026-01-05,0.3,488,18,41.3,76.0,488,27.0
149,2026-01-05,0.3,666,18,52.7,75.71,666,27.0
149,2026-01-05,0.3,133,17,25.3,77.41,133,25.7
149,2026-01-05,0.3,310,17,25.3,77.41,310,25.7
149,2026-01-05,0.3,488,17,52.5,76.7,488,25.7
149,2026-01-05,0.3,666,17,52.5,76.48,666,25.7
149,2026-01-05,0.3,133,18,25.3,81.66,133,26.8
149,2026-01-05,0.3,310,18,25.3,81.66,310,26.8
149,2026-01-05,0.3,488,18,52.5,71.64,488,26.8
149,2026-01-05,0.3,666,18,52.5,71.64,666,26.8
149,2026-01-05,0.3,133,19,52.5,85.93,133,27.2
149,2026-01-05,0.3,310,19,52.5,85.93,310,27.2
149,2026-01-05,0.3,488,19,52.5,78.14,488,27.2
149,2026-01-05,0.3,666,19,52.5,78.14,666,27.2
149,2026-01-05,0.3,133,19,25.3,80.13,133,27.6
149,2026-01-05,0.3,310,19,25.3,79.42,310,27.6
149,2026-01-05,0.3,488,19,25.3,79.42,488,27.7
149,2026-01-05,0.3,666,19,25.3,74.92,666,27.7
149,2026-01-05,0.3,133,20,25.3,86.26,133,27.9
149,2026-01-05,0.3,310,20,25.3,82.58,310,27.9
149,2026-01-05,0.3,488,20,25.3,82.58,488,27.9
149,2026-01-05,0.3,666,20,25.3,77.83,666,27.9
149,2026-01-05,0.3,133,18,25.3,69.82,133,26.8
149,2026-01-05,0.3,310,18,25.3,69.82,310,26.8
149,2026-01-05,0.3,488,18,25.3,69.82,488,26.8
149,2026-01-05,0.3,666,18,25.3,69.82,666,26.8
149,2026-01-05,0.3,133,17,52.5,70.93,133,25.3
149,2026-01-05,0.3,310,17,25.3,66.54,310,25.3
149,2026-01-05,0.3,488,17,25.3,66.54,488,25.3
149,2026-01-05,0.3,666,17,25.3,66.54,666,25.3
149,2026-01-05,0.3,133,17,25.3,70.87,133,25.7
149,2026-01-05,0.3,310,17,25.3,67.0,310,25.7
149,2026-01-05,0.3,488,17,25.3,67.0,488,25.7
149,2026-01-05,0.3,666,17,25.3,67.0,666,25.7
149,2026-01-05,0.3,133,18,61.3,79.16,133,26.6
149,2026-01-05,0.3,310,18,25.3,77.23,310,26.6
149,2026-01-05,0.3,488,18,25.3,75.45,488,26.7
149,2026-01-05,0.3,666,18,25.3,75.45,666,26.7
149,2026-01-05,0.3,133,19,52.5,81.04,133,27.1
149,2026-01-05,0.3,310,19,25.3,80.61,310,27.1
149,2026-01-05,0.3,488,19,25.3,76.13,488,27.1
149,2026-01-05,0.3,666,19,25.3,76.13,666,27.1
149,2026-01-05,0.3,133,19,25.3,84.69,133,27.0
149,2026-01-05,0.3,310,19,52.5,81.02,310,27.0
149,2026-01-05,0.3,488,19,52.5,81.02,488,27.0
149,2026-01-05,0.3,666,19,61.3,79.38,666,27.0
