city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-01-05,0.3,133,14,74.5,57.73,133,25.3
149,2026-01-05,0.3,310,14,74.5,57.73,310,25.3
149,2026-01-05,0.3,488,14,74.5,57.73,488,25.3
149,2026-01-05,0.3,666,14,74.5,57.73,666,25.3
149,2026-01-05,0.3,133,17,16.2,75.23,133,27.2
149,2026-01-05,0.3,310,17,0.0,70.18,310,27.2
149,2026-01-05,0.3,488,17,27.9,68.31,488,27.2
149,2026-01-05,0.3,666,17,27.9,68.31,666,27.2
149,2026-01-05,0.3,133,18,25.3,74.09,133,28.1
149,2026-01-05,0.3,310,18,25.3,70.15,310,28.1
149,2026-01-05,0.3,488,18,25.3,70.15,488,28.1
149,2026-01-05,0.3,666,18,25.3,70.15,666,28.1
149,2026-01-05,0.3,133,18,52.5,78.07,133,27.9
149,2026-01-05,0.3,310,18,25.3,76.75,310,27.9
149,2026-01-05,0.3,488,18,25.3,68.06,488,27.9
149,2026-01-05,0.3,666,18,25.3,68.06,666,27.9
149,2026-01-05,0.3,133,16,52.5,68.93,133,26.4
149,2026-01-05,0.3,310,16,52.5,68.93,310,26.4
149,2026-01-05,0.3,488,16,52.5,58.29,488,26.4
149,2026-01-05,0.3,666,16,52.5,58.29,666,26.4
149,2026-01-05,0.3,133,18,52.5,81.58,133,27.6
149,2026-01-05,0.3,310,18,52.5,67.99,310,27.6
149,2026-01-05,0.3,488,18,52.5,67.99,488,27.6
149,2026-01-05,0.3,666,18,52.5,67.99,666,27.6
149,2026-01-05,0.3,133,13,25.3,55.83,133,24.2
149,2026-01-05,0.3,310,13,25.3,55.83,310,24.2
149,2026-01-05,0.3,488,13,25.3,54.93,488,24.2
149,2026-01-05,0.3,666,13,25.3,54.93,666,24.2
149,2026-01-05,0.3,133,19,172.7,90.01,133,28.1
149,2026-01-05,0.3,310,19,172.7,90.01,310,28.1
149,2026-01-05,0.3,488,19,163.9,88.35,488,28.1
149,2026-01-05,0.3,666,19,163.9,88.35,666,28.1
149,2026-01-05,0.3,133,20,173.0,97.63,133,29.4
149,2026-01-05,0.3,310,20,229.9,97.41,310,29.4
149,2026-01-05,0.3,488,20,224.0,90.7,488,29.4
149,2026-01-05,0.3,666,20,224.0,90.7,666,29.4
149,2026-01-05,0.3,133,17,203.9,88.43,133,20.3
149,2026-01-05,0.3,310,17,181.2,88.32,310,20.3
149,2026-01-05,0.3,488,17,187.1,82.27,488,20.3
149,2026-01-05,0.3,666,17,187.1,82.27,666,20.3
149,2026-01-05,0.3,133,16,240.2,81.14,133,27.5
149,2026-01-05,0.3,310,16,235.9,77.56,310,27.5
149,2026-01-05,0.3,488,16,262.6,76.59,488,27.5
149,2026-01-05,0.3,666,16,262.6,76.59,666,27.5
149,2026-01-05,0.3,133,14,270.1,55.78,133,24.8
149,2026-01-05,0.3,310,14,273.2,54.51,310,24.8
149,2026-01-05,0.3,488,14,248.2,50.74,488,24.8
149,2026-01-05,0.3,666,14,248.2,50.74,666,24.8
149,2026-01-05,0.3,133,15,441.6,64.35,133,25.3
149,2026-01-05,0.3,310,15,441.6,64.35,310,25.3
149,2026-01-05,0.3,488,15,415.6,63.66,488,25.3
149,2026-01-05,0.3,666,15,415.6,63.66,666,25.3
149,2026-01-05,0.3,133,14,507.3,60.97,133,25.0
149,2026-01-05,0.3,310,14,483.3,57.85,310,25.0
149,2026-01-05,0.3,488,14,483.3,57.85,488,25.0
149,2026-01-05,0.3,666,14,483.3,57.85,666,25.0
149,2026-01-05,0.3,133,7,415.6,25.32,133,19.3
149,2026-01-05,0.3,310,7,400.2,22.22,310,19.3
149,2026-01-05,0.3,488,7,379.1,19.16,488,19.3
149,2026-01-05,0.3,666,7,379.1,19.16,666,19.3
1,2026-01-05,0.3,100,10,18.7,17.49,100,14.7
1,2026-01-05,0.3,233,10,18.7,17.49,233,14.7
1,2026-01-05,0.3,366,10,18.7,17.49,366,14.7
1,2026-01-05,0.3,500,10,18.7,17.49,500,14.7
1,2026-01-05,0.3,100,8,18.7,9.93,100,14.0
1,2026-01-05,0.3,233,8,18.7,9.93,233,14.0
1,2026-01-05,0.3,366,8,18.7,9.93,366,14.0
1,2026-01-05,0.3,500,8,18.7,9.93,500,14.0
1,2026-01-05,0.3,100,9,18.7,13.58,100,14.5
1,2026-01-05,0.3,233,9,18.7,13.58,233,14.5
1,2026-01-05,0.3,366,9,18.7,13.58,366,14.5
1,2026-01-05,0.3,500,9,18.7,13.58,500,14.5
1,2026-01-05,0.3,100,7,18.7,9.53,100,13.3
1,2026-01-05,0.3,233,7,18.7,9.51,233,13.3
1,2026-01-05,0.3,366,7,18.7,9.51,366,13.3
1,2026-01-05,0.3,500,7,18.7,9.51,500,13.3
1,2026-01-05,0.3,100,8,18.7,14.23,100,14.3
1,2026-01-05,0.3,233,8,18.7,14.23,233,14.3
1,2026-01-05,0.3,366,8,18.7,14.23,366,14.3
1,2026-01-05,0.3,500,8,18.7,14.23,500,14.3
1,2026-01-05,0.3,100,7,75.4,11.36,100,13.6
1,2026-01-05,0.3,233,7,75.4,11.36,233,13.6
1,2026-01-05,0.3,366,7,75.4,11.36,366,13.6
1,2026-01-05,0.3,500,7,75.4,11.36,500,13.6
1,2026-01-05,0.3,100,5,75.4,12.73,100,12.5
1,2026-01-05,0.3,233,5,75.4,12.73,233,12.5
1,2026-01-05,0.3,366,5,75.4,12.73,366,12.5
1,2026-01-05,0.3,500,5,75.4,12.73,500,12.5
1,2026-01-05,0.3,100,3,93.7,10.39,100,11.4
1,2026-01-05,0.3,233,3,93.7,10.39,233,11.4
1,2026-01-05,0.3,366,3,93.7,10.39,366,11.4
1,2026-01-05,0.3,500,3,93.7,10.39,500,11.4
126,2026-01-05,0.3,20,2,0.0,12.13,20,5.0
126,2026-01-05,0.3,46,2,0.0,12.13,46,5.0
126,2026-01-05,0.3,73,2,0.0,12.13,73,5.0
126,2026-01-05,0.3,100,2,0.0,12.13,100,5.0
126,2026-01-05,0.3,20,2,0.0,16.25,20,4.8
126,2026-01-05,0.3,46,2,0.0,16.25,46,4.8
126,2026-01-05,0.3,73,2,0.0,16.25,73,4.8
126,2026-01-05,0.3,100,2,0.0,16.25,100,4.8
126,2026-01-05,0.3,20,2,0.0,28.09,20,5.0
126,2026-01-05,0.3,46,2,0.0,28.09,46,5.0
126,2026-01-05,0.3,73,2,0.0,28.09,73,5.0
126,2026-01-05,0.3,100,2,0.0,28.09,100,5.0
150,2026-01-05,0.3,20,3,18.5,7.85,20,5.3
150,2026-01-05,0.3,46,3,18.5,7.85,46,5.3
150,2026-01-05,0.3,73,3,18.5,7.85,73,5.3
150,2026-01-05,0.3,100,3,18.5,7.85,100,5.3
844,2026-01-05,0.3,20,1,0.0,5.15,20,4.7
844,2026-01-05,0.3,46,1,0.0,5.15,46,4.7
844,2026-01-05,0.3,73,1,0.0,5.15,73,4.7
844,2026-01-05,0.3,100,1,0.0,5.15,100,4.7
844,2026-01-05,0.3,20,2,89.6,5.36,20,5.2
844,2026-01-05,0.3,46,2,89.6,5.36,46,5.2
844,2026-01-05,0.3,73,2,89.6,5.36,73,5.2
844,2026-01-05,0.3,100,2,89.6,5.36,100,5.2
1004,2026-01-05,0.3,100,10,30.3,19.97,100,15.0
1004,2026-01-05,0.3,233,10,30.3,19.97,233,15.0
1004,2026-01-05,0.3,366,10,30.3,19.97,366,15.0
1004,2026-01-05,0.3,500,10,30.3,19.97,500,15.0
1004,2026-01-05,0.3,100,10,55.6,27.43,100,14.8
1004,2026-01-05,0.3,233,10,63.8,26.12,233,14.8
1004,2026-01-05,0.3,366,10,63.8,26.12,366,14.8
1004,2026-01-05,0.3,500,10,63.8,26.12,500,14.8
1004,2026-01-05,0.3,100,11,81.2,31.43,100,15.1
1004,2026-01-05,0.3,233,11,83.5,29.31,233,15.1
1004,2026-01-05,0.3,366,11,83.5,29.31,366,15.1
1004,2026-01-05,0.3,500,11,83.5,29.31,500,15.1
149,2026-01-06,0.3,133,26,648.7,129.86,133,33.7
149,2026-01-06,0.3,310,26,642.1,113.05,310,33.7
149,2026-01-06,0.3,488,26,642.1,113.05,488,33.7
149,2026-01-06,0.3,666,26,642.1,113.05,666,33.7
149,2026-01-06,0.3,133,20,102.6,85.63,133,29.4
149,2026-01-06,0.3,310,20,146.0,84.63,310,29.4
149,2026-01-06,0.3,488,20,159.6,78.69,488,29.4
149,2026-01-06,0.3,666,20,159.6,78.69,666,29.4
149,2026-01-06,0.3,133,21,23.3,81.0,133,29.9
149,2026-01-06,0.3,310,21,23.3,81.0,310,29.9
149,2026-01-06,0.3,488,21,23.3,81.0,488,29.9
149,2026-01-06,0.3,666,21,23.3,81.0,666,29.9
149,2026-01-06,0.3,133,26,21.5,97.53,133,33.2
149,2026-01-06,0.3,310,26,0.0,96.59,310,33.2
149,2026-01-06,0.3,488,26,0.0,96.59,488,33.2
149,2026-01-06,0.3,666,26,0.0,96.59,666,33.2
149,2026-01-06,0.3,133,25,0.0,99.59,133,32.7
149,2026-01-06,0.3,310,25,0.0,99.59,310,32.7
149,2026-01-06,0.3,488,25,0.0,99.59,488,32.7
149,2026-01-06,0.3,666,25,0.0,99.59,666,32.7
149,2026-01-06,0.3,133,26,78.5,97.93,133,33.2
149,2026-01-06,0.3,310,26,78.5,97.93,310,33.2
149,2026-01-06,0.3,488,26,33.7,96.16,488,33.2
149,2026-01-06,0.3,666,26,33.7,96.16,666,33.3
149,2026-01-06,0.3,133,20,105.9,80.04,133,29.0
149,2026-01-06,0.3,310,20,112.4,59.54,310,29.0
149,2026-01-06,0.3,488,20,112.4,59.54,488,29.0
149,2026-01-06,0.3,666,20,112.4,59.54,666,29.1
149,2026-01-06,0.3,133,18,104.0,60.01,133,27.6
149,2026-01-06,0.3,310,18,104.0,60.01,310,27.6
149,2026-01-06,0.3,488,18,104.0,60.01,488,27.6
149,2026-01-06,0.3,666,18,85.8,56.14,666,27.6
149,2026-01-06,0.3,133,13,133.7,52.9,133,24.1
149,2026-01-06,0.3,310,13,114.1,49.87,310,24.1
149,2026-01-06,0.3,488,13,114.1,49.87,488,24.1
149,2026-01-06,0.3,666,13,114.1,49.59,666,24.1
149,2026-01-06,0.3,133,12,231.8,42.9,133,22.9
149,2026-01-06,0.3,310,12,180.7,33.97,310,22.9
149,2026-01-06,0.3,488,12,180.7,33.97,488,22.9
149,2026-01-06,0.3,666,12,180.7,33.97,666,22.9
149,2026-01-06,0.3,133,9,213.2,32.78,133,21.1
149,2026-01-06,0.3,310,9,194.2,29.48,310,21.1
149,2026-01-06,0.3,488,9,177.4,27.37,488,21.1
149,2026-01-06,0.3,666,9,177.4,27.37,666,21.1
1,2026-01-06,0.3,100,16,77.1,34.0,100,17.9
1,2026-01-06,0.3,233,16,77.1,34.0,233,17.9
1,2026-01-06,0.3,366,16,74.6,33.26,366,17.9
1,2026-01-06,0.3,500,16,74.6,33.26,500,17.9
1,2026-01-06,0.3,100,12,17.1,22.15,100,15.7
1,2026-01-06,0.3,233,12,0.0,20.06,233,15.7
1,2026-01-06,0.3,366,12,0.0,20.06,366,15.7
1,2026-01-06,0.3,500,12,0.0,20.06,500,15.8
1,2026-01-06,0.3,100,12,0.0,22.2,100,16.0
1,2026-01-06,0.3,233,12,0.0,21.76,233,16.0
1,2026-01-06,0.3,366,12,18.8,20.65,366,16.0
1,2026-01-06,0.3,500,12,18.8,20.65,500,16.0
1,2026-01-06,0.3,100,9,17.1,18.45,100,14.5
1,2026-01-06,0.3,233,9,17.1,18.4,233,14.5
1,2026-01-06,0.3,366,9,17.1,18.4,366,14.5
1,2026-01-06,0.3,500,9,0.0,17.85,500,14.5
1,2026-01-06,0.3,100,3,41.3,3.24,100,11.4
1,2026-01-06,0.3,233,3,41.3,3.24,233,11.4
1,2026-01-06,0.3,366,3,41.3,3.24,366,11.4
1,2026-01-06,0.3,500,3,41.3,3.24,500,11.4
126,2026-01-06,0.3,20,1,0.0,7.83,20,4.8
126,2026-01-06,0.3,46,1,0.0,7.83,46,4.8
126,2026-01-06,0.3,73,1,0.0,7.83,73,4.8
126,2026-01-06,0.3,100,1,0.0,7.83,100,4.8
126,2026-01-06,0.3,20,3,0.0,24.92,20,5.1
126,2026-01-06,0.3,46,3,0.0,24.92,46,5.1
126,2026-01-06,0.3,73,3,0.0,24.92,73,5.1
126,2026-01-06,0.3,100,3,0.0,24.92,100,5.1
150,2026-01-06,0.3,20,2,30.0,3.92,20,5.0
150,2026-01-06,0.3,46,2,30.0,3.92,46,5.0
150,2026-01-06,0.3,73,2,30.0,3.92,73,5.0
150,2026-01-06,0.3,100,2,30.0,3.92,100,5.0
150,2026-01-06,0.3,20,1,32.6,3.7,20,4.8
150,2026-01-06,0.3,46,1,32.6,3.7,46,4.8
150,2026-01-06,0.3,73,1,32.6,3.7,73,4.8
150,2026-01-06,0.3,100,1,32.6,3.7,100,4.8
844,2026-01-06,0.3,20,3,48.3,8.01,20,5.1
844,2026-01-06,0.3,46,3,48.3,8.01,46,5.1
844,2026-01-06,0.3,73,3,48.3,8.01,73,5.1
844,2026-01-06,0.3,100,3,48.3,8.01,100,5.1
1004,2026-01-06,0.3,100,14,42.9,51.35,100,16.7
1004,2026-01-06,0.3,233,14,48.0,51.21,233,16.7
1004,2026-01-06,0.3,366,14,48.0,51.21,366,16.7
1004,2026-01-06,0.3,500,14,42.9,49.4,500,16.7
1004,2026-01-06,0.3,100,12,43.9,35.28,100,15.7
