city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-01-05,0.3,133,13,78.1,88.8,133,158.8
149,2026-01-05,0.3,310,13,49.8,81.67,310,158.8
149,2026-01-05,0.3,488,13,49.8,81.67,488,158.8
149,2026-01-05,0.3,666,13,78.1,80.78,666,158.8
149,2026-01-05,0.3,133,16,0.0,108.1,133,135.5
149,2026-01-05,0.3,310,16,0.0,106.82,310,135.5
149,2026-01-05,0.3,488,16,0.0,106.82,488,135.5
149,2026-01-05,0.3,666,16,0.0,106.82,666,135.5
149,2026-01-05,0.3,133,18,30.0,117.42,133,135.2
149,2026-01-05,0.3,310,18,30.0,110.53,310,135.2
149,2026-01-05,0.3,488,18,30.0,110.53,488,135.2
149,2026-01-05,0.3,666,18,30.0,110.53,666,135.2
149,2026-01-05,0.3,133,18,30.0,106.81,133,96.3
149,2026-01-05,0.3,310,18,30.0,106.81,310,96.3
149,2026-01-05,0.3,488,18,30.0,106.81,488,96.3
149,2026-01-05,0.3,666,18,30.0,106.81,666,96.3
149,2026-01-05,0.3,133,16,33.9,102.23,133,76.2
149,2026-01-05,0.3,310,16,33.9,98.68,310,76.2
149,2026-01-05,0.3,488,16,33.9,98.68,488,76.2
149,2026-01-05,0.3,666,16,33.9,98.68,666,76.2
149,2026-01-05,0.3,133,19,33.9,130.25,133,81.3
149,2026-01-05,0.3,310,19,33.9,118.8,310,81.3
149,2026-01-05,0.3,488,19,33.9,118.8,488,81.3
149,2026-01-05,0.3,666,19,33.9,116.79,666,81.3
149,2026-01-05,0.3,133,12,33.9,73.05,133,71.0
149,2026-01-05,0.3,310,12,42.0,68.83,310,71.0
149,2026-01-05,0.3,488,12,33.9,66.12,488,71.0
149,2026-01-05,0.3,666,12,33.9,66.12,666,71.0
149,2026-01-05,0.3,133,19,194.1,131.65,133,95.6
149,2026-01-05,0.3,310,19,156.4,130.85,310,95.6
149,2026-01-05,0.3,488,19,234.3,121.42,488,95.6
149,2026-01-05,0.3,666,19,234.3,121.42,666,95.6
