city,date,batch_id,batch_start,batch_end,decision_time,n_services,best_iter,best_objective,processing_time_s
149,2025-07-21,1,2025-07-21 08:23:49.711000-05:00,2025-07-21 08:23:49.711000-05:00,2025-07-21 08:23:49.711000-05:00,1,139,19.4,19.8
149,2025-07-21,2,2025-07-21 08:27:17.402000-05:00,2025-07-21 08:27:17.402000-05:00,2025-07-21 08:27:17.402000-05:00,1,229,24.08,20.7
149,2025-07-21,3,2025-07-21 08:33:55.759000-05:00,2025-07-21 08:33:55.759000-05:00,2025-07-21 08:33:55.759000-05:00,1,455,31.97,20.5
149,2025-07-21,4,2025-07-21 08:56:43.108000-05:00,2025-07-21 08:56:43.108000-05:00,2025-07-21 08:56:43.108000-05:00,1,48,36.2,20.9
149,2025-07-21,5,2025-07-21 08:57:04.025000-05:00,2025-07-21 08:57:04.025000-05:00,2025-07-21 08:57:04.025000-05:00,1,37,38.2,21.7
149,2025-07-21,6,2025-07-21 08:57:51.903000-05:00,2025-07-21 08:57:51.903000-05:00,2025-07-21 08:57:51.903000-05:00,1,408,41.83,22.2
149,2025-07-21,7,2025-07-21 09:06:46.547000-05:00,2025-07-21 09:06:46.547000-05:00,2025-07-21 09:06:46.547000-05:00,1,309,46.13,22.8
149,2025-07-21,8,2025-07-21 09:24:41.467000-05:00,2025-07-21 09:24:41.467000-05:00,2025-07-21 09:24:41.467000-05:00,1,503,49.19,22.9
149,2025-07-21,9,2025-07-21 09:28:29.562000-05:00,2025-07-21 09:28:29.562000-05:00,2025-07-21 09:28:29.562000-05:00,1,347,49.94,22.7
149,2025-07-21,10,2025-07-21 10:14:47.484000-05:00,2025-07-21 10:14:47.484000-05:00,2025-07-21 10:14:47.484000-05:00,1,32,50.02,22.9
149,2025-07-21,11,2025-07-21 10:29:54.421000-05:00,2025-07-21 10:29:54.421000-05:00,2025-07-21 10:29:54.421000-05:00,1,297,48.78,22.1
149,2025-07-21,12,2025-07-21 10:33:42.874000-05:00,2025-07-21 10:33:42.874000-05:00,2025-07-21 10:33:42.874000-05:00,1,565,55.36,22.1
