city,date,batch_id,batch_start,batch_end,decision_time,n_services,best_iter,best_objective,processing_time_s
149,2025-07-21,1,2025-07-21 00:00:00-05:00,2025-07-21 07:00:00-05:00,2025-07-21 07:00:00-05:00,0,,,0.0
149,2025-07-21,2,2025-07-21 07:00:00-05:00,2025-07-21 07:30:00-05:00,2025-07-21 07:30:00-05:00,0,,,0.0
149,2025-07-21,3,2025-07-21 07:30:00-05:00,2025-07-21 08:00:00-05:00,2025-07-21 08:00:00-05:00,0,,,0.0
149,2025-07-21,4,2025-07-21 08:00:00-05:00,2025-07-21 08:30:00-05:00,2025-07-21 08:30:00-05:00,2,75.0,21.7,20.4
149,2025-07-21,5,2025-07-21 08:30:00-05:00,2025-07-21 09:00:00-05:00,2025-07-21 09:00:00-05:00,4,161.0,42.53,22.3
149,2025-07-21,6,2025-07-21 09:00:00-05:00,2025-07-21 09:30:00-05:00,2025-07-21 09:30:00-05:00,3,265.0,43.92,22.8
149,2025-07-21,7,2025-07-21 09:30:00-05:00,2025-07-21 10:00:00-05:00,2025-07-21 10:00:00-05:00,0,,,0.0
149,2025-07-21,8,2025-07-21 10:00:00-05:00,2025-07-21 10:30:00-05:00,2025-07-21 10:30:00-05:00,2,453.0,42.68,21.3
149,2025-07-21,9,2025-07-21 10:30:00-05:00,2025-07-21 11:00:00-05:00,2025-07-21 11:00:00-05:00,1,51.0,46.71,22.2
149,2025-07-21,10,2025-07-21 11:00:00-05:00,2025-07-21 11:30:00-05:00,2025-07-21 11:30:00-05:00,3,252.0,46.04,23.4
149,2025-07-21,11,2025-07-21 11:30:00-05:00,2025-07-21 12:00:00-05:00,2025-07-21 12:00:00-05:00,1,557.0,43.59,23.0
149,2025-07-21,12,2025-07-21 12:00:00-05:00,2025-07-21 12:30:00-05:00,2025-07-21 12:30:00-05:00,1,297.0,37.1,21.4
149,2025-07-21,13,2025-07-21 12:30:00-05:00,2025-07-21 13:00:00-05:00,2025-07-21 13:00:00-05:00,0,,,0.0
149,2025-07-21,14,2025-07-21 13:00:00-05:00,2025-07-21 13:30:00-05:00,2025-07-21 13:30:00-05:00,0,,,0.0
149,2025-07-21,15,2025-07-21 13:30:00-05:00,2025-07-21 14:00:00-05:00,2025-07-21 14:00:00-05:00,0,,,0.0
149,2025-07-21,16,2025-07-21 14:00:00-05:00,2025-07-21 14:30:00-05:00,2025-07-21 14:30:00-05:00,2,83.0,18.91,17.5
149,2025-07-21,17,2025-07-21 14:30:00-05:00,2025-07-21 15:00:00-05:00,2025-07-21 15:00:00-05:00,0,,,0.0
149,2025-07-21,18,2025-07-21 15:00:00-05:00,2025-07-21 15:30:00-05:00,2025-07-21 15:30:00-05:00,0,,,0.0
149,2025-07-21,19,2025-07-21 15:30:00-05:00,2025-07-21 16:00:00-05:00,2025-07-21 16:00:00-05:00,0,,,0.0
149,2025-07-21,20,2025-07-21 16:00:00-05:00,2025-07-21 16:30:00-05:00,2025-07-21 16:30:00-05:00,1,12.0,1.67,12.7
149,2025-07-21,21,2025-07-21 16:30:00-05:00,2025-07-21 17:00:00-05:00,2025-07-21 17:00:00-05:00,0,,,0.0
149,2025-07-21,22,2025-07-21 17:00:00-05:00,2025-07-21 17:30:00-05:00,2025-07-21 17:30:00-05:00,1,1.0,1.45,13.2
1,2025-07-21,1,2025-07-21 00:00:00-05:00,2025-07-21 07:00:00-05:00,2025-07-21 07:00:00-05:00,0,,,0.0
1,2025-07-21,2,2025-07-21 07:00:00-05:00,2025-07-21 07:30:00-05:00,2025-07-21 07:30:00-05:00,0,,,0.0
1,2025-07-21,3,2025-07-21 07:30:00-05:00,2025-07-21 08:00:00-05:00,2025-07-21 08:00:00-05:00,0,,,0.0
1,2025-07-21,4,2025-07-21 08:00:00-05:00,2025-07-21 08:30:00-05:00,2025-07-21 08:30:00-05:00,0,,,0.0
1,2025-07-21,5,2025-07-21 08:30:00-05:00,2025-07-21 09:00:00-05:00,2025-07-21 09:00:00-05:00,1,65.0,14.7,12.8
1,2025-07-21,6,2025-07-21 09:00:00-05:00,2025-07-21 09:30:00-05:00,2025-07-21 09:30:00-05:00,0,,,0.0
1,2025-07-21,7,2025-07-21 09:30:00-05:00,2025-07-21 10:00:00-05:00,2025-07-21 10:00:00-05:00,0,,,0.0
1,2025-07-21,8,2025-07-21 10:00:00-05:00,2025-07-21 10:30:00-05:00,2025-07-21 10:30:00-05:00,0,,,0.0
1,2025-07-21,9,2025-07-21 10:30:00-05:00,2025-07-21 11:00:00-05:00,2025-07-21 11:00:00-05:00,1,5.0,15.85,11.7
150,2025-07-21,1,2025-07-21 00:00:00-05:00,2025-07-21 07:00:00-05:00,2025-07-21 07:00:00-05:00,0,,,0.0
150,2025-07-21,2,2025-07-21 07:00:00-05:00,2025-07-21 07:30:00-05:00,2025-07-21 07:30:00-05:00,0,,,0.0
150,2025-07-21,3,2025-07-21 07:30:00-05:00,2025-07-21 08:00:00-05:00,2025-07-21 08:00:00-05:00,0,,,0.0
150,2025-07-21,4,2025-07-21 08:00:00-05:00,2025-07-21 08:30:00-05:00,2025-07-21 08:30:00-05:00,0,,,0.0
150,2025-07-21,5,2025-07-21 08:30:00-05:00,2025-07-21 09:00:00-05:00,2025-07-21 09:00:00-05:00,0,,,0.0
150,2025-07-21,6,2025-07-21 09:00:00-05:00,2025-07-21 09:30:00-05:00,2025-07-21 09:30:00-05:00,0,,,0.0
150,2025-07-21,7,2025-07-21 09:30:00-05:00,2025-07-21 10:00:00-05:00,2025-07-21 10:00:00-05:00,0,,,0.0
150,2025-07-21,8,2025-07-21 10:00:00-05:00,2025-07-21 10:30:00-05:00,2025-07-21 10:30:00-05:00,0,,,0.0
150,2025-07-21,9,2025-07-21 10:30:00-05:00,2025-07-21 11:00:00-05:00,2025-07-21 11:00:00-05:00,0,,,0.0
150,2025-07-21,10,2025-07-21 11:00:00-05:00,2025-07-21 11:30:00-05:00,2025-07-21 11:30:00-05:00,0,,,0.0
150,2025-07-21,11,2025-07-21 11:30:00-05:00,2025-07-21 12:00:00-05:00,2025-07-21 12:00:00-05:00,0,,,0.0
150,2025-07-21,12,2025-07-21 12:00:00-05:00,2025-07-21 12:30:00-05:00,2025-07-21 12:30:00-05:00,0,,,0.0
150,2025-07-21,13,2025-07-21 12:30:00-05:00,2025-07-21 13:00:00-05:00,2025-07-21 13:00:00-05:00,0,,,0.0
150,2025-07-21,14,2025-07-21 13:00:00-05:00,2025-07-21 13:30:00-05:00,2025-07-21 13:30:00-05:00,0,,,0.0
150,2025-07-21,15,2025-07-21 13:30:00-05:00,2025-07-21 14:00:00-05:00,2025-07-21 14:00:00-05:00,0,,,0.0
150,2025-07-21,16,2025-07-21 14:00:00-05:00,2025-07-21 14:30:00-05:00,2025-07-21 14:30:00-05:00,0,,,0.0
150,2025-07-21,17,2025-07-21 14:30:00-05:00,2025-07-21 15:00:00-05:00,2025-07-21 15:00:00-05:00,0,,,0.0
150,2025-07-21,18,2025-07-21 15:00:00-05:00,2025-07-21 15:30:00-05:00,2025-07-21 15:30:00-05:00,1,1.0,4.31,4.9
1004,2025-07-21,1,2025-07-21 00:00:00-05:00,2025-07-21 07:00:00-05:00,2025-07-21 07:00:00-05:00,0,,,0.0
1004,2025-07-21,2,2025-07-21 07:00:00-05:00,2025-07-21 07:30:00-05:00,2025-07-21 07:30:00-05:00,0,,,0.0
1004,2025-07-21,3,2025-07-21 07:30:00-05:00,2025-07-21 08:00:00-05:00,2025-07-21 08:00:00-05:00,0,,,0.0
1004,2025-07-21,4,2025-07-21 08:00:00-05:00,2025-07-21 08:30:00-05:00,2025-07-21 08:30:00-05:00,0,,,0.0
1004,2025-07-21,5,2025-07-21 08:30:00-05:00,2025-07-21 09:00:00-05:00,2025-07-21 09:00:00-05:00,0,,,0.0
1004,2025-07-21,6,2025-07-21 09:00:00-05:00,2025-07-21 09:30:00-05:00,2025-07-21 09:30:00-05:00,0,,,0.0
1004,2025-07-21,7,2025-07-21 09:30:00-05:00,2025-07-21 10:00:00-05:00,2025-07-21 10:00:00-05:00,0,,,0.0
1004,2025-07-21,8,2025-07-21 10:00:00-05:00,2025-07-21 10:30:00-05:00,2025-07-21 10:30:00-05:00,1,16.0,0.0,12.5
1004,2025-07-21,9,2025-07-21 10:30:00-05:00,2025-07-21 11:00:00-05:00,2025-07-21 11:00:00-05:00,0,,,0.0
1004,2025-07-21,10,2025-07-21 11:00:00-05:00,2025-07-21 11:30:00-05:00,2025-07-21 11:30:00-05:00,0,,,0.0
1004,2025-07-21,11,2025-07-21 11:30:00-05:00,2025-07-21 12:00:00-05:00,2025-07-21 12:00:00-05:00,0,,,0.0
1004,2025-07-21,12,2025-07-21 12:00:00-05:00,2025-07-21 12:30:00-05:00,2025-07-21 12:30:00-05:00,0,,,0.0
1004,2025-07-21,13,2025-07-21 12:30:00-05:00,2025-07-21 13:00:00-05:00,2025-07-21 13:00:00-05:00,0,,,0.0
1004,2025-07-21,14,2025-07-21 13:00:00-05:00,2025-07-21 13:30:00-05:00,2025-07-21 13:30:00-05:00,0,,,0.0
1004,2025-07-21,15,2025-07-21 13:30:00-05:00,2025-07-21 14:00:00-05:00,2025-07-21 14:00:00-05:00,1,32.0,6.68,11.5
1004,2025-07-21,16,2025-07-21 14:00:00-05:00,2025-07-21 14:30:00-05:00,2025-07-21 14:30:00-05:00,0,,,0.0
1004,2025-07-21,17,2025-07-21 14:30:00-05:00,2025-07-21 15:00:00-05:00,2025-07-21 15:00:00-05:00,0,,,0.0
1004,2025-07-21,18,2025-07-21 15:00:00-05:00,2025-07-21 15:30:00-05:00,2025-07-21 15:30:00-05:00,1,5.0,5.87,10.1
149,2025-07-22,1,2025-07-22 00:00:00-05:00,2025-07-22 07:00:00-05:00,2025-07-22 07:00:00-05:00,0,,,0.0
149,2025-07-22,2,2025-07-22 07:00:00-05:00,2025-07-22 07:30:00-05:00,2025-07-22 07:30:00-05:00,0,,,0.0
149,2025-07-22,3,2025-07-22 07:30:00-05:00,2025-07-22 08:00:00-05:00,2025-07-22 08:00:00-05:00,1,521.0,76.64,26.9
149,2025-07-22,4,2025-07-22 08:00:00-05:00,2025-07-22 08:30:00-05:00,2025-07-22 08:30:00-05:00,1,559.0,68.14,25.7
149,2025-07-22,5,2025-07-22 08:30:00-05:00,2025-07-22 09:00:00-05:00,2025-07-22 09:00:00-05:00,1,122.0,59.66,26.1
149,2025-07-22,6,2025-07-22 09:00:00-05:00,2025-07-22 09:30:00-05:00,2025-07-22 09:30:00-05:00,0,,,0.0
149,2025-07-22,7,2025-07-22 09:30:00-05:00,2025-07-22 10:00:00-05:00,2025-07-22 10:00:00-05:00,3,300.0,43.25,24.1
149,2025-07-22,8,2025-07-22 10:00:00-05:00,2025-07-22 10:30:00-05:00,2025-07-22 10:30:00-05:00,0,,,0.0
149,2025-07-22,9,2025-07-22 10:30:00-05:00,2025-07-22 11:00:00-05:00,2025-07-22 11:00:00-05:00,2,40.0,51.7,23.1
149,2025-07-22,10,2025-07-22 11:00:00-05:00,2025-07-22 11:30:00-05:00,2025-07-22 11:30:00-05:00,3,215.0,50.05,24.1
149,2025-07-22,11,2025-07-22 11:30:00-05:00,2025-07-22 12:00:00-05:00,2025-07-22 12:00:00-05:00,2,194.0,60.13,24.1
149,2025-07-22,12,2025-07-22 12:00:00-05:00,2025-07-22 12:30:00-05:00,2025-07-22 12:30:00-05:00,2,211.0,77.36,25.9
149,2025-07-22,13,2025-07-22 12:30:00-05:00,2025-07-22 13:00:00-05:00,2025-07-22 13:00:00-05:00,1,603.0,54.69,25.4
149,2025-07-22,14,2025-07-22 13:00:00-05:00,2025-07-22 13:30:00-05:00,2025-07-22 13:30:00-05:00,0,,,0.0
149,2025-07-22,15,2025-07-22 13:30:00-05:00,2025-07-22 14:00:00-05:00,2025-07-22 14:00:00-05:00,1,62.0,35.52,22.3
149,2025-07-22,16,2025-07-22 14:00:00-05:00,2025-07-22 14:30:00-05:00,2025-07-22 14:30:00-05:00,1,629.0,40.68,22.7
149,2025-07-22,17,2025-07-22 14:30:00-05:00,2025-07-22 15:00:00-05:00,2025-07-22 15:00:00-05:00,1,470.0,33.94,20.5
1,2025-07-22,1,2025-07-22 00:00:00-05:00,2025-07-22 07:00:00-05:00,2025-07-22 07:00:00-05:00,0,,,0.0
1,2025-07-22,2,2025-07-22 07:00:00-05:00,2025-07-22 07:30:00-05:00,2025-07-22 07:30:00-05:00,0,,,0.0
1,2025-07-22,3,2025-07-22 07:30:00-05:00,2025-07-22 08:00:00-05:00,2025-07-22 08:00:00-05:00,0,,,0.0
1,2025-07-22,4,2025-07-22 08:00:00-05:00,2025-07-22 08:30:00-05:00,2025-07-22 08:30:00-05:00,0,,,0.0
1,2025-07-22,5,2025-07-22 08:30:00-05:00,2025-07-22 09:00:00-05:00,2025-07-22 09:00:00-05:00,0,,,0.0
1,2025-07-22,6,2025-07-22 09:00:00-05:00,2025-07-22 09:30:00-05:00,2025-07-22 09:30:00-05:00,0,,,0.0
1,2025-07-22,7,2025-07-22 09:30:00-05:00,2025-07-22 10:00:00-05:00,2025-07-22 10:00:00-05:00,0,,,0.0
1,2025-07-22,8,2025-07-22 10:00:00-05:00,2025-07-22 10:30:00-05:00,2025-07-22 10:30:00-05:00,0,,,0.0
1,2025-07-22,9,2025-07-22 10:30:00-05:00,2025-07-22 11:00:00-05:00,2025-07-22 11:00:00-05:00,0,,,0.0
1,2025-07-22,10,2025-07-22 11:00:00-05:00,2025-07-22 11:30:00-05:00,2025-07-22 11:30:00-05:00,0,,,0.0
1,2025-07-22,11,2025-07-22 11:30:00-05:00,2025-07-22 12:00:00-05:00,2025-07-22 12:00:00-05:00,0,,,0.0
1,2025-07-22,12,2025-07-22 12:00:00-05:00,2025-07-22 12:30:00-05:00,2025-07-22 12:30:00-05:00,0,,,0.0
1,2025-07-22,13,2025-07-22 12:30:00-05:00,2025-07-22 13:00:00-05:00,2025-07-22 13:00:00-05:00,0,,,0.0
1,2025-07-22,14,2025-07-22 13:00:00-05:00,2025-07-22 13:30:00-05:00,2025-07-22 13:30:00-05:00,0,,,0.0
1,2025-07-22,15,2025-07-22 13:30:00-05:00,2025-07-22 14:00:00-05:00,2025-07-22 14:00:00-05:00,0,,,0.0
1,2025-07-22,16,2025-07-22 14:00:00-05:00,2025-07-22 14:30:00-05:00,2025-07-22 14:30:00-05:00,0,,,0.0
1,2025-07-22,17,2025-07-22 14:30:00-05:00,2025-07-22 15:00:00-05:00,2025-07-22 15:00:00-05:00,0,,,0.0
1,2025-07-22,18,2025-07-22 15:00:00-05:00,2025-07-22 15:30:00-05:00,2025-07-22 15:30:00-05:00,0,,,0.0
1,2025-07-22,19,2025-07-22 15:30:00-05:00,2025-07-22 16:00:00-05:00,2025-07-22 16:00:00-05:00,1,1.0,7.84,10.3
1004,2025-07-22,1,2025-07-22 00:00:00-05:00,2025-07-22 07:00:00-05:00,2025-07-22 07:00:00-05:00,0,,,0.0
1004,2025-07-22,2,2025-07-22 07:00:00-05:00,2025-07-22 07:30:00-05:00,2025-07-22 07:30:00-05:00,0,,,0.0
1004,2025-07-22,3,2025-07-22 07:30:00-05:00,2025-07-22 08:00:00-05:00,2025-07-22 08:00:00-05:00,0,,,0.0
1004,2025-07-22,4,2025-07-22 08:00:00-05:00,2025-07-22 08:30:00-05:00,2025-07-22 08:30:00-05:00,0,,,0.0
1004,2025-07-22,5,2025-07-22 08:30:00-05:00,2025-07-22 09:00:00-05:00,2025-07-22 09:00:00-05:00,1,298.0,34.33,14.9
