city,date,batch_id,batch_start,batch_end,decision_time,n_services,best_iter,best_objective,processing_time_s
149,2025-07-21,1,2025-07-21 08:23:49.711000-05:00,2025-07-21 08:23:49.711000-05:00,2025-07-21 08:23:49.711000-05:00,1,217,41.08,25.4
149,2025-07-21,2,2025-07-21 08:27:17.402000-05:00,2025-07-21 08:27:17.402000-05:00,2025-07-21 08:27:17.402000-05:00,1,484,38.83,24.0
149,2025-07-21,3,2025-07-21 08:33:55.759000-05:00,2025-07-21 08:33:55.759000-05:00,2025-07-21 08:33:55.759000-05:00,1,176,54.0,24.8
149,2025-07-21,4,2025-07-21 08:56:43.108000-05:00,2025-07-21 08:56:43.108000-05:00,2025-07-21 08:56:43.108000-05:00,1,557,57.81,25.4
149,2025-07-21,5,2025-07-21 08:57:04.025000-05:00,2025-07-21 08:57:04.025000-05:00,2025-07-21 08:57:04.025000-05:00,1,198,57.78,25.6
149,2025-07-21,6,2025-07-21 08:57:51.903000-05:00,2025-07-21 08:57:51.903000-05:00,2025-07-21 08:57:51.903000-05:00,1,654,57.05,26.5
149,2025-07-21,7,2025-07-21 09:06:46.547000-05:00,2025-07-21 09:06:46.547000-05:00,2025-07-21 09:06:46.547000-05:00,1,215,64.76,27.0
149,2025-07-21,8,2025-07-21 09:24:41.467000-05:00,2025-07-21 09:24:41.467000-05:00,2025-07-21 09:24:41.467000-05:00,1,83,63.27,27.6
149,2025-07-21,9,2025-07-21 09:28:29.562000-05:00,2025-07-21 09:28:29.562000-05:00,2025-07-21 09:28:29.562000-05:00,1,88,61.84,28.1
149,2025-07-21,10,2025-07-21 10:14:47.484000-05:00,2025-07-21 10:14:47.484000-05:00,2025-07-21 10:14:47.484000-05:00,1,387,64.51,27.7
149,2025-07-21,11,2025-07-21 10:29:54.421000-05:00,2025-07-21 10:29:54.421000-05:00,2025-07-21 10:29:54.421000-05:00,1,102,67.88,27.9
149,2025-07-21,12,2025-07-21 10:33:42.874000-05:00,2025-07-21 10:33:42.874000-05:00,2025-07-21 10:33:42.874000-05:00,1,658,67.97,28.0
149,2025-07-21,13,2025-07-21 11:01:22.509000-05:00,2025-07-21 11:01:22.509000-05:00,2025-07-21 11:01:22.509000-05:00,1,63,69.33,28.8
149,2025-07-21,14,2025-07-21 11:12:13-05:00,2025-07-21 11:12:13-05:00,2025-07-21 11:12:13-05:00,1,418,59.95,28.1
149,2025-07-21,15,2025-07-21 11:16:01.834000-05:00,2025-07-21 11:16:01.834000-05:00,2025-07-21 11:16:01.834000-05:00,1,63,68.39,29.2
149,2025-07-21,16,2025-07-21 11:57:14.552000-05:00,2025-07-21 11:57:14.552000-05:00,2025-07-21 11:57:14.552000-05:00,1,463,71.29,27.8
149,2025-07-21,17,2025-07-21 12:09:26.822000-05:00,2025-07-21 12:09:26.822000-05:00,2025-07-21 12:09:26.822000-05:00,1,573,64.34,27.3
149,2025-07-21,18,2025-07-21 14:20:39.560000-05:00,2025-07-21 14:20:39.560000-05:00,2025-07-21 14:20:39.560000-05:00,1,36,23.03,23.1
149,2025-07-21,19,2025-07-21 14:26:28.112000-05:00,2025-07-21 14:26:28.112000-05:00,2025-07-21 14:26:28.112000-05:00,1,515,25.29,23.9
149,2025-07-21,20,2025-07-21 16:22:15.454000-05:00,2025-07-21 16:22:15.454000-05:00,2025-07-21 16:22:15.454000-05:00,1,2,6.0,21.3
149,2025-07-21,21,2025-07-21 17:20:37.926000-05:00,2025-07-21 17:20:37.926000-05:00,2025-07-21 17:20:37.926000-05:00,1,1,7.18,21.4
1,2025-07-21,1,2025-07-21 08:34:17.367000-05:00,2025-07-21 08:34:17.367000-05:00,2025-07-21 08:34:17.367000-05:00,1,161,20.58,19.5
1,2025-07-21,2,2025-07-21 10:47:11.438000-05:00,2025-07-21 10:47:11.438000-05:00,2025-07-21 10:47:11.438000-05:00,1,28,24.16,18.6
150,2025-07-21,1,2025-07-21 15:15:17.253000-05:00,2025-07-21 15:15:17.253000-05:00,2025-07-21 15:15:17.253000-05:00,1,1,5.07,6.3
1004,2025-07-21,1,2025-07-21 10:14:15.782000-05:00,2025-07-21 10:14:15.782000-05:00,2025-07-21 10:14:15.782000-05:00,1,2,8.76,18.5
1004,2025-07-21,2,2025-07-21 13:33:52.233000-05:00,2025-07-21 13:33:52.233000-05:00,2025-07-21 13:33:52.233000-05:00,1,3,18.32,18.6
1004,2025-07-21,3,2025-07-21 15:00:53.946000-05:00,2025-07-21 15:00:53.946000-05:00,2025-07-21 15:00:53.946000-05:00,1,2,11.06,17.9
149,2025-07-22,1,2025-07-22 07:57:23.253000-05:00,2025-07-22 07:57:23.253000-05:00,2025-07-22 07:57:23.253000-05:00,1,185,104.06,45.8
149,2025-07-22,2,2025-07-22 08:13:30.451000-05:00,2025-07-22 08:13:30.451000-05:00,2025-07-22 08:13:30.451000-05:00,1,184,114.32,53.3
149,2025-07-22,3,2025-07-22 08:58:27.335000-05:00,2025-07-22 08:58:27.335000-05:00,2025-07-22 08:58:27.335000-05:00,1,352,80.05,49.8
149,2025-07-22,4,2025-07-22 09:45:22.058000-05:00,2025-07-22 09:45:22.058000-05:00,2025-07-22 09:45:22.058000-05:00,1,516,58.53,36.2
149,2025-07-22,5,2025-07-22 09:45:26.864000-05:00,2025-07-22 09:45:26.864000-05:00,2025-07-22 09:45:26.864000-05:00,1,615,66.07,36.4
149,2025-07-22,6,2025-07-22 09:51:59.148000-05:00,2025-07-22 09:51:59.148000-05:00,2025-07-22 09:51:59.148000-05:00,1,415,75.11,36.8
149,2025-07-22,7,2025-07-22 10:43:14.969000-05:00,2025-07-22 10:43:14.969000-05:00,2025-07-22 10:43:14.969000-05:00,1,341,64.63,36.7
149,2025-07-22,8,2025-07-22 10:57:01.204000-05:00,2025-07-22 10:57:01.204000-05:00,2025-07-22 10:57:01.204000-05:00,1,83,73.16,37.2
149,2025-07-22,9,2025-07-22 11:12:10.495000-05:00,2025-07-22 11:12:10.495000-05:00,2025-07-22 11:12:10.495000-05:00,1,379,69.64,33.9
149,2025-07-22,10,2025-07-22 11:15:24.584000-05:00,2025-07-22 11:15:24.584000-05:00,2025-07-22 11:15:24.584000-05:00,1,355,82.2,35.2
149,2025-07-22,11,2025-07-22 11:22:44.077000-05:00,2025-07-22 11:22:44.077000-05:00,2025-07-22 11:22:44.077000-05:00,1,142,83.44,35.2
149,2025-07-22,12,2025-07-22 11:30:54.832000-05:00,2025-07-22 11:30:54.832000-05:00,2025-07-22 11:30:54.832000-05:00,1,374,79.57,36.3
149,2025-07-22,13,2025-07-22 11:33:37.085000-05:00,2025-07-22 11:33:37.085000-05:00,2025-07-22 11:33:37.085000-05:00,1,492,87.45,37.0
149,2025-07-22,14,2025-07-22 12:03:33.560000-05:00,2025-07-22 12:03:33.560000-05:00,2025-07-22 12:03:33.560000-05:00,1,554,91.81,39.7
149,2025-07-22,15,2025-07-22 12:21:55.778000-05:00,2025-07-22 12:21:55.778000-05:00,2025-07-22 12:21:55.778000-05:00,1,517,105.28,45.6
149,2025-07-22,16,2025-07-22 12:33:31.911000-05:00,2025-07-22 12:33:31.911000-05:00,2025-07-22 12:33:31.911000-05:00,1,228,112.55,46.5
149,2025-07-22,17,2025-07-22 13:51:52.812000-05:00,2025-07-22 13:51:52.812000-05:00,2025-07-22 13:51:52.812000-05:00,1,339,65.73,39.6
