,day,service_count,vt_count,num_drivers,labores_por_conductor,utilizacion_promedio_%,labor_extra_time,driver_extra_time,total_distance,driver_move_distance,algo
0,2026-01-05,133,142,37,3.838,42.7,2273.2,3883.9,0.0,860.2163939244506,Histórico
1,2026-01-06,134,140,37,3.784,44.9,2614.7,4111.2,0.0,940.5380767275485,Histórico
2,2026-01-07,128,142,36,3.944,45.2,2374.7,3959.2,0.0,876.7468518259187,Histórico
3,2026-01-08,135,138,37,3.73,42.1,2184.1,3497.8,0.0,788.9722394509806,Histórico
4,2026-01-09,135,146,37,3.946,46.2,2358.4,3717.0,0.0,999.7606252526839,Histórico
5,2026-01-10,132,138,36,3.833,44.4,3059.4,4689.2,0.0,882.1164587969857,Histórico
6,2026-01-11,133,141,36,3.917,44.1,2209.0,3782.7,0.0,820.7554907095254,Histórico
0,2026-01-05,134,143,34,4.206,46.7,2315.6,3360.6,0.0,602.2962501032058,Offline
1,2026-01-06,136,142,33,4.303,51.1,2675.4,3490.5,0.0,749.7476029165556,Offline
2,2026-01-07,133,151,32,4.719,54.0,2554.8,3380.7,0.0,646.5062830460356,Offline
3,2026-01-08,135,138,34,4.059,45.8,2123.6,2561.3,0.0,595.1157107880424,Offline
4,2026-01-09,139,150,37,4.054,47.4,2508.2,3479.1,0.0,783.4597342002199,Offline
5,2026-01-10,133,139,31,4.484,51.9,2946.0,3752.1,0.0,720.2097427373067,Offline
6,2026-01-11,134,143,32,4.469,50.3,2268.9,3005.0,0.0,620.731497553963,Offline
0,2026-01-05,134,143,35,4.086,45.0,2229.1,3371.3,0.0,723.3741790047687,INSERT
1,2026-01-06,136,142,33,4.303,50.6,2675.4,3670.6,0.0,903.9036486823451,INSERT
2,2026-01-07,134,151,34,4.441,50.4,2511.0,3433.2,0.0,836.158640171882,INSERT
3,2026-01-08,135,138,34,4.059,45.3,2025.8,2749.1,0.0,815.2870775971762,INSERT
4,2026-01-09,139,150,36,4.167,47.9,2412.9,3417.0,0.0,980.9865461821516,INSERT
5,2026-01-10,135,139,33,4.212,48.4,2984.8,3861.3,0.0,890.1486400500503,INSERT
6,2026-01-11,135,144,35,4.114,45.9,2426.5,3317.8,0.0,790.9162185943484,INSERT
0,2026-01-05,134,143,33,4.333,47.7,2197.1,3330.8,0.0,542.6656653246697,INSERT_BUFFER
1,2026-01-06,136,142,31,4.581,53.9,2647.2,3669.5,0.0,698.7249942080259,INSERT_BUFFER
2,2026-01-07,134,151,33,4.576,51.9,2449.5,3345.1,0.0,562.2227736479632,INSERT_BUFFER
3,2026-01-08,135,138,33,4.182,46.6,2023.6,2752.6,0.0,544.8173039807725,INSERT_BUFFER
4,2026-01-09,139,150,36,4.167,47.9,2401.3,3373.0,0.0,729.4568815144066,INSERT_BUFFER
5,2026-01-10,135,139,33,4.212,48.4,2959.1,3806.4,0.0,695.4414376480836,INSERT_BUFFER
6,2026-01-11,135,144,33,4.364,48.7,2324.8,3169.7,0.0,575.2488648564005,INSERT_BUFFER
0,2026-01-05,133,141,33,4.273,47.2,2323.9,3458.3,0.0,525.0162449162938,REACT
1,2026-01-06,136,144,30,4.8,56.3,2898.7,3810.2,0.0,680.1904752311522,REACT
2,2026-01-07,132,151,34,4.441,48.6,2561.8,3407.3,0.0,528.7997172573124,REACT
3,2026-01-08,134,141,32,4.406,49.0,2100.9,2778.0,0.0,566.0867501737863,REACT
4,2026-01-09,137,153,37,4.135,47.0,2517.8,3546.5,0.0,738.4234662031183,REACT
5,2026-01-10,132,137,32,4.281,49.2,3067.5,3855.0,0.0,642.66495783822,REACT
6,2026-01-11,134,140,30,4.667,51.9,2284.3,3118.2,0.0,546.9975421291168,REACT
0,2026-01-05,133,142,34,4.176,46.1,2335.1,3484.0,0.0,540.2414332369112,REACT_BUFFER
1,2026-01-06,136,143,31,4.613,54.2,2822.8,3739.7,0.0,672.7850358089336,REACT_BUFFER
2,2026-01-07,132,151,34,4.441,48.6,2570.4,3447.1,0.0,550.7032779897364,REACT_BUFFER
3,2026-01-08,134,139,33,4.212,46.7,1967.5,2670.1,0.0,514.7757300317845,REACT_BUFFER
4,2026-01-09,137,153,36,4.25,48.3,2504.7,3406.5,0.0,710.7063897286728,REACT_BUFFER
5,2026-01-10,132,137,31,4.419,50.8,3061.2,3920.7,0.0,629.9113028715655,REACT_BUFFER
6,2026-01-11,134,140,31,4.516,48.7,2225.2,3042.5,0.0,508.42951071005007,REACT_BUFFER
