,day,service_count,vt_count,num_drivers,labores_por_conductor,utilizacion_promedio_%,labor_extra_time,driver_extra_time,total_distance,driver_move_distance,algo
0,2026-01-05,133,142,37,3.838,45.7,2418.1,3928.8,0.0,1212.393,Histórico
1,2026-01-06,133,138,36,3.833,47.5,2721.6,4125.0,0.0,1141.4355,Histórico
2,2026-01-07,128,142,36,3.944,48.8,2589.8,4034.0,0.0,1269.3554,Histórico
3,2026-01-08,135,138,37,3.73,45.1,2352.9,3571.0,0.0,1117.0985,Histórico
4,2026-01-09,134,145,37,3.919,49.3,2580.2,3832.3,0.0,1427.3186,Histórico
5,2026-01-10,130,136,36,3.778,46.9,3226.1,4763.1,0.0,1217.8387,Histórico
6,2026-01-11,132,140,36,3.889,46.7,2342.5,3846.7,0.0,1169.353,Histórico
0,2026-01-05,134,143,33,4.333,51.6,2445.5,3476.4,0.0,840.0319,Offline
1,2026-01-06,135,140,34,4.118,51.2,2808.5,3691.0,0.0,902.2426,Offline
2,2026-01-07,133,151,33,4.576,56.6,2689.3,3462.6,0.0,938.4655,Offline
3,2026-01-08,135,138,33,4.182,50.6,2258.2,3010.1,0.0,853.9805,Offline
4,2026-01-09,139,150,37,4.054,51.1,2758.1,3627.2,0.0,1128.4238,Offline
5,2026-01-10,133,139,33,4.212,52.5,3218.9,4080.4,0.0,1031.7554,Offline
6,2026-01-11,135,143,33,4.333,52.0,2404.0,3221.1,0.0,893.8187,Offline
0,2026-01-05,134,143,35,4.086,48.1,2344.8,3451.3,0.0,978.5963,INSERT
1,2026-01-06,135,140,34,4.118,50.5,2757.6,3725.5,0.0,1114.3414,INSERT
2,2026-01-07,134,151,35,4.314,52.6,2660.5,3554.8,0.0,1156.7821999999999,INSERT
3,2026-01-08,135,138,35,3.943,46.9,2293.2,2987.3,0.0,1139.8408,INSERT
4,2026-01-09,138,149,37,4.027,49.4,2527.1,3358.1,0.0,1339.5644,INSERT
5,2026-01-10,135,139,33,4.212,51.9,3152.8,3874.0,0.0,1216.2965,INSERT
6,2026-01-11,134,143,34,4.206,50.1,2419.8,3204.3,0.0,1088.3738,INSERT
0,2026-01-05,134,143,32,4.469,52.5,2283.0,3371.6,0.0,787.6404,INSERT_BUFFER
1,2026-01-06,135,140,31,4.516,55.3,2805.8,3794.4,0.0,824.4677,INSERT_BUFFER
2,2026-01-07,134,151,32,4.719,57.5,2670.9,3567.8,0.0,913.0709,INSERT_BUFFER
3,2026-01-08,135,138,34,4.059,48.3,2209.4,2869.5,0.0,784.8582,INSERT_BUFFER
4,2026-01-09,139,150,37,4.054,49.8,2493.8,3279.2,0.0,1058.6254,INSERT_BUFFER
5,2026-01-10,135,139,31,4.484,55.3,3135.3,3851.9,0.0,1026.6315,INSERT_BUFFER
6,2026-01-11,134,143,32,4.469,53.3,2431.5,3195.2,0.0,875.1536,INSERT_BUFFER
0,2026-01-05,133,141,31,4.548,53.6,2514.9,3534.3,0.0,762.7745,REACT
1,2026-01-06,135,142,32,4.438,54.2,2922.9,3673.8,0.0,788.2325,REACT
2,2026-01-07,130,147,32,4.594,55.3,2772.1,3552.4,0.0,760.1227,REACT
3,2026-01-08,134,140,33,4.242,50.2,2268.2,2959.9,0.0,807.1565,REACT
4,2026-01-09,137,153,36,4.25,51.5,2742.6,3628.1,0.0,1008.8802,REACT
5,2026-01-10,132,137,31,4.419,54.6,3307.5,4026.2,0.0,929.9764,REACT
6,2026-01-11,133,139,33,4.212,49.8,2361.5,3149.3,0.0,788.0181,REACT
0,2026-01-05,133,142,33,4.303,50.7,2470.1,3575.3,0.0,741.6339,REACT_BUFFER
1,2026-01-06,135,141,31,4.548,55.6,2902.5,3663.0,0.0,771.9782,REACT_BUFFER
2,2026-01-07,132,152,34,4.471,54.0,2721.8,3582.4,0.0,862.6845,REACT_BUFFER
3,2026-01-08,134,140,32,4.375,51.9,2223.9,2937.6,0.0,795.2755,REACT_BUFFER
4,2026-01-09,137,153,36,4.25,51.5,2679.8,3553.1,0.0,1000.4739,REACT_BUFFER
5,2026-01-10,132,136,31,4.387,54.2,3236.5,3909.6,0.0,904.7427,REACT_BUFFER
6,2026-01-11,133,139,32,4.344,49.8,2343.2,3137.5,0.0,753.3137,REACT_BUFFER
