,day,service_count,vt_count,num_drivers,labores_por_conductor,utilizacion_promedio_%,labor_extra_time,driver_extra_time,total_distance,driver_move_distance,algo
0,2025-07-21,84,92,31,2.968,35.6,1652.2,2691.2,0.0,680.927835753565,Histórico
1,2025-07-22,99,105,28,3.75,46.8,1791.8,3200.4,0.0,686.9017007114488,Histórico
2,2025-07-23,92,98,28,3.5,39.4,1502.4,2704.7,0.0,639.9920080714596,Histórico
3,2025-07-24,98,101,30,3.367,39.5,1810.2,3253.9,0.0,696.0330262561292,Histórico
4,2025-07-25,85,95,33,2.879,32.8,1373.4,2582.5,0.0,647.9128414512957,Histórico
5,2025-07-26,28,32,16,2.0,23.2,683.0,1170.0,0.0,198.7755864797307,Histórico
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Histórico
0,2025-07-21,85,94,27,3.481,41.7,1659.3,2291.0,0.0,471.6252260919768,Offline
1,2025-07-22,99,105,26,4.038,50.4,1803.3,2525.4,0.0,466.18146194925794,Offline
2,2025-07-23,93,99,24,4.125,46.4,1544.0,2285.0,0.0,396.618117481552,Offline
3,2025-07-24,98,101,28,3.607,42.3,1918.8,2664.2,0.0,513.8168008295138,Offline
4,2025-07-25,85,95,28,3.393,38.7,1499.9,2420.3,0.0,405.8010754889053,Offline
5,2025-07-26,27,32,15,2.133,24.9,633.0,1080.0,0.0,132.96584794564006,Offline
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Offline
0,2025-07-21,85,94,29,3.241,38.2,1638.3,2358.2,0.0,637.9850632623544,INSERT
1,2025-07-22,99,105,27,3.889,48.6,1876.2,2503.5,0.0,715.9346993475817,INSERT
2,2025-07-23,93,99,27,3.667,41.2,1550.2,2332.9,0.0,487.1023558295456,INSERT
3,2025-07-24,97,100,30,3.333,39.1,1863.1,2763.3,0.0,648.1690869902127,INSERT
4,2025-07-25,85,95,31,3.065,34.7,1415.5,2301.7,0.0,546.8798195280592,INSERT
5,2025-07-26,27,32,15,2.133,25.1,633.0,1080.0,0.0,139.7397555052651,INSERT
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,INSERT
0,2025-07-21,85,94,26,3.615,42.6,1634.4,2346.7,0.0,405.65298035365055,INSERT_BUFFER
1,2025-07-22,99,105,26,4.038,50.4,1816.2,2438.3,0.0,449.99499804485583,INSERT_BUFFER
2,2025-07-23,93,99,24,4.125,46.3,1525.2,2300.9,0.0,371.1795065241751,INSERT_BUFFER
3,2025-07-24,97,100,27,3.704,43.5,1831.2,2792.9,0.0,468.55777509902373,INSERT_BUFFER
4,2025-07-25,85,95,28,3.393,38.4,1462.0,2349.6,0.0,392.6072903683487,INSERT_BUFFER
5,2025-07-26,27,32,14,2.286,26.9,633.0,1080.0,0.0,136.05391196074086,INSERT_BUFFER
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,INSERT_BUFFER
0,2025-07-21,84,92,27,3.407,40.1,1610.5,2330.6,0.0,390.66270832818486,REACT
1,2025-07-22,99,104,26,4.0,50.0,1903.1,2553.1,0.0,465.2145430499564,REACT
2,2025-07-23,91,95,24,3.958,44.5,1501.3,2273.6,0.0,342.74911100911254,REACT
3,2025-07-24,97,100,28,3.571,41.9,1967.4,2762.0,0.0,479.23019564585667,REACT
4,2025-07-25,85,91,29,3.138,35.3,1436.4,2313.7,0.0,392.9094893628783,REACT
5,2025-07-26,27,31,14,2.214,24.5,633.0,1080.0,0.0,135.20621631954555,REACT
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,REACT
0,2025-07-21,85,94,27,3.481,41.0,1627.6,2339.9,0.0,431.8529458679287,REACT_BUFFER
1,2025-07-22,99,103,25,4.12,51.4,1837.8,2470.1,0.0,454.0313088824969,REACT_BUFFER
2,2025-07-23,91,94,23,4.087,44.1,1500.3,2270.0,0.0,345.6410305909897,REACT_BUFFER
3,2025-07-24,97,99,28,3.536,41.4,1962.7,2825.8,0.0,454.16539066519334,REACT_BUFFER
4,2025-07-25,85,94,30,3.133,35.4,1391.9,2290.7,0.0,412.7768766980192,REACT_BUFFER
5,2025-07-26,27,32,14,2.286,25.1,633.0,1080.0,0.0,135.52790131025745,REACT_BUFFER
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,REACT_BUFFER
