,day,service_count,vt_count,num_drivers,labores_por_conductor,utilizacion_promedio_%,labor_extra_time,driver_extra_time,total_distance,driver_move_distance,algo
0,2025-07-21,83,91,31,2.935,38.3,1815.3,2726.3,0.0,916.3784,Histórico
1,2025-07-22,97,103,28,3.679,48.5,1834.7,3132.7,0.0,965.8161,Histórico
2,2025-07-23,92,98,28,3.5,42.1,1622.1,2755.5,0.0,898.5865,Histórico
3,2025-07-24,98,101,30,3.367,43.3,2067.4,3383.2,0.0,1016.2639,Histórico
4,2025-07-25,84,94,33,2.848,35.1,1494.4,2623.7,0.0,897.9113,Histórico
5,2025-07-26,28,32,16,2.0,25.2,730.9,1170.0,0.0,285.6808,Histórico
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Histórico
0,2025-07-21,85,94,26,3.615,47.1,1804.7,2336.3,0.0,675.1562,Offline
1,2025-07-22,98,104,28,3.714,48.9,1813.9,2427.8,0.0,734.9145,Offline
2,2025-07-23,93,99,24,4.125,49.5,1595.5,2455.0,0.0,605.1047,Offline
3,2025-07-24,98,101,27,3.741,48.1,2150.7,2884.9,0.0,777.3059000000001,Offline
4,2025-07-25,85,95,28,3.393,41.7,1607.8,2381.6,0.0,579.4984,Offline
5,2025-07-26,28,33,15,2.2,27.9,731.0,1080.0,0.0,195.3933,Offline
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Offline
0,2025-07-21,85,94,28,3.357,42.6,1747.6,2322.0,0.0,925.7589,INSERT
1,2025-07-22,99,105,28,3.75,51.9,2136.9,2707.1,0.0,1035.345,INSERT
2,2025-07-23,93,99,27,3.667,43.9,1642.8,2436.3,0.0,685.4734,INSERT
3,2025-07-24,97,100,30,3.333,42.8,2148.8,2808.9,0.0,943.2792000000001,INSERT
4,2025-07-25,85,95,29,3.276,39.9,1535.8,2261.0,0.0,736.1114,INSERT
5,2025-07-26,28,33,16,2.062,26.5,731.0,1080.0,0.0,204.5857,INSERT
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,INSERT
0,2025-07-21,85,94,26,3.615,45.9,1738.3,2308.6,0.0,622.3851,INSERT_BUFFER
1,2025-07-22,99,105,26,4.038,55.9,2163.1,2721.8,0.0,895.2552,INSERT_BUFFER
2,2025-07-23,93,99,24,4.125,49.3,1601.8,2377.6,0.0,562.1883,INSERT_BUFFER
3,2025-07-24,97,100,28,3.571,45.9,2130.4,2798.8,0.0,738.8169,INSERT_BUFFER
4,2025-07-25,85,95,30,3.167,38.5,1569.6,2290.2,0.0,578.5607,INSERT_BUFFER
5,2025-07-26,28,33,15,2.2,28.2,731.0,1080.0,0.0,195.152,INSERT_BUFFER
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,INSERT_BUFFER
0,2025-07-21,84,92,25,3.68,46.8,1749.0,2281.4,0.0,572.8637,REACT
1,2025-07-22,98,104,26,4.0,52.7,1894.2,2461.8,0.0,680.0647,REACT
2,2025-07-23,91,94,24,3.917,46.9,1582.7,2346.0,0.0,501.5798,REACT
3,2025-07-24,97,100,28,3.571,45.9,2199.7,2789.8,0.0,734.6285,REACT
4,2025-07-25,85,92,29,3.172,38.3,1594.1,2306.0,0.0,597.5438,REACT
5,2025-07-26,28,32,13,2.462,29.5,731.0,1080.0,0.0,185.2066,REACT
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,REACT
0,2025-07-21,85,94,26,3.615,45.9,1731.0,2275.4,0.0,645.8204,REACT_BUFFER
1,2025-07-22,98,102,25,4.08,53.9,1825.3,2384.0,0.0,681.9421,REACT_BUFFER
2,2025-07-23,91,95,24,3.958,47.4,1603.1,2374.0,0.0,507.2355,REACT_BUFFER
3,2025-07-24,97,100,28,3.571,45.9,2185.7,2800.5,0.0,713.0285,REACT_BUFFER
4,2025-07-25,85,92,29,3.172,38.3,1544.2,2253.5,0.0,562.5171,REACT_BUFFER
5,2025-07-26,28,32,13,2.462,29.5,731.0,1080.0,0.0,193.6458,REACT_BUFFER
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,REACT_BUFFER
