city,date,batch_id,batch_start,batch_end,decision_time,n_services,best_iter,best_objective,processing_time_s
149,2026-11-11,1,2026-11-11 13:20:57.302000-05:00,2026-11-11 13:20:57.302000-05:00,2026-11-11 13:20:57.302000-05:00,1,215,46.9,124.5
149,2026-11-11,2,2026-11-11 10:48:27.307000-05:00,2026-11-11 10:48:27.307000-05:00,2026-11-11 10:48:27.307000-05:00,1,373,51.67,198.9
149,2026-11-11,3,2026-11-11 11:13:05.228000-05:00,2026-11-11 11:13:05.228000-05:00,2026-11-11 11:13:05.228000-05:00,1,188,59.65,204.9
149,2026-11-11,4,2026-11-11 09:32:01.428000-05:00,2026-11-11 09:32:01.428000-05:00,2026-11-11 09:32:01.428000-05:00,1,321,101.89,301.3
149,2026-11-11,5,2026-11-11 08:38:20.263000-05:00,2026-11-11 08:38:20.263000-05:00,2026-11-11 08:38:20.263000-05:00,1,155,138.56,386.9
149,2026-11-11,6,2026-11-11 10:35:23.425000-05:00,2026-11-11 10:35:23.425000-05:00,2026-11-11 10:35:23.425000-05:00,1,50,78.54,223.0
149,2026-11-11,7,2026-11-11 10:59:04.153000-05:00,2026-11-11 10:59:04.153000-05:00,2026-11-11 10:59:04.153000-05:00,1,138,82.31,211.5
149,2026-11-11,8,2026-11-11 09:56:36.713000-05:00,2026-11-11 09:56:36.713000-05:00,2026-11-11 09:56:36.713000-05:00,1,170,100.91,246.8
1,2026-11-11,1,2026-11-11 14:50:26.643000-05:00,2026-11-11 14:50:26.643000-05:00,2026-11-11 14:50:26.643000-05:00,1,7,21.01,12.8
844,2026-11-11,1,2026-11-11 08:33:34.548000-05:00,2026-11-11 08:33:34.548000-05:00,2026-11-11 08:33:34.548000-05:00,1,1,9.15,3.5
