city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,27,10.9,124.27,160,381.8
149,2026-11-11,0.3,373,27,9.0,117.98,373,381.8
149,2026-11-11,0.3,586,27,9.0,117.98,400,381.8
149,2026-11-11,0.3,800,27,9.0,117.98,400,381.8
149,2026-11-11,0.3,160,22,9.0,102.3,160,262.6
149,2026-11-11,0.3,373,22,51.1,98.53,373,262.6
149,2026-11-11,0.3,586,22,49.2,97.49,400,262.6
149,2026-11-11,0.3,800,22,49.2,97.49,400,262.6
149,2026-11-11,0.3,160,19,94.1,92.85,160,185.0
149,2026-11-11,0.3,373,19,87.4,84.44,373,185.0
149,2026-11-11,0.3,586,19,87.4,84.44,400,185.0
149,2026-11-11,0.3,800,19,87.4,84.44,400,185.0
149,2026-11-11,0.3,160,19,50.3,94.75,160,187.7
149,2026-11-11,0.3,373,19,49.0,88.2,373,187.7
149,2026-11-11,0.3,586,19,49.0,88.2,400,187.7
149,2026-11-11,0.3,800,19,49.0,88.2,400,187.7
149,2026-11-11,0.3,160,15,50.3,72.36,160,133.4
149,2026-11-11,0.3,373,15,10.1,67.11,373,133.4
149,2026-11-11,0.3,586,15,10.1,67.11,400,133.4
149,2026-11-11,0.3,800,15,10.1,67.11,400,133.4
149,2026-11-11,0.3,160,13,40.4,61.32,160,106.3
149,2026-11-11,0.3,373,13,40.4,61.32,373,106.3
149,2026-11-11,0.3,586,13,40.4,61.32,400,106.3
149,2026-11-11,0.3,800,13,40.4,61.32,400,106.3
149,2026-11-11,0.3,160,10,42.3,53.51,160,79.5
149,2026-11-11,0.3,373,10,73.3,50.06,373,79.5
149,2026-11-11,0.3,586,10,73.3,50.06,400,79.5
149,2026-11-11,0.3,800,10,73.3,50.06,400,79.5
