city,date,batch_id,batch_start,batch_end,decision_time,n_services,best_iter,best_objective,processing_time_s
149,2026-11-11,1,2026-11-11 06:42:08.947000-05:00,2026-11-11 06:42:08.947000-05:00,2026-11-11 06:42:08.947000-05:00,1,272,188.71,339.0
149,2026-11-11,2,2026-11-11 09:05:39.747000-05:00,2026-11-11 09:05:39.747000-05:00,2026-11-11 09:05:39.747000-05:00,1,341,90.45,191.8
149,2026-11-11,3,2026-11-11 09:40:58.867000-05:00,2026-11-11 09:40:58.867000-05:00,2026-11-11 09:40:58.867000-05:00,1,189,79.57,159.7
149,2026-11-11,4,2026-11-11 11:39:37.142000-05:00,2026-11-11 11:39:37.142000-05:00,2026-11-11 11:39:37.142000-05:00,1,270,52.1,102.9
149,2026-11-11,5,2026-11-11 11:59:15.069000-05:00,2026-11-11 11:59:15.069000-05:00,2026-11-11 11:59:15.069000-05:00,1,98,45.94,91.3
149,2026-11-11,6,2026-11-11 12:16:47.908000-05:00,2026-11-11 12:16:47.908000-05:00,2026-11-11 12:16:47.908000-05:00,1,238,56.44,97.0
149,2026-11-11,7,2026-11-11 13:37:52.985000-05:00,2026-11-11 13:37:52.985000-05:00,2026-11-11 13:37:52.985000-05:00,1,108,26.43,57.2
149,2026-11-11,8,2026-11-11 14:59:27.868000-05:00,2026-11-11 14:59:27.868000-05:00,2026-11-11 14:59:27.868000-05:00,1,216,15.37,32.1
149,2026-11-11,9,2026-11-11 09:18:17.219000-05:00,2026-11-11 09:18:17.219000-05:00,2026-11-11 09:18:17.219000-05:00,1,190,118.7,187.7
149,2026-11-11,10,2026-11-11 11:28:39.403000-05:00,2026-11-11 11:28:39.403000-05:00,2026-11-11 11:28:39.403000-05:00,1,82,83.19,115.1
149,2026-11-11,11,2026-11-11 12:22:17.860000-05:00,2026-11-11 12:22:17.860000-05:00,2026-11-11 12:22:17.860000-05:00,1,101,65.73,91.3
149,2026-11-11,12,2026-11-11 12:46:43.011000-05:00,2026-11-11 12:46:43.011000-05:00,2026-11-11 12:46:43.011000-05:00,1,384,67.45,100.4
149,2026-11-11,13,2026-11-11 07:50:28.126000-05:00,2026-11-11 07:50:28.126000-05:00,2026-11-11 07:50:28.126000-05:00,1,304,170.14,207.0
149,2026-11-11,14,2026-11-11 10:03:19.404000-05:00,2026-11-11 10:03:19.404000-05:00,2026-11-11 10:03:19.404000-05:00,1,224,132.96,175.1
149,2026-11-11,15,2026-11-11 10:37:22.437000-05:00,2026-11-11 10:37:22.437000-05:00,2026-11-11 10:37:22.437000-05:00,1,20,133.61,139.3
149,2026-11-11,16,2026-11-11 11:13:53.481000-05:00,2026-11-11 11:13:53.481000-05:00,2026-11-11 11:13:53.481000-05:00,1,76,122.54,117.7
