city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,33,108.3,204.2,160,683.5
149,2026-11-11,0.3,373,33,120.9,198.54,373,683.5
149,2026-11-11,0.3,586,33,120.9,198.54,400,683.5
149,2026-11-11,0.3,800,33,120.9,198.54,400,683.5
149,2026-11-11,0.3,160,28,0.0,153.2,160,545.0
149,2026-11-11,0.3,373,28,0.0,153.2,373,545.0
149,2026-11-11,0.3,586,28,0.0,153.2,400,545.0
149,2026-11-11,0.3,800,28,0.0,153.2,400,545.0
149,2026-11-11,0.3,160,25,0.0,141.75,160,264.8
149,2026-11-11,0.3,373,25,0.0,135.08,373,264.8
149,2026-11-11,0.3,586,25,0.0,135.08,400,264.8
149,2026-11-11,0.3,800,25,0.0,135.08,400,264.8
149,2026-11-11,0.3,160,27,52.0,147.83,160,187.0
149,2026-11-11,0.3,373,27,27.2,140.01,373,187.0
149,2026-11-11,0.3,586,27,27.2,140.01,400,187.0
149,2026-11-11,0.3,800,27,27.2,140.01,400,187.0
149,2026-11-11,0.3,160,23,59.3,133.09,160,148.4
149,2026-11-11,0.3,373,23,59.3,121.54,373,148.4
149,2026-11-11,0.3,586,23,59.3,121.54,400,148.4
149,2026-11-11,0.3,800,23,59.3,121.54,400,148.4
149,2026-11-11,0.3,160,17,59.3,98.94,160,152.3
149,2026-11-11,0.3,373,17,67.0,94.51,373,152.3
149,2026-11-11,0.3,586,17,67.0,94.51,400,152.3
149,2026-11-11,0.3,800,17,67.0,94.51,400,152.3
149,2026-11-11,0.3,160,19,137.2,100.18,160,217.7
149,2026-11-11,0.3,373,19,129.5,99.83,373,217.7
149,2026-11-11,0.3,586,19,129.5,99.83,400,217.7
149,2026-11-11,0.3,800,19,129.5,99.83,400,217.7
149,2026-11-11,0.3,160,21,160.1,113.85,160,196.5
149,2026-11-11,0.3,373,21,154.5,112.42,373,196.5
149,2026-11-11,0.3,586,21,154.5,112.42,400,196.5
149,2026-11-11,0.3,800,21,154.5,112.42,400,196.5
149,2026-11-11,0.3,160,19,171.0,102.91,160,164.8
149,2026-11-11,0.3,373,19,171.0,102.91,373,164.8
149,2026-11-11,0.3,586,19,171.0,102.91,400,164.8
149,2026-11-11,0.3,800,19,171.0,102.91,400,164.8
149,2026-11-11,0.3,160,20,242.1,126.54,160,138.8
149,2026-11-11,0.3,373,20,242.1,126.54,373,138.8
149,2026-11-11,0.3,586,20,242.1,126.54,400,138.8
149,2026-11-11,0.3,800,20,242.1,126.54,400,138.8
149,2026-11-11,0.3,160,17,309.6,108.61,160,112.7
149,2026-11-11,0.3,373,17,257.2,106.98,373,112.7
149,2026-11-11,0.3,586,17,257.2,106.98,400,112.7
149,2026-11-11,0.3,800,17,257.2,106.98,400,112.8
149,2026-11-11,0.3,160,16,372.0,104.22,160,126.6
149,2026-11-11,0.3,373,16,338.6,100.18,373,126.6
149,2026-11-11,0.3,586,16,338.6,100.18,400,126.6
149,2026-11-11,0.3,800,16,338.6,100.18,400,126.6
149,2026-11-11,0.3,160,17,469.3,124.17,160,128.0
149,2026-11-11,0.3,373,17,483.5,119.72,373,128.0
149,2026-11-11,0.3,586,17,483.5,119.72,400,128.0
149,2026-11-11,0.3,800,17,483.5,119.72,400,128.0
1,2026-11-11,0.3,80,11,27.6,36.1,80,42.9
1,2026-11-11,0.3,186,11,27.6,35.18,186,42.9
1,2026-11-11,0.3,293,11,27.6,35.18,200,42.9
1,2026-11-11,0.3,400,11,27.6,35.18,200,42.9
1,2026-11-11,0.3,80,12,0.0,65.35,80,44.6
1,2026-11-11,0.3,186,12,0.0,65.35,186,44.6
1,2026-11-11,0.3,293,12,0.0,65.35,200,44.6
1,2026-11-11,0.3,400,12,0.0,65.35,200,44.6
1,2026-11-11,0.3,80,13,0.0,70.21,80,43.1
1,2026-11-11,0.3,186,13,0.0,70.06,186,43.1
1,2026-11-11,0.3,293,13,0.0,70.06,200,43.1
1,2026-11-11,0.3,400,13,0.0,70.06,200,43.1
1,2026-11-11,0.3,80,12,0.0,67.66,80,38.6
1,2026-11-11,0.3,186,12,0.0,67.66,186,38.6
1,2026-11-11,0.3,293,12,0.0,67.66,200,38.6
1,2026-11-11,0.3,400,12,0.0,67.66,200,38.6
1,2026-11-11,0.3,80,5,0.0,5.96,80,23.1
1,2026-11-11,0.3,186,5,0.0,5.96,186,23.1
1,2026-11-11,0.3,293,5,0.0,5.96,200,23.1
1,2026-11-11,0.3,400,5,0.0,5.96,200,23.1
126,2026-11-11,0.3,12,4,127.4,51.74,12,8.7
126,2026-11-11,0.3,28,4,127.4,51.74,28,8.7
126,2026-11-11,0.3,44,4,127.4,51.74,30,8.7
126,2026-11-11,0.3,60,4,127.4,51.74,30,8.7
150,2026-11-11,0.3,12,1,0.0,8.78,12,7.0
150,2026-11-11,0.3,28,1,0.0,8.78,28,7.0
150,2026-11-11,0.3,44,1,0.0,8.78,30,7.0
150,2026-11-11,0.3,60,1,0.0,8.78,30,7.0
844,2026-11-11,0.3,12,1,0.0,7.33,12,6.6
844,2026-11-11,0.3,28,1,0.0,7.33,28,6.6
844,2026-11-11,0.3,44,1,0.0,7.33,30,6.6
844,2026-11-11,0.3,60,1,0.0,7.33,30,6.6
1004,2026-11-11,0.3,80,10,0.0,49.11,80,40.0
1004,2026-11-11,0.3,186,10,0.0,49.11,186,40.0
1004,2026-11-11,0.3,293,10,0.0,49.11,200,40.0
1004,2026-11-11,0.3,400,10,0.0,49.11,200,40.0
1004,2026-11-11,0.3,80,10,0.0,48.02,80,37.6
1004,2026-11-11,0.3,186,10,0.0,46.92,186,37.6
1004,2026-11-11,0.3,293,10,0.0,46.92,200,37.6
1004,2026-11-11,0.3,400,10,0.0,46.92,200,37.6
1004,2026-11-11,0.3,80,11,68.8,52.72,80,36.1
1004,2026-11-11,0.3,186,11,68.8,52.72,186,36.1
1004,2026-11-11,0.3,293,11,54.1,52.59,200,36.1
1004,2026-11-11,0.3,400,11,54.1,52.59,200,36.1
1004,2026-11-11,0.3,80,13,54.1,73.23,80,35.4
1004,2026-11-11,0.3,186,13,54.1,69.54,186,35.4
1004,2026-11-11,0.3,293,13,54.1,69.54,200,35.4
1004,2026-11-11,0.3,400,13,54.1,69.54,200,35.4
1004,2026-11-11,0.3,80,11,54.1,58.76,80,29.9
1004,2026-11-11,0.3,186,11,54.1,58.76,186,29.9
1004,2026-11-11,0.3,293,11,54.1,58.76,200,30.0
1004,2026-11-11,0.3,400,11,54.1,58.76,200,30.0
1004,2026-11-11,0.3,80,11,112.0,60.42,80,29.1
1004,2026-11-11,0.3,186,11,112.0,60.42,186,29.1
1004,2026-11-11,0.3,293,11,112.0,60.42,200,29.1
1004,2026-11-11,0.3,400,11,112.0,60.42,200,29.1
1004,2026-11-11,0.3,80,11,170.2,63.34,80,28.9
1004,2026-11-11,0.3,186,11,170.2,63.34,186,28.9
1004,2026-11-11,0.3,293,11,170.2,63.34,200,28.9
1004,2026-11-11,0.3,400,11,170.2,63.34,200,28.9
