city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,7,0.0,35.64,160,81.2
149,2026-11-11,0.3,373,7,0.0,32.45,373,81.2
149,2026-11-11,0.3,586,7,0.0,32.45,400,81.2
149,2026-11-11,0.3,800,7,0.0,32.45,400,81.2
149,2026-11-11,0.3,160,7,55.0,35.85,160,69.0
149,2026-11-11,0.3,373,7,25.0,34.5,373,69.0
149,2026-11-11,0.3,586,7,25.0,34.5,400,69.0
149,2026-11-11,0.3,800,7,25.0,34.5,400,69.0
149,2026-11-11,0.3,160,11,25.0,56.75,160,140.4
149,2026-11-11,0.3,373,11,25.0,56.75,373,140.4
149,2026-11-11,0.3,586,11,25.0,56.75,400,140.4
149,2026-11-11,0.3,800,11,25.0,56.75,400,140.4
149,2026-11-11,0.3,160,5,25.0,24.4,160,63.4
149,2026-11-11,0.3,373,5,25.0,22.86,373,63.5
149,2026-11-11,0.3,586,5,25.0,22.86,400,63.5
149,2026-11-11,0.3,800,5,25.0,22.86,400,63.5
149,2026-11-11,0.3,160,6,25.0,28.86,160,55.8
149,2026-11-11,0.3,373,6,25.0,28.86,373,55.8
149,2026-11-11,0.3,586,6,25.0,28.86,400,55.8
149,2026-11-11,0.3,800,6,25.0,28.86,400,55.8
149,2026-11-11,0.3,160,15,53.1,85.06,160,243.8
149,2026-11-11,0.3,373,15,25.0,84.4,373,243.8
149,2026-11-11,0.3,586,15,25.0,84.4,400,243.8
149,2026-11-11,0.3,800,15,25.0,84.4,400,243.8
149,2026-11-11,0.3,160,8,25.0,38.96,160,55.3
149,2026-11-11,0.3,373,8,55.0,36.9,373,55.3
149,2026-11-11,0.3,586,8,55.0,36.9,400,55.3
149,2026-11-11,0.3,800,8,55.0,36.9,400,55.3
149,2026-11-11,0.3,160,7,87.3,34.01,160,62.3
149,2026-11-11,0.3,373,7,87.3,34.01,373,62.3
149,2026-11-11,0.3,586,7,87.3,34.01,400,62.3
149,2026-11-11,0.3,800,7,87.3,34.01,400,62.3
149,2026-11-11,0.3,160,10,152.3,42.95,160,68.7
149,2026-11-11,0.3,373,10,152.3,42.95,373,68.7
149,2026-11-11,0.3,586,10,152.3,42.95,400,68.7
149,2026-11-11,0.3,800,10,152.3,42.95,400,68.7
149,2026-11-11,0.3,160,31,87.3,168.98,160,549.5
149,2026-11-11,0.3,373,31,87.3,168.98,373,549.5
149,2026-11-11,0.3,586,31,87.3,168.98,400,549.5
149,2026-11-11,0.3,800,31,87.3,168.98,400,549.5
149,2026-11-11,0.3,160,27,92.9,157.39,160,388.9
149,2026-11-11,0.3,373,27,148.9,140.65,373,388.9
149,2026-11-11,0.3,586,27,148.9,140.65,400,388.9
149,2026-11-11,0.3,800,27,148.9,140.65,400,388.9
149,2026-11-11,0.3,160,26,87.3,148.32,160,223.3
149,2026-11-11,0.3,373,26,124.2,143.65,373,223.3
