city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,25,56.8,141.94,160,302.2
149,2026-11-11,0.3,373,25,53.2,141.53,373,302.2
149,2026-11-11,0.3,586,25,64.8,130.71,400,302.2
149,2026-11-11,0.3,800,25,64.8,130.71,400,302.2
149,2026-11-11,0.3,160,23,0.0,138.94,160,256.9
149,2026-11-11,0.3,373,23,0.0,138.94,373,256.9
149,2026-11-11,0.3,586,23,0.0,129.55,400,256.9
149,2026-11-11,0.3,800,23,0.0,129.55,400,256.9
149,2026-11-11,0.3,160,5,0.8,29.44,160,69.8
149,2026-11-11,0.3,373,5,0.8,28.77,373,69.8
149,2026-11-11,0.3,586,5,0.8,28.77,400,69.8
149,2026-11-11,0.3,800,5,0.8,28.77,400,69.8
149,2026-11-11,0.3,160,6,19.5,35.66,160,62.9
149,2026-11-11,0.3,373,6,20.3,33.57,373,62.9
149,2026-11-11,0.3,586,6,20.3,33.57,400,62.9
149,2026-11-11,0.3,800,6,20.3,33.57,400,62.9
149,2026-11-11,0.3,160,7,20.3,37.78,160,71.4
149,2026-11-11,0.3,373,7,20.3,36.58,373,71.4
149,2026-11-11,0.3,586,7,20.3,36.58,400,71.4
149,2026-11-11,0.3,800,7,20.3,36.58,400,71.4
149,2026-11-11,0.3,160,4,20.3,28.37,160,43.7
149,2026-11-11,0.3,373,4,20.3,28.37,373,43.7
149,2026-11-11,0.3,586,4,20.3,28.37,400,43.7
149,2026-11-11,0.3,800,4,20.3,28.37,400,43.7
149,2026-11-11,0.3,160,31,101.6,180.96,160,322.4
149,2026-11-11,0.3,373,31,86.2,179.24,373,322.4
149,2026-11-11,0.3,586,31,86.2,179.24,400,322.4
149,2026-11-11,0.3,800,31,86.2,179.24,400,322.4
149,2026-11-11,0.3,160,34,151.9,189.89,160,338.9
149,2026-11-11,0.3,373,34,151.9,189.89,373,338.9
149,2026-11-11,0.3,586,34,151.9,189.89,400,338.9
149,2026-11-11,0.3,800,34,151.9,189.89,400,338.9
149,2026-11-11,0.3,160,18,20.3,92.54,160,137.9
149,2026-11-11,0.3,373,18,20.3,88.07,373,137.9
149,2026-11-11,0.3,586,18,20.3,88.07,400,137.9
149,2026-11-11,0.3,800,18,20.3,88.07,400,137.9
149,2026-11-11,0.3,160,39,348.5,235.45,160,388.9
149,2026-11-11,0.3,373,39,366.1,229.06,373,388.9
149,2026-11-11,0.3,586,39,366.1,229.06,400,388.9
149,2026-11-11,0.3,800,39,366.1,229.06,400,388.9
149,2026-11-11,0.3,160,31,19.5,182.2,160,244.5
149,2026-11-11,0.3,373,31,19.5,174.95,373,244.5
149,2026-11-11,0.3,586,31,19.5,169.8,400,244.5
149,2026-11-11,0.3,800,31,19.5,169.8,400,244.5
149,2026-11-11,0.3,160,32,28.1,174.57,160,235.2
149,2026-11-11,0.3,373,32,28.1,174.57,373,235.2
149,2026-11-11,0.3,586,32,28.1,174.57,400,235.2
149,2026-11-11,0.3,800,32,28.1,174.57,400,235.2
149,2026-11-11,0.3,160,25,19.5,140.88,160,145.5
149,2026-11-11,0.3,373,25,19.5,131.89,373,145.5
149,2026-11-11,0.3,586,25,19.5,131.89,400,145.5
149,2026-11-11,0.3,800,25,19.5,131.89,400,145.5
149,2026-11-11,0.3,160,6,39.3,19.19,160,63.4
149,2026-11-11,0.3,373,6,39.3,19.19,373,63.4
149,2026-11-11,0.3,586,6,39.3,19.19,400,63.4
149,2026-11-11,0.3,800,6,39.3,19.19,400,63.4
149,2026-11-11,0.3,160,13,130.2,61.57,160,87.0
149,2026-11-11,0.3,373,13,111.2,58.49,373,87.0
149,2026-11-11,0.3,586,13,111.2,58.49,400,87.0
149,2026-11-11,0.3,800,13,111.2,58.49,400,87.1
149,2026-11-11,0.3,160,14,149.7,67.1,160,86.5
149,2026-11-11,0.3,373,14,189.7,64.0,373,86.5
149,2026-11-11,0.3,586,14,189.7,64.0,400,86.5
149,2026-11-11,0.3,800,14,189.7,64.0,400,86.5
149,2026-11-11,0.3,160,19,149.7,91.48,160,118.4
149,2026-11-11,0.3,373,19,149.7,91.48,373,118.4
149,2026-11-11,0.3,586,19,149.7,91.48,400,118.4
149,2026-11-11,0.3,800,19,149.7,91.48,400,118.4
149,2026-11-11,0.3,160,20,166.4,86.92,160,116.9
149,2026-11-11,0.3,373,20,166.4,86.92,373,116.9
149,2026-11-11,0.3,586,20,166.4,86.92,400,116.9
149,2026-11-11,0.3,800,20,166.4,86.92,400,116.9
149,2026-11-11,0.3,160,33,171.5,175.99,160,190.2
149,2026-11-11,0.3,373,33,171.5,175.99,373,190.2
149,2026-11-11,0.3,586,33,171.5,175.99,400,190.2
149,2026-11-11,0.3,800,33,171.5,175.99,400,190.2
149,2026-11-11,0.3,160,13,160.6,45.37,160,79.1
149,2026-11-11,0.3,373,13,160.6,45.37,373,79.1
149,2026-11-11,0.3,586,13,160.6,45.37,400,79.1
149,2026-11-11,0.3,800,13,160.6,45.37,400,79.1
149,2026-11-11,0.3,160,27,187.9,157.67,160,141.5
149,2026-11-11,0.3,373,27,182.3,157.15,373,141.5
149,2026-11-11,0.3,586,27,182.3,157.15,400,141.5
149,2026-11-11,0.3,800,27,182.3,157.15,400,141.5
149,2026-11-11,0.3,160,10,263.9,56.98,160,49.7
149,2026-11-11,0.3,373,10,238.4,55.55,373,49.7
149,2026-11-11,0.3,586,10,238.4,55.55,400,49.7
149,2026-11-11,0.3,800,10,238.4,55.55,400,49.7
149,2026-11-11,0.3,160,27,278.1,171.46,160,153.8
149,2026-11-11,0.3,373,27,278.1,171.46,373,153.8
149,2026-11-11,0.3,586,27,278.1,171.46,400,153.8
149,2026-11-11,0.3,800,27,278.1,171.46,400,153.8
149,2026-11-11,0.3,160,35,274.4,201.35,160,196.8
149,2026-11-11,0.3,373,35,274.4,201.35,373,196.8
149,2026-11-11,0.3,586,35,274.4,201.35,400,196.8
149,2026-11-11,0.3,800,35,274.4,201.35,400,196.8
149,2026-11-11,0.3,160,39,219.4,239.93,160,233.8
149,2026-11-11,0.3,373,39,229.1,223.78,373,233.8
149,2026-11-11,0.3,586,39,229.1,223.78,400,233.8
149,2026-11-11,0.3,800,39,229.1,223.78,400,233.8
1,2026-11-11,0.3,80,11,0.0,49.93,80,21.4
1,2026-11-11,0.3,186,11,0.0,49.93,186,21.4
1,2026-11-11,0.3,293,11,0.0,49.93,200,21.4
1,2026-11-11,0.3,400,11,0.0,49.93,200,21.4
1,2026-11-11,0.3,80,12,0.0,53.27,80,24.1
1,2026-11-11,0.3,186,12,0.0,53.02,186,24.1
1,2026-11-11,0.3,293,12,0.0,53.02,200,24.1
1,2026-11-11,0.3,400,12,0.0,53.02,200,24.1
1,2026-11-11,0.3,80,10,19.5,39.16,80,18.6
1,2026-11-11,0.3,186,10,19.5,39.16,186,18.6
1,2026-11-11,0.3,293,10,19.5,39.16,200,18.6
1,2026-11-11,0.3,400,10,19.5,39.16,200,18.6
1,2026-11-11,0.3,80,14,19.5,56.41,80,24.6
1,2026-11-11,0.3,186,14,19.5,56.41,186,24.6
