city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,35,0.0,189.23,160,327.3
149,2026-11-11,0.3,373,35,0.0,189.23,373,327.3
149,2026-11-11,0.3,586,35,0.0,189.23,400,327.3
149,2026-11-11,0.3,800,35,0.0,189.23,400,327.3
149,2026-11-11,0.3,160,33,0.0,188.28,160,283.6
149,2026-11-11,0.3,373,33,0.0,188.28,373,283.6
149,2026-11-11,0.3,586,33,0.0,188.28,400,283.6
149,2026-11-11,0.3,800,33,0.0,188.28,400,283.6
149,2026-11-11,0.3,160,28,0.0,128.8,160,225.1
149,2026-11-11,0.3,373,28,0.0,128.8,373,225.1
149,2026-11-11,0.3,586,28,0.0,128.8,400,225.1
149,2026-11-11,0.3,800,28,0.0,128.8,400,225.1
149,2026-11-11,0.3,160,28,0.0,136.38,160,193.4
149,2026-11-11,0.3,373,28,0.0,136.38,373,193.4
149,2026-11-11,0.3,586,28,0.0,136.38,400,193.4
149,2026-11-11,0.3,800,28,0.0,136.38,400,193.4
149,2026-11-11,0.3,160,30,14.3,134.45,160,192.5
149,2026-11-11,0.3,373,30,14.3,126.13,373,192.5
149,2026-11-11,0.3,586,30,14.3,125.55,400,192.5
149,2026-11-11,0.3,800,30,14.3,125.55,400,192.5
149,2026-11-11,0.3,160,30,104.9,131.2,160,166.2
149,2026-11-11,0.3,373,30,113.5,115.02,373,166.2
149,2026-11-11,0.3,586,30,113.5,115.02,400,166.2
149,2026-11-11,0.3,800,30,113.5,115.02,400,166.2
149,2026-11-11,0.3,160,28,46.3,115.8,160,156.4
149,2026-11-11,0.3,373,28,74.5,112.65,373,156.4
149,2026-11-11,0.3,586,28,74.5,112.65,400,156.4
149,2026-11-11,0.3,800,28,74.5,112.65,400,156.4
149,2026-11-11,0.3,160,25,137.1,107.48,160,127.6
149,2026-11-11,0.3,373,25,137.1,107.48,373,127.6
149,2026-11-11,0.3,586,25,137.1,107.48,400,127.6
149,2026-11-11,0.3,800,25,137.1,107.48,400,127.6
149,2026-11-11,0.3,160,20,152.2,76.91,160,94.1
149,2026-11-11,0.3,373,20,152.2,76.91,373,94.1
149,2026-11-11,0.3,586,20,152.2,76.91,400,94.1
149,2026-11-11,0.3,800,20,152.2,76.91,400,94.1
1,2026-11-11,0.3,80,17,144.7,69.51,80,27.1
1,2026-11-11,0.3,186,17,144.7,69.51,186,27.1
1,2026-11-11,0.3,293,17,144.7,69.51,200,27.1
1,2026-11-11,0.3,400,17,144.7,69.51,200,27.1
1,2026-11-11,0.3,80,9,136.0,44.37,80,12.3
1,2026-11-11,0.3,186,9,136.0,43.55,186,12.3
1,2026-11-11,0.3,293,9,136.0,43.55,200,12.3
1,2026-11-11,0.3,400,9,136.0,43.55,200,12.3
126,2026-11-11,0.3,12,2,43.6,19.04,12,3.3
126,2026-11-11,0.3,28,2,43.6,19.04,28,3.3
126,2026-11-11,0.3,44,2,43.6,19.04,30,3.3
126,2026-11-11,0.3,60,2,43.6,19.04,30,3.3
150,2026-11-11,0.3,12,1,0.0,8.78,12,3.1
150,2026-11-11,0.3,28,1,0.0,8.78,28,3.1
150,2026-11-11,0.3,44,1,0.0,8.78,30,3.1
150,2026-11-11,0.3,60,1,0.0,8.78,30,3.1
844,2026-11-11,0.3,12,1,0.0,7.86,12,3.0
844,2026-11-11,0.3,28,1,0.0,7.86,28,3.0
844,2026-11-11,0.3,44,1,0.0,7.86,30,3.0
844,2026-11-11,0.3,60,1,0.0,7.86,30,3.0
1004,2026-11-11,0.3,80,12,60.1,69.2,80,19.3
1004,2026-11-11,0.3,186,12,60.1,69.2,186,19.3
1004,2026-11-11,0.3,293,12,60.1,69.2,200,19.3
1004,2026-11-11,0.3,400,12,60.1,69.2,200,19.3
1004,2026-11-11,0.3,80,7,123.9,15.23,80,11.6
1004,2026-11-11,0.3,186,7,123.9,15.23,186,11.6
1004,2026-11-11,0.3,293,7,123.9,15.23,200,11.6
1004,2026-11-11,0.3,400,7,123.9,15.23,200,11.6
1004,2026-11-11,0.3,80,6,172.2,19.72,80,10.5
1004,2026-11-11,0.3,186,6,172.2,19.72,186,10.5
1004,2026-11-11,0.3,293,6,172.2,19.72,200,10.5
1004,2026-11-11,0.3,400,6,172.2,19.72,200,10.5
1004,2026-11-11,0.3,80,7,172.2,23.89,80,11.0
1004,2026-11-11,0.3,186,7,172.2,23.89,186,11.0
1004,2026-11-11,0.3,293,7,172.2,23.89,200,11.0
1004,2026-11-11,0.3,400,7,172.2,23.89,200,11.0
