city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,150,137,1908.1,603.98,150,7.5
149,2026-11-11,0.3,350,135,1977.7,599.4,250,7.5
149,2026-11-11,0.3,550,135,1977.7,599.4,250,7.5
149,2026-11-11,0.3,750,135,1977.7,599.4,250,7.5
149,2026-11-11,0.3,150,116,808.9,490.17,150,5.1
149,2026-11-11,0.3,350,117,839.8,486.84,250,5.1
149,2026-11-11,0.3,550,117,839.8,486.84,250,5.1
149,2026-11-11,0.3,750,117,839.8,486.84,250,5.1
149,2026-11-11,0.3,150,118,625.3,471.82,150,5.2
149,2026-11-11,0.3,350,120,590.3,458.81,250,5.2
149,2026-11-11,0.3,550,120,590.3,458.81,250,5.2
149,2026-11-11,0.3,750,120,590.3,458.81,250,5.2
149,2026-11-11,0.3,150,114,212.7,465.46,150,5.1
149,2026-11-11,0.3,350,114,212.7,465.46,250,5.1
149,2026-11-11,0.3,550,114,212.7,465.46,250,5.1
149,2026-11-11,0.3,750,114,212.7,465.46,250,5.1
149,2026-11-11,0.3,150,118,373.9,473.59,150,5.3
149,2026-11-11,0.3,350,119,393.7,462.51,250,5.3
149,2026-11-11,0.3,550,119,393.7,462.51,250,5.3
149,2026-11-11,0.3,750,119,393.7,462.51,250,5.3
149,2026-11-11,0.3,150,120,453.4,477.46,150,5.2
149,2026-11-11,0.3,350,118,432.4,456.65,250,5.2
149,2026-11-11,0.3,550,118,432.4,456.65,250,5.2
149,2026-11-11,0.3,750,118,432.4,456.65,250,5.2
149,2026-11-11,0.3,150,126,710.5,505.26,150,5.4
149,2026-11-11,0.3,350,126,710.5,505.26,250,5.4
149,2026-11-11,0.3,550,126,710.5,505.26,250,5.4
149,2026-11-11,0.3,750,126,710.5,505.26,250,5.4
149,2026-11-11,0.3,150,120,867.8,523.4,150,5.4
149,2026-11-11,0.3,350,121,899.8,523.29,250,5.4
149,2026-11-11,0.3,550,121,899.8,523.29,250,5.4
149,2026-11-11,0.3,750,121,899.8,523.29,250,5.4
149,2026-11-11,0.3,150,113,742.0,450.71,150,5.1
149,2026-11-11,0.3,350,113,742.0,450.71,250,5.1
149,2026-11-11,0.3,550,113,742.0,450.71,250,5.1
149,2026-11-11,0.3,750,113,742.0,450.71,250,5.1
149,2026-11-11,0.3,150,101,665.4,448.53,150,4.8
149,2026-11-11,0.3,350,101,665.4,448.53,250,4.8
149,2026-11-11,0.3,550,101,665.4,448.53,250,4.8
149,2026-11-11,0.3,750,101,665.4,448.53,250,4.8
149,2026-11-11,0.3,150,92,713.5,405.16,150,4.6
149,2026-11-11,0.3,350,92,713.5,405.16,250,4.6
149,2026-11-11,0.3,550,92,713.5,405.16,250,4.6
149,2026-11-11,0.3,750,92,713.5,405.16,250,4.6
149,2026-11-11,0.3,150,83,825.5,398.1,150,4.3
149,2026-11-11,0.3,350,82,803.7,393.38,250,4.3
149,2026-11-11,0.3,550,82,803.7,393.38,250,4.3
149,2026-11-11,0.3,750,82,803.7,393.38,250,4.3
149,2026-11-11,0.3,150,77,928.8,354.0,150,3.9
149,2026-11-11,0.3,350,77,928.8,354.0,250,3.9
149,2026-11-11,0.3,550,77,928.8,354.0,250,3.9
149,2026-11-11,0.3,750,77,928.8,354.0,250,3.9
149,2026-11-11,0.3,150,68,928.6,280.37,150,3.7
149,2026-11-11,0.3,350,68,928.6,280.37,250,3.7
149,2026-11-11,0.3,550,68,928.6,280.37,250,3.7
149,2026-11-11,0.3,750,68,928.6,280.37,250,3.7
149,2026-11-11,0.3,150,65,958.9,246.8,150,3.6
149,2026-11-11,0.3,350,65,958.9,246.8,250,3.6
149,2026-11-11,0.3,550,65,958.9,246.8,250,3.6
149,2026-11-11,0.3,750,65,958.9,246.8,250,3.6
149,2026-11-11,0.3,150,53,1041.1,230.8,150,3.3
149,2026-11-11,0.3,350,53,1022.7,228.72,250,3.3
149,2026-11-11,0.3,550,53,1022.7,228.72,250,3.3
149,2026-11-11,0.3,750,53,1022.7,228.72,250,3.3
149,2026-11-11,0.3,150,49,1292.0,213.72,150,3.1
149,2026-11-11,0.3,350,49,1281.9,201.79,250,3.1
149,2026-11-11,0.3,550,49,1281.9,201.79,250,3.1
