city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,150,116,351.9,441.92,150,7.3
149,2026-11-11,0.3,350,116,351.9,441.92,250,7.3
149,2026-11-11,0.3,550,116,351.9,441.92,250,7.3
149,2026-11-11,0.3,750,116,351.9,441.92,250,7.3
149,2026-11-11,0.3,150,41,217.0,169.51,150,2.8
149,2026-11-11,0.3,350,41,257.6,168.95,250,2.8
149,2026-11-11,0.3,550,41,257.6,168.95,250,2.8
149,2026-11-11,0.3,750,41,257.6,168.95,250,2.8
149,2026-11-11,0.3,150,39,272.1,154.77,150,2.6
149,2026-11-11,0.3,350,39,272.1,154.77,250,2.6
149,2026-11-11,0.3,550,39,272.1,154.77,250,2.6
149,2026-11-11,0.3,750,39,272.1,154.77,250,2.6
149,2026-11-11,0.3,150,38,306.4,155.06,150,2.6
149,2026-11-11,0.3,350,38,306.4,155.06,250,2.6
149,2026-11-11,0.3,550,38,306.4,155.06,250,2.6
149,2026-11-11,0.3,750,38,306.4,155.06,250,2.6
149,2026-11-11,0.3,150,86,256.2,300.46,150,4.1
149,2026-11-11,0.3,350,86,256.2,300.46,250,4.1
149,2026-11-11,0.3,550,86,256.2,300.46,250,4.1
149,2026-11-11,0.3,750,86,256.2,300.46,250,4.1
149,2026-11-11,0.3,150,54,268.7,211.58,150,3.2
149,2026-11-11,0.3,350,54,268.7,211.58,250,3.2
149,2026-11-11,0.3,550,54,268.7,211.58,250,3.2
149,2026-11-11,0.3,750,54,268.7,211.58,250,3.2
149,2026-11-11,0.3,150,48,347.5,194.12,150,2.9
149,2026-11-11,0.3,350,48,347.5,194.12,250,2.9
149,2026-11-11,0.3,550,48,347.5,194.12,250,2.9
149,2026-11-11,0.3,750,48,347.5,194.12,250,2.9
149,2026-11-11,0.3,150,47,447.2,185.31,150,2.9
149,2026-11-11,0.3,350,47,447.2,185.31,250,2.9
149,2026-11-11,0.3,550,47,447.2,185.31,250,2.9
149,2026-11-11,0.3,750,47,447.2,185.31,250,2.9
149,2026-11-11,0.3,150,46,340.9,187.52,150,2.9
149,2026-11-11,0.3,350,46,252.4,181.68,250,2.9
149,2026-11-11,0.3,550,46,252.4,181.68,250,2.9
149,2026-11-11,0.3,750,46,252.4,181.68,250,2.9
149,2026-11-11,0.3,150,45,349.4,186.75,150,2.8
149,2026-11-11,0.3,350,45,349.4,186.75,250,2.8
149,2026-11-11,0.3,550,45,349.4,186.75,250,2.8
149,2026-11-11,0.3,750,45,349.4,186.75,250,2.8
149,2026-11-11,0.3,150,43,385.0,202.63,150,2.8
149,2026-11-11,0.3,350,43,363.3,196.46,250,2.8
149,2026-11-11,0.3,550,43,363.3,196.46,250,2.8
149,2026-11-11,0.3,750,43,363.3,196.46,250,2.8
149,2026-11-11,0.3,150,39,411.7,160.91,150,2.6
149,2026-11-11,0.3,350,39,411.7,160.91,250,2.6
149,2026-11-11,0.3,550,39,411.7,160.91,250,2.6
149,2026-11-11,0.3,750,39,411.7,160.91,250,2.6
149,2026-11-11,0.3,150,38,416.8,155.86,150,2.6
149,2026-11-11,0.3,350,38,416.8,155.86,250,2.6
149,2026-11-11,0.3,550,38,416.8,155.86,250,2.6
149,2026-11-11,0.3,750,38,416.8,155.86,250,2.6
149,2026-11-11,0.3,150,115,818.0,418.32,150,5.0
149,2026-11-11,0.3,350,115,845.9,391.68,250,5.0
149,2026-11-11,0.3,550,115,845.9,391.68,250,5.0
149,2026-11-11,0.3,750,115,845.9,391.68,250,5.0
149,2026-11-11,0.3,150,113,711.3,390.87,150,4.9
149,2026-11-11,0.3,350,112,703.0,387.2,250,4.9
149,2026-11-11,0.3,550,112,703.0,387.2,250,4.9
149,2026-11-11,0.3,750,112,703.0,387.2,250,4.9
149,2026-11-11,0.3,150,87,445.5,317.56,150,4.2
149,2026-11-11,0.3,350,87,445.5,317.56,250,4.2
149,2026-11-11,0.3,550,87,445.5,317.56,250,4.2
149,2026-11-11,0.3,750,87,445.5,317.56,250,4.2
149,2026-11-11,0.3,150,61,484.9,241.57,150,3.3
149,2026-11-11,0.3,350,61,445.0,227.82,250,3.3
149,2026-11-11,0.3,550,61,445.0,227.82,250,3.3
149,2026-11-11,0.3,750,61,445.0,227.82,250,3.3
149,2026-11-11,0.3,150,58,442.6,231.65,150,3.2
149,2026-11-11,0.3,350,58,434.3,224.57,250,3.2
149,2026-11-11,0.3,550,58,434.3,224.57,250,3.2
149,2026-11-11,0.3,750,58,434.3,224.57,250,3.2
149,2026-11-11,0.3,150,57,445.6,220.21,150,3.2
149,2026-11-11,0.3,350,57,445.6,220.21,250,3.2
149,2026-11-11,0.3,550,57,445.6,220.21,250,3.2
149,2026-11-11,0.3,750,57,445.6,220.21,250,3.2
149,2026-11-11,0.3,150,56,437.9,216.32,150,3.2
149,2026-11-11,0.3,350,56,437.9,216.32,250,3.2
149,2026-11-11,0.3,550,56,437.9,216.32,250,3.2
149,2026-11-11,0.3,750,56,437.9,216.32,250,3.2
149,2026-11-11,0.3,150,56,536.1,236.34,150,3.2
149,2026-11-11,0.3,350,56,503.7,226.5,250,3.2
149,2026-11-11,0.3,550,56,503.7,226.5,250,3.2
149,2026-11-11,0.3,750,56,503.7,226.5,250,3.2
149,2026-11-11,0.3,150,42,489.8,166.47,150,2.8
149,2026-11-11,0.3,350,42,489.8,166.47,250,2.8
149,2026-11-11,0.3,550,42,489.8,166.47,250,2.8
149,2026-11-11,0.3,750,42,489.8,166.47,250,2.8
149,2026-11-11,0.3,150,34,584.5,136.2,150,2.5
149,2026-11-11,0.3,350,34,558.8,135.38,250,2.5
149,2026-11-11,0.3,550,34,558.8,135.38,250,2.5
149,2026-11-11,0.3,750,34,558.8,135.38,250,2.5
149,2026-11-11,0.3,150,99,567.7,376.52,150,4.5
149,2026-11-11,0.3,350,99,571.3,372.0,250,4.5
149,2026-11-11,0.3,550,99,571.3,372.0,250,4.5
149,2026-11-11,0.3,750,99,571.3,372.0,250,4.5
149,2026-11-11,0.3,150,90,599.8,374.03,150,4.2
149,2026-11-11,0.3,350,90,604.0,363.5,250,4.2
149,2026-11-11,0.3,550,90,604.0,363.5,250,4.2
149,2026-11-11,0.3,750,90,604.0,363.5,250,4.2
149,2026-11-11,0.3,150,88,594.0,350.77,150,4.1
149,2026-11-11,0.3,350,88,594.0,350.77,250,4.1
