city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,15,0.0,70.57,160,2.6
149,2026-11-11,0.3,373,15,0.0,70.57,373,2.6
149,2026-11-11,0.3,586,15,0.0,70.57,400,2.6
149,2026-11-11,0.3,800,15,0.0,70.57,400,2.6
149,2026-11-11,0.3,160,15,0.0,70.04,160,2.6
149,2026-11-11,0.3,373,15,0.0,70.04,373,2.6
149,2026-11-11,0.3,586,15,0.0,70.04,400,2.6
149,2026-11-11,0.3,800,15,0.0,70.04,400,2.6
149,2026-11-11,0.3,160,9,0.0,31.18,160,2.2
149,2026-11-11,0.3,373,9,0.0,30.15,373,2.2
149,2026-11-11,0.3,586,9,0.0,30.15,400,2.2
149,2026-11-11,0.3,800,9,0.0,30.15,400,2.2
149,2026-11-11,0.3,160,6,0.0,19.07,160,2.0
149,2026-11-11,0.3,373,6,0.0,17.61,373,2.0
149,2026-11-11,0.3,586,6,0.0,17.61,400,2.0
149,2026-11-11,0.3,800,6,0.0,17.61,400,2.0
149,2026-11-11,0.3,160,17,0.0,79.56,160,2.7
149,2026-11-11,0.3,373,17,0.0,78.95,373,2.7
149,2026-11-11,0.3,586,17,0.0,78.95,400,2.7
149,2026-11-11,0.3,800,17,0.0,78.95,400,2.7
149,2026-11-11,0.3,160,15,0.0,57.37,160,2.5
149,2026-11-11,0.3,373,15,0.0,51.44,373,2.5
149,2026-11-11,0.3,586,15,0.0,51.44,400,2.5
149,2026-11-11,0.3,800,15,0.0,51.44,400,2.5
149,2026-11-11,0.3,160,10,0.0,43.1,160,2.3
149,2026-11-11,0.3,373,10,0.0,40.97,373,2.3
149,2026-11-11,0.3,586,10,0.0,40.97,400,2.3
149,2026-11-11,0.3,800,10,0.0,40.97,400,2.3
149,2026-11-11,0.3,160,9,0.0,28.88,160,2.2
149,2026-11-11,0.3,373,9,0.0,28.88,373,2.2
149,2026-11-11,0.3,586,9,0.0,28.88,400,2.2
149,2026-11-11,0.3,800,9,0.0,28.88,400,2.2
149,2026-11-11,0.3,160,24,0.0,105.71,160,3.0
149,2026-11-11,0.3,373,24,0.0,95.15,373,3.0
149,2026-11-11,0.3,586,24,0.0,95.15,400,3.0
149,2026-11-11,0.3,800,24,0.0,95.15,400,3.0
149,2026-11-11,0.3,160,8,0.0,22.33,160,2.1
149,2026-11-11,0.3,373,8,0.0,20.96,373,2.1
149,2026-11-11,0.3,586,8,0.0,20.96,400,2.1
149,2026-11-11,0.3,800,8,0.0,20.96,400,2.1
149,2026-11-11,0.3,160,18,0.0,74.46,160,2.7
149,2026-11-11,0.3,373,18,0.0,74.46,373,2.7
149,2026-11-11,0.3,586,18,0.0,74.46,400,2.7
149,2026-11-11,0.3,800,18,0.0,74.46,400,2.7
149,2026-11-11,0.3,160,42,1226.9,239.44,160,3.9
149,2026-11-11,0.3,373,42,1233.2,226.11,373,3.9
149,2026-11-11,0.3,586,42,1233.2,226.11,400,3.9
149,2026-11-11,0.3,800,42,1233.2,226.11,400,3.9
149,2026-11-11,0.3,160,27,8.5,111.71,160,3.2
149,2026-11-11,0.3,373,27,8.5,111.71,373,3.2
149,2026-11-11,0.3,586,27,8.5,111.71,400,3.2
149,2026-11-11,0.3,800,27,8.5,111.71,400,3.2
149,2026-11-11,0.3,160,28,0.0,135.01,160,3.2
149,2026-11-11,0.3,373,28,0.0,135.01,373,3.2
149,2026-11-11,0.3,586,28,0.0,135.01,400,3.2
149,2026-11-11,0.3,800,28,0.0,135.01,400,3.2
149,2026-11-11,0.3,160,27,0.0,132.82,160,3.2
149,2026-11-11,0.3,373,27,0.0,132.82,373,3.2
149,2026-11-11,0.3,586,27,0.0,132.82,400,3.2
149,2026-11-11,0.3,800,27,0.0,132.82,400,3.2
149,2026-11-11,0.3,160,25,15.8,109.52,160,3.1
149,2026-11-11,0.3,373,25,15.8,109.52,373,3.1
149,2026-11-11,0.3,586,25,15.8,109.52,400,3.1
149,2026-11-11,0.3,800,25,15.8,109.52,400,3.1
149,2026-11-11,0.3,160,30,21.5,149.76,160,3.3
149,2026-11-11,0.3,373,30,21.5,146.11,373,3.3
149,2026-11-11,0.3,586,30,21.5,146.11,400,3.3
149,2026-11-11,0.3,800,30,21.5,146.11,400,3.3
149,2026-11-11,0.3,160,31,21.5,153.81,160,3.4
149,2026-11-11,0.3,373,31,21.5,153.81,373,3.4
149,2026-11-11,0.3,586,31,21.5,153.81,400,3.4
149,2026-11-11,0.3,800,31,21.5,153.81,400,3.4
149,2026-11-11,0.3,160,29,51.8,153.71,160,3.3
149,2026-11-11,0.3,373,29,51.8,153.71,373,3.3
149,2026-11-11,0.3,586,29,51.8,153.71,400,3.3
149,2026-11-11,0.3,800,29,51.8,153.71,400,3.3
149,2026-11-11,0.3,160,27,21.5,134.11,160,3.2
149,2026-11-11,0.3,373,27,21.5,134.11,373,3.2
149,2026-11-11,0.3,586,27,21.5,134.11,400,3.2
149,2026-11-11,0.3,800,27,21.5,134.11,400,3.2
149,2026-11-11,0.3,160,37,106.1,193.19,160,3.7
149,2026-11-11,0.3,373,37,51.5,188.91,373,3.7
149,2026-11-11,0.3,586,37,51.5,188.91,400,3.7
149,2026-11-11,0.3,800,37,51.5,188.91,400,3.7
149,2026-11-11,0.3,160,31,30.0,160.16,160,3.4
149,2026-11-11,0.3,373,31,30.0,160.16,373,3.4
149,2026-11-11,0.3,586,31,30.0,160.16,400,3.4
149,2026-11-11,0.3,800,31,30.0,160.16,400,3.4
149,2026-11-11,0.3,160,29,21.5,142.64,160,3.3
149,2026-11-11,0.3,373,29,44.5,138.83,373,3.3
149,2026-11-11,0.3,586,29,44.5,138.83,400,3.3
149,2026-11-11,0.3,800,29,44.5,138.83,400,3.3
149,2026-11-11,0.3,160,26,36.5,108.16,160,3.1
149,2026-11-11,0.3,373,26,36.5,108.16,373,3.1
149,2026-11-11,0.3,586,26,36.5,108.16,400,3.1
149,2026-11-11,0.3,800,26,36.5,108.16,400,3.1
149,2026-11-11,0.3,160,25,36.5,117.37,160,3.1
149,2026-11-11,0.3,373,25,55.1,116.31,373,3.1
149,2026-11-11,0.3,586,25,23.2,114.24,400,3.1
