city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,33,143.5,147.78,160,3.6
149,2026-11-11,0.3,373,33,102.7,144.7,373,3.6
149,2026-11-11,0.3,586,33,102.7,144.7,400,3.6
149,2026-11-11,0.3,800,33,102.7,144.7,400,3.6
149,2026-11-11,0.3,160,31,37.2,125.35,160,3.3
149,2026-11-11,0.3,373,31,37.2,123.22,373,3.3
149,2026-11-11,0.3,586,31,37.2,123.22,400,3.3
149,2026-11-11,0.3,800,31,37.2,123.22,400,3.3
149,2026-11-11,0.3,160,30,37.2,125.15,160,3.3
149,2026-11-11,0.3,373,30,37.2,118.22,373,3.3
149,2026-11-11,0.3,586,30,37.2,118.22,400,3.3
149,2026-11-11,0.3,800,30,37.2,118.22,400,3.3
149,2026-11-11,0.3,160,29,37.2,140.81,160,3.2
149,2026-11-11,0.3,373,29,37.2,133.01,373,3.2
149,2026-11-11,0.3,586,29,37.2,133.01,400,3.2
149,2026-11-11,0.3,800,29,37.2,133.01,400,3.2
149,2026-11-11,0.3,160,28,50.3,130.04,160,3.2
149,2026-11-11,0.3,373,28,50.3,130.04,373,3.2
149,2026-11-11,0.3,586,28,50.3,130.04,400,3.2
149,2026-11-11,0.3,800,28,50.3,130.04,400,3.2
149,2026-11-11,0.3,160,27,37.2,121.62,160,3.1
149,2026-11-11,0.3,373,27,57.6,120.15,373,3.1
149,2026-11-11,0.3,586,27,57.6,120.15,400,3.1
149,2026-11-11,0.3,800,27,57.6,120.15,400,3.1
149,2026-11-11,0.3,160,23,87.9,101.42,160,2.9
149,2026-11-11,0.3,373,23,66.4,98.94,373,2.9
149,2026-11-11,0.3,586,23,66.4,98.94,400,2.9
149,2026-11-11,0.3,800,23,66.4,98.94,400,2.9
149,2026-11-11,0.3,160,16,178.9,75.73,160,2.5
149,2026-11-11,0.3,373,16,178.9,75.73,373,2.5
149,2026-11-11,0.3,586,16,178.9,75.73,400,2.5
149,2026-11-11,0.3,800,16,178.9,75.73,400,2.5
149,2026-11-11,0.3,160,17,241.7,86.57,160,2.6
149,2026-11-11,0.3,373,17,241.7,86.57,373,2.6
149,2026-11-11,0.3,586,17,241.7,86.57,400,2.6
149,2026-11-11,0.3,800,17,241.7,86.57,400,2.6
149,2026-11-11,0.3,160,16,223.5,78.56,160,2.5
149,2026-11-11,0.3,373,16,223.5,78.56,373,2.5
149,2026-11-11,0.3,586,16,223.5,78.56,400,2.5
149,2026-11-11,0.3,800,16,223.5,78.56,400,2.5
149,2026-11-11,0.3,160,17,232.0,95.52,160,2.6
149,2026-11-11,0.3,373,17,281.2,95.49,373,2.6
149,2026-11-11,0.3,586,17,281.2,95.49,400,2.6
149,2026-11-11,0.3,800,17,281.2,95.49,400,2.6
149,2026-11-11,0.3,160,16,275.4,92.79,160,2.5
149,2026-11-11,0.3,373,16,306.0,89.16,373,2.5
149,2026-11-11,0.3,586,16,306.0,89.16,400,2.5
149,2026-11-11,0.3,800,16,306.0,89.16,400,2.5
149,2026-11-11,0.3,160,15,381.4,84.19,160,2.5
149,2026-11-11,0.3,373,15,321.1,80.74,373,2.5
149,2026-11-11,0.3,586,15,285.4,79.95,400,2.5
149,2026-11-11,0.3,800,15,285.4,79.95,400,2.5
1,2026-11-11,0.3,80,13,7.5,27.83,80,1.4
1,2026-11-11,0.3,186,13,7.5,27.79,186,1.4
1,2026-11-11,0.3,293,13,7.5,27.79,200,1.4
1,2026-11-11,0.3,400,13,7.5,27.79,200,1.4
1,2026-11-11,0.3,80,12,0.0,26.49,80,1.3
1,2026-11-11,0.3,186,12,0.0,26.49,186,1.3
1,2026-11-11,0.3,293,12,0.0,26.49,200,1.3
1,2026-11-11,0.3,400,12,0.0,26.49,200,1.3
1,2026-11-11,0.3,80,5,42.0,10.59,80,1.2
1,2026-11-11,0.3,186,5,42.0,9.93,186,1.2
1,2026-11-11,0.3,293,5,42.0,9.93,200,1.2
1,2026-11-11,0.3,400,5,42.0,9.93,200,1.2
126,2026-11-11,0.3,12,2,0.0,10.81,12,0.7
126,2026-11-11,0.3,28,2,0.0,10.81,28,0.7
126,2026-11-11,0.3,44,2,0.0,10.81,30,0.7
126,2026-11-11,0.3,60,2,0.0,10.81,30,0.7
150,2026-11-11,0.3,12,1,8.5,98.13,12,0.7
150,2026-11-11,0.3,28,1,8.5,98.13,28,0.7
150,2026-11-11,0.3,44,1,8.5,98.13,30,0.7
150,2026-11-11,0.3,60,1,8.5,98.13,30,0.7
844,2026-11-11,0.3,12,1,0.0,0.0,12,0.7
844,2026-11-11,0.3,28,1,0.0,0.0,28,0.7
844,2026-11-11,0.3,44,1,0.0,0.0,30,0.7
844,2026-11-11,0.3,60,1,0.0,0.0,30,0.7
1004,2026-11-11,0.3,80,16,5.4,105.38,80,1.4
1004,2026-11-11,0.3,186,16,5.4,104.82,186,1.4
1004,2026-11-11,0.3,293,16,5.4,100.84,200,1.4
1004,2026-11-11,0.3,400,16,5.4,100.84,200,1.4
1004,2026-11-11,0.3,80,11,52.3,56.48,80,1.3
1004,2026-11-11,0.3,186,11,52.3,56.48,186,1.3
1004,2026-11-11,0.3,293,11,52.3,56.48,200,1.3
1004,2026-11-11,0.3,400,11,52.3,56.48,200,1.3
1004,2026-11-11,0.3,80,9,52.3,77.36,80,1.3
1004,2026-11-11,0.3,186,9,52.3,76.77,186,1.3
1004,2026-11-11,0.3,293,9,52.3,76.77,200,1.3
1004,2026-11-11,0.3,400,9,52.3,76.77,200,1.3
