city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,58,620.0,246.8,160,4.9
149,2026-11-11,0.3,373,58,620.0,246.8,373,4.9
149,2026-11-11,0.3,586,58,620.0,246.8,400,4.9
149,2026-11-11,0.3,800,58,620.0,246.8,400,4.9
149,2026-11-11,0.3,160,48,140.6,177.99,160,4.3
149,2026-11-11,0.3,373,48,140.6,177.99,373,4.3
149,2026-11-11,0.3,586,48,140.6,177.99,400,4.3
149,2026-11-11,0.3,800,48,140.6,177.99,400,4.3
149,2026-11-11,0.3,160,47,84.5,173.69,160,4.2
149,2026-11-11,0.3,373,47,84.5,173.69,373,4.2
149,2026-11-11,0.3,586,47,84.5,173.69,400,4.2
149,2026-11-11,0.3,800,47,84.5,173.69,400,4.2
149,2026-11-11,0.3,160,46,89.1,172.52,160,4.1
149,2026-11-11,0.3,373,46,89.1,172.52,373,4.1
149,2026-11-11,0.3,586,46,83.0,171.45,400,4.1
149,2026-11-11,0.3,800,46,83.0,171.45,400,4.1
149,2026-11-11,0.3,160,43,58.8,157.05,160,4.0
149,2026-11-11,0.3,373,43,58.8,157.05,373,4.0
149,2026-11-11,0.3,586,43,58.8,157.05,400,4.0
149,2026-11-11,0.3,800,43,58.8,157.05,400,4.0
149,2026-11-11,0.3,160,32,112.0,95.48,160,3.4
149,2026-11-11,0.3,373,32,116.2,86.38,373,3.4
149,2026-11-11,0.3,586,32,116.2,86.38,400,3.4
149,2026-11-11,0.3,800,32,116.2,86.38,400,3.4
149,2026-11-11,0.3,160,26,106.0,87.29,160,3.1
149,2026-11-11,0.3,373,26,106.0,87.29,373,3.1
149,2026-11-11,0.3,586,26,106.0,87.29,400,3.1
149,2026-11-11,0.3,800,26,106.0,87.29,400,3.1
149,2026-11-11,0.3,160,19,185.6,50.84,160,2.7
149,2026-11-11,0.3,373,19,185.6,50.84,373,2.7
149,2026-11-11,0.3,586,19,185.6,50.84,400,2.7
149,2026-11-11,0.3,800,19,185.6,50.84,400,2.7
149,2026-11-11,0.3,160,16,171.7,47.82,160,2.5
149,2026-11-11,0.3,373,16,182.9,42.3,373,2.5
149,2026-11-11,0.3,586,16,182.9,42.3,400,2.5
149,2026-11-11,0.3,800,16,182.9,42.3,400,2.5
149,2026-11-11,0.3,160,15,220.6,41.06,160,2.5
149,2026-11-11,0.3,373,15,262.7,39.89,373,2.5
149,2026-11-11,0.3,586,15,262.7,39.89,400,2.5
149,2026-11-11,0.3,800,15,262.7,39.89,400,2.5
844,2026-11-11,0.3,12,1,0.0,3.72,12,0.7
844,2026-11-11,0.3,28,1,0.0,3.72,28,0.7
844,2026-11-11,0.3,44,1,0.0,3.72,30,0.7
844,2026-11-11,0.3,60,1,0.0,3.72,30,0.7
1004,2026-11-11,0.3,80,24,46.6,140.96,80,1.7
1004,2026-11-11,0.3,186,24,46.6,138.97,186,1.7
1004,2026-11-11,0.3,293,24,46.6,138.97,200,1.7
1004,2026-11-11,0.3,400,24,46.6,138.97,200,1.7
