city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,24,79.4,75.95,160,3.2
149,2026-11-11,0.3,373,24,91.4,73.12,373,3.2
149,2026-11-11,0.3,586,24,91.4,73.12,400,3.2
149,2026-11-11,0.3,800,24,91.4,73.12,400,3.2
149,2026-11-11,0.3,160,24,93.0,74.73,160,3.0
149,2026-11-11,0.3,373,24,93.0,74.73,373,3.0
149,2026-11-11,0.3,586,24,93.0,74.73,400,3.0
149,2026-11-11,0.3,800,24,93.0,74.73,400,3.0
149,2026-11-11,0.3,160,17,83.9,56.18,160,2.6
149,2026-11-11,0.3,373,17,83.9,56.18,373,2.6
149,2026-11-11,0.3,586,17,83.9,56.18,400,2.6
149,2026-11-11,0.3,800,17,83.9,56.18,400,2.6
149,2026-11-11,0.3,160,28,80.6,92.02,160,3.1
149,2026-11-11,0.3,373,28,80.6,91.26,373,3.1
149,2026-11-11,0.3,586,28,80.6,91.26,400,3.1
149,2026-11-11,0.3,800,28,80.6,91.26,400,3.1
149,2026-11-11,0.3,160,41,80.6,155.63,160,3.8
149,2026-11-11,0.3,373,41,80.6,145.96,373,3.8
149,2026-11-11,0.3,586,41,80.6,145.96,400,3.8
149,2026-11-11,0.3,800,41,80.6,145.96,400,3.8
149,2026-11-11,0.3,160,12,160.7,35.62,160,2.3
149,2026-11-11,0.3,373,12,160.7,35.62,373,2.3
149,2026-11-11,0.3,586,12,160.7,35.62,400,2.3
149,2026-11-11,0.3,800,12,160.7,35.62,400,2.3
149,2026-11-11,0.3,160,21,160.7,73.56,160,2.8
149,2026-11-11,0.3,373,21,160.7,68.97,373,2.8
149,2026-11-11,0.3,586,21,160.7,68.97,400,2.8
149,2026-11-11,0.3,800,21,160.7,68.97,400,2.8
149,2026-11-11,0.3,160,20,160.7,69.18,160,2.7
149,2026-11-11,0.3,373,20,193.4,59.57,373,2.7
149,2026-11-11,0.3,586,20,193.4,59.57,400,2.7
149,2026-11-11,0.3,800,20,193.4,59.57,400,2.7
149,2026-11-11,0.3,160,57,508.5,202.57,160,4.6
149,2026-11-11,0.3,373,57,508.5,202.57,373,4.6
149,2026-11-11,0.3,586,57,508.5,202.57,400,4.6
149,2026-11-11,0.3,800,57,508.5,202.57,400,4.6
149,2026-11-11,0.3,160,31,162.2,102.04,160,3.3
149,2026-11-11,0.3,373,31,162.2,102.04,373,3.3
149,2026-11-11,0.3,586,31,162.2,102.04,400,3.3
149,2026-11-11,0.3,800,31,162.2,102.04,400,3.3
149,2026-11-11,0.3,160,27,182.6,82.48,160,3.1
149,2026-11-11,0.3,373,27,182.3,81.11,373,3.1
149,2026-11-11,0.3,586,27,182.3,81.11,400,3.1
149,2026-11-11,0.3,800,27,182.3,81.11,400,3.1
149,2026-11-11,0.3,160,72,1519.6,268.86,160,5.3
149,2026-11-11,0.3,373,72,1478.2,264.59,373,5.3
149,2026-11-11,0.3,586,72,1478.2,264.59,400,5.3
149,2026-11-11,0.3,800,72,1478.2,264.59,400,5.3
149,2026-11-11,0.3,160,32,206.6,104.03,160,3.4
149,2026-11-11,0.3,373,32,206.6,104.03,373,3.4
149,2026-11-11,0.3,586,32,206.6,104.03,400,3.4
149,2026-11-11,0.3,800,32,206.6,104.03,400,3.4
149,2026-11-11,0.3,160,24,221.9,89.57,160,2.9
149,2026-11-11,0.3,373,24,213.6,82.83,373,2.9
149,2026-11-11,0.3,586,24,213.6,82.83,400,2.9
149,2026-11-11,0.3,800,24,213.6,82.83,400,2.9
1,2026-11-11,0.3,80,21,46.8,47.57,80,1.5
1,2026-11-11,0.3,186,21,46.8,47.57,186,1.5
1,2026-11-11,0.3,293,21,46.8,47.57,200,1.5
1,2026-11-11,0.3,400,21,46.8,47.57,200,1.5
1,2026-11-11,0.3,80,24,32.6,71.27,80,1.6
1,2026-11-11,0.3,186,24,32.6,71.27,186,1.6
1,2026-11-11,0.3,293,24,32.6,71.27,200,1.6
1,2026-11-11,0.3,400,24,32.6,71.27,200,1.6
1,2026-11-11,0.3,80,9,62.0,27.37,80,1.3
1,2026-11-11,0.3,186,9,62.0,27.37,186,1.3
1,2026-11-11,0.3,293,9,62.0,27.37,200,1.3
1,2026-11-11,0.3,400,9,62.0,27.37,200,1.3
844,2026-11-11,0.3,12,1,0.0,0.0,12,0.7
844,2026-11-11,0.3,28,1,0.0,0.0,28,0.7
844,2026-11-11,0.3,44,1,0.0,0.0,30,0.7
844,2026-11-11,0.3,60,1,0.0,0.0,30,0.7
1004,2026-11-11,0.3,80,12,32.5,33.95,80,1.3
1004,2026-11-11,0.3,186,12,32.5,33.95,186,1.3
1004,2026-11-11,0.3,293,12,32.5,33.95,200,1.3
1004,2026-11-11,0.3,400,12,32.5,33.95,200,1.3
