city,date,batch_id,batch_start,batch_end,decision_time,n_services,best_iter,best_objective,processing_time_s
149,2026-11-11,1,2026-11-11 12:16:46.916000-05:00,2026-11-11 12:16:46.916000-05:00,2026-11-11 12:16:46.916000-05:00,1,90,48.59,3.4
149,2026-11-11,2,2026-11-11 13:05:19.777000-05:00,2026-11-11 13:05:19.777000-05:00,2026-11-11 13:05:19.777000-05:00,1,134,31.02,2.9
149,2026-11-11,3,2026-11-11 09:05:39.747000-05:00,2026-11-11 09:05:39.747000-05:00,2026-11-11 09:05:39.747000-05:00,1,62,107.31,4.0
149,2026-11-11,4,2026-11-11 11:32:09.846000-05:00,2026-11-11 11:32:09.846000-05:00,2026-11-11 11:32:09.846000-05:00,1,57,49.93,3.3
149,2026-11-11,5,2026-11-11 11:59:15.069000-05:00,2026-11-11 11:59:15.069000-05:00,2026-11-11 11:59:15.069000-05:00,1,331,53.98,3.2
149,2026-11-11,6,2026-11-11 08:35:48.290000-05:00,2026-11-11 08:35:48.290000-05:00,2026-11-11 08:35:48.290000-05:00,1,168,118.12,4.3
149,2026-11-11,7,2026-11-11 09:30:17.902000-05:00,2026-11-11 09:30:17.902000-05:00,2026-11-11 09:30:17.902000-05:00,1,325,111.09,3.9
149,2026-11-11,8,2026-11-11 10:30:49.332000-05:00,2026-11-11 10:30:49.332000-05:00,2026-11-11 10:30:49.332000-05:00,1,91,81.05,3.7
149,2026-11-11,9,2026-11-11 11:13:05.228000-05:00,2026-11-11 11:13:05.228000-05:00,2026-11-11 11:13:05.228000-05:00,1,396,75.16,3.7
149,2026-11-11,10,2026-11-11 12:15:16.516000-05:00,2026-11-11 12:15:16.516000-05:00,2026-11-11 12:15:16.516000-05:00,1,186,75.46,3.6
149,2026-11-11,11,2026-11-11 10:41:48.037000-05:00,2026-11-11 10:41:48.037000-05:00,2026-11-11 10:41:48.037000-05:00,1,181,94.55,4.1
149,2026-11-11,12,2026-11-11 11:11:03.263000-05:00,2026-11-11 11:11:03.263000-05:00,2026-11-11 11:11:03.263000-05:00,1,294,90.47,3.9
149,2026-11-11,13,2026-11-11 12:46:43.011000-05:00,2026-11-11 12:46:43.011000-05:00,2026-11-11 12:46:43.011000-05:00,1,115,59.03,3.5
149,2026-11-11,14,2026-11-11 08:48:54.618000-05:00,2026-11-11 08:48:54.618000-05:00,2026-11-11 08:48:54.618000-05:00,1,282,131.91,4.6
149,2026-11-11,15,2026-11-11 09:40:41.424000-05:00,2026-11-11 09:40:41.424000-05:00,2026-11-11 09:40:41.424000-05:00,1,1,146.02,4.4
149,2026-11-11,16,2026-11-11 14:32:59.643000-05:00,2026-11-11 14:32:59.643000-05:00,2026-11-11 14:32:59.643000-05:00,1,337,28.9,2.8
149,2026-11-11,17,2026-11-11 08:55:21.523000-05:00,2026-11-11 08:55:21.523000-05:00,2026-11-11 08:55:21.523000-05:00,1,382,165.51,4.7
149,2026-11-11,18,2026-11-11 08:58:26.525000-05:00,2026-11-11 08:58:26.525000-05:00,2026-11-11 08:58:26.525000-05:00,1,269,167.63,4.8
149,2026-11-11,19,2026-11-11 09:37:35.211000-05:00,2026-11-11 09:37:35.211000-05:00,2026-11-11 09:37:35.211000-05:00,1,239,158.47,4.7
149,2026-11-11,20,2026-11-11 09:43:23.208000-05:00,2026-11-11 09:43:23.208000-05:00,2026-11-11 09:43:23.208000-05:00,1,85,163.67,4.7
