city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,21,50.2,80.95,160,3.5
149,2026-11-11,0.3,373,21,50.2,75.61,373,3.5
149,2026-11-11,0.3,586,21,50.2,75.61,400,3.5
149,2026-11-11,0.3,800,21,50.2,75.61,400,3.5
149,2026-11-11,0.3,160,7,45.7,17.53,160,2.1
149,2026-11-11,0.3,373,7,45.7,17.16,373,2.1
149,2026-11-11,0.3,586,7,45.7,17.16,400,2.1
149,2026-11-11,0.3,800,7,45.7,17.16,400,2.1
149,2026-11-11,0.3,160,42,45.7,141.71,160,4.1
149,2026-11-11,0.3,373,42,45.7,140.75,373,4.1
149,2026-11-11,0.3,586,42,45.7,140.75,400,4.1
149,2026-11-11,0.3,800,42,45.7,140.75,400,4.1
149,2026-11-11,0.3,160,35,45.7,135.97,160,3.6
149,2026-11-11,0.3,373,35,45.7,130.28,373,3.6
149,2026-11-11,0.3,586,35,45.7,130.28,400,3.6
149,2026-11-11,0.3,800,35,45.7,130.28,400,3.6
149,2026-11-11,0.3,160,10,80.4,32.33,160,2.3
149,2026-11-11,0.3,373,10,89.7,31.34,373,2.3
149,2026-11-11,0.3,586,10,89.7,31.34,400,2.3
149,2026-11-11,0.3,800,10,89.7,31.34,400,2.3
149,2026-11-11,0.3,160,61,113.9,194.96,160,5.0
149,2026-11-11,0.3,373,61,113.9,194.96,373,5.0
149,2026-11-11,0.3,586,61,113.9,194.96,400,5.0
149,2026-11-11,0.3,800,61,113.9,194.96,400,5.0
149,2026-11-11,0.3,160,32,80.4,125.84,160,3.5
149,2026-11-11,0.3,373,32,112.0,120.83,373,3.5
149,2026-11-11,0.3,586,32,112.0,120.83,400,3.5
149,2026-11-11,0.3,800,32,112.0,120.83,400,3.5
149,2026-11-11,0.3,160,17,80.4,58.14,160,2.7
149,2026-11-11,0.3,373,17,80.4,54.73,373,2.7
149,2026-11-11,0.3,586,17,80.4,54.73,400,2.7
149,2026-11-11,0.3,800,17,80.4,54.73,400,2.7
149,2026-11-11,0.3,160,13,141.5,41.79,160,2.5
149,2026-11-11,0.3,373,13,162.4,37.97,373,2.5
149,2026-11-11,0.3,586,13,162.4,37.97,400,2.5
149,2026-11-11,0.3,800,13,162.4,37.97,400,2.5
149,2026-11-11,0.3,160,10,157.3,29.79,160,2.3
149,2026-11-11,0.3,373,10,146.3,27.17,373,2.3
149,2026-11-11,0.3,586,10,146.3,27.17,400,2.3
149,2026-11-11,0.3,800,10,146.3,27.17,400,2.3
149,2026-11-11,0.3,160,61,162.1,200.39,160,5.0
149,2026-11-11,0.3,373,61,160.0,194.8,373,5.0
149,2026-11-11,0.3,586,61,160.0,194.8,400,5.0
149,2026-11-11,0.3,800,61,160.0,194.8,400,5.0
149,2026-11-11,0.3,160,64,200.2,218.08,160,5.1
149,2026-11-11,0.3,373,64,166.8,217.44,373,5.1
149,2026-11-11,0.3,586,64,166.8,217.44,400,5.1
149,2026-11-11,0.3,800,64,166.8,217.44,400,5.1
149,2026-11-11,0.3,160,63,116.9,207.56,160,5.1
149,2026-11-11,0.3,373,63,116.9,207.56,373,5.1
149,2026-11-11,0.3,586,63,116.9,207.56,400,5.1
149,2026-11-11,0.3,800,63,116.9,207.56,400,5.1
149,2026-11-11,0.3,160,36,180.2,123.06,160,3.7
149,2026-11-11,0.3,373,36,180.2,123.06,373,3.7
149,2026-11-11,0.3,586,36,180.2,123.06,400,3.7
149,2026-11-11,0.3,800,36,180.2,123.06,400,3.7
149,2026-11-11,0.3,160,33,183.3,112.87,160,3.5
149,2026-11-11,0.3,373,33,183.3,112.87,373,3.5
149,2026-11-11,0.3,586,33,183.3,112.87,400,3.5
149,2026-11-11,0.3,800,33,183.3,112.87,400,3.5
149,2026-11-11,0.3,160,79,565.0,275.91,160,5.8
149,2026-11-11,0.3,373,79,610.6,264.81,373,5.8
149,2026-11-11,0.3,586,79,610.6,264.81,400,5.8
149,2026-11-11,0.3,800,79,610.6,264.81,400,5.8
149,2026-11-11,0.3,160,77,421.1,254.06,160,5.7
149,2026-11-11,0.3,373,77,421.1,254.06,373,5.7
149,2026-11-11,0.3,586,77,421.1,254.06,400,5.7
149,2026-11-11,0.3,800,77,421.1,254.06,400,5.7
149,2026-11-11,0.3,160,63,117.3,217.54,160,5.1
149,2026-11-11,0.3,373,63,117.3,217.54,373,5.1
149,2026-11-11,0.3,586,63,117.3,217.54,400,5.1
149,2026-11-11,0.3,800,63,117.3,217.54,400,5.1
149,2026-11-11,0.3,160,36,148.5,132.59,160,3.7
149,2026-11-11,0.3,373,36,148.5,132.59,373,3.7
149,2026-11-11,0.3,586,36,148.5,132.59,400,3.7
149,2026-11-11,0.3,800,36,148.5,132.59,400,3.7
149,2026-11-11,0.3,160,19,150.7,61.34,160,2.8
149,2026-11-11,0.3,373,19,148.5,53.71,373,2.8
149,2026-11-11,0.3,586,19,148.5,53.71,400,2.8
149,2026-11-11,0.3,800,19,148.5,53.71,400,2.8
149,2026-11-11,0.3,160,12,170.3,31.8,160,2.4
149,2026-11-11,0.3,373,12,170.3,31.8,373,2.4
149,2026-11-11,0.3,586,12,170.3,31.8,400,2.4
149,2026-11-11,0.3,800,12,170.3,31.8,400,2.4
149,2026-11-11,0.3,160,12,230.2,35.31,160,2.4
149,2026-11-11,0.3,373,12,230.2,35.31,373,2.4
149,2026-11-11,0.3,586,12,230.2,35.31,400,2.4
149,2026-11-11,0.3,800,12,230.2,35.31,400,2.4
149,2026-11-11,0.3,160,66,227.7,226.98,160,5.2
149,2026-11-11,0.3,373,66,232.7,217.63,373,5.2
149,2026-11-11,0.3,586,66,232.7,217.63,400,5.2
149,2026-11-11,0.3,800,66,232.7,217.63,400,5.2
149,2026-11-11,0.3,160,68,229.9,245.54,160,5.3
149,2026-11-11,0.3,373,68,241.4,244.24,373,5.3
149,2026-11-11,0.3,586,68,241.4,244.24,400,5.3
149,2026-11-11,0.3,800,68,241.4,244.24,400,5.3
149,2026-11-11,0.3,160,70,212.2,246.81,160,5.4
149,2026-11-11,0.3,373,70,212.2,246.81,373,5.4
149,2026-11-11,0.3,586,70,196.0,239.83,400,5.4
149,2026-11-11,0.3,800,70,196.0,239.83,400,5.4
149,2026-11-11,0.3,160,67,236.4,217.72,160,5.2
149,2026-11-11,0.3,373,67,236.4,217.72,373,5.2
149,2026-11-11,0.3,586,67,236.4,217.72,400,5.2
149,2026-11-11,0.3,800,67,236.4,217.72,400,5.2
149,2026-11-11,0.3,160,66,202.5,225.62,160,5.2
149,2026-11-11,0.3,373,66,229.7,224.74,373,5.2
149,2026-11-11,0.3,586,66,229.7,224.74,400,5.2
149,2026-11-11,0.3,800,66,229.7,224.74,400,5.2
149,2026-11-11,0.3,160,77,247.2,265.58,160,5.7
149,2026-11-11,0.3,373,77,247.2,265.58,373,5.7
149,2026-11-11,0.3,586,77,247.2,265.58,400,5.7
149,2026-11-11,0.3,800,77,247.2,265.58,400,5.7
149,2026-11-11,0.3,160,78,261.2,273.01,160,5.7
149,2026-11-11,0.3,373,78,254.5,262.4,373,5.7
149,2026-11-11,0.3,586,78,254.5,262.4,400,5.7
149,2026-11-11,0.3,800,78,254.5,262.4,400,5.7
149,2026-11-11,0.3,160,68,322.8,235.96,160,5.2
149,2026-11-11,0.3,373,68,322.8,235.96,373,5.2
149,2026-11-11,0.3,586,68,322.8,235.96,400,5.2
149,2026-11-11,0.3,800,68,322.8,235.96,400,5.2
149,2026-11-11,0.3,160,66,250.3,230.18,160,5.1
149,2026-11-11,0.3,373,66,250.3,230.18,373,5.1
149,2026-11-11,0.3,586,66,250.3,230.18,400,5.1
149,2026-11-11,0.3,800,66,250.3,230.18,400,5.1
149,2026-11-11,0.3,160,94,544.8,312.73,160,6.5
149,2026-11-11,0.3,373,94,544.8,312.73,373,6.5
149,2026-11-11,0.3,586,94,544.8,312.73,400,6.5
149,2026-11-11,0.3,800,94,544.8,312.73,400,6.5
149,2026-11-11,0.3,160,45,237.3,145.71,160,4.2
149,2026-11-11,0.3,373,45,289.1,133.25,373,4.2
149,2026-11-11,0.3,586,45,289.1,133.25,400,4.2
149,2026-11-11,0.3,800,45,289.1,133.25,400,4.2
149,2026-11-11,0.3,160,41,277.5,125.85,160,3.9
149,2026-11-11,0.3,373,41,277.5,125.85,373,3.9
149,2026-11-11,0.3,586,41,277.5,125.85,400,3.9
149,2026-11-11,0.3,800,41,277.5,125.85,400,3.9
149,2026-11-11,0.3,160,36,211.0,103.22,160,3.7
149,2026-11-11,0.3,373,36,334.9,98.98,373,3.7
149,2026-11-11,0.3,586,36,302.8,98.65,400,3.7
149,2026-11-11,0.3,800,36,302.8,98.65,400,3.7
149,2026-11-11,0.3,160,17,328.2,46.77,160,2.7
149,2026-11-11,0.3,373,17,328.2,46.77,373,2.7
149,2026-11-11,0.3,586,17,328.2,46.77,400,2.7
149,2026-11-11,0.3,800,17,328.2,46.77,400,2.7
149,2026-11-11,0.3,160,88,310.6,316.71,160,6.2
149,2026-11-11,0.3,373,88,348.2,311.02,373,6.2
149,2026-11-11,0.3,586,88,348.2,311.02,400,6.2
149,2026-11-11,0.3,800,88,348.2,311.02,400,6.2
149,2026-11-11,0.3,160,75,348.7,259.03,160,5.5
149,2026-11-11,0.3,373,75,348.7,259.03,373,5.5
149,2026-11-11,0.3,586,75,348.7,259.03,400,5.5
149,2026-11-11,0.3,800,75,348.7,259.03,400,5.5
149,2026-11-11,0.3,160,48,314.9,162.16,160,4.3
149,2026-11-11,0.3,373,48,369.6,158.17,373,4.3
149,2026-11-11,0.3,586,48,369.6,158.17,400,4.3
149,2026-11-11,0.3,800,48,369.6,158.17,400,4.3
149,2026-11-11,0.3,160,63,384.2,238.68,160,5.0
149,2026-11-11,0.3,373,63,384.2,238.68,373,5.0
149,2026-11-11,0.3,586,63,384.2,238.68,400,5.0
149,2026-11-11,0.3,800,63,384.2,238.68,400,5.0
149,2026-11-11,0.3,160,37,421.3,106.98,160,3.7
149,2026-11-11,0.3,373,37,401.7,106.31,373,3.7
149,2026-11-11,0.3,586,37,401.7,106.31,400,3.7
149,2026-11-11,0.3,800,37,401.7,106.31,400,3.7
149,2026-11-11,0.3,160,89,483.5,323.12,160,6.3
149,2026-11-11,0.3,373,89,404.7,315.5,373,6.3
