city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,10,122.6,28.32,160,151.1
149,2026-11-11,0.3,373,10,122.6,28.32,373,151.1
149,2026-11-11,0.3,586,10,122.6,28.32,400,151.1
149,2026-11-11,0.3,800,10,122.6,28.32,400,151.1
149,2026-11-11,0.3,160,14,90.6,47.41,160,158.8
149,2026-11-11,0.3,373,14,90.6,47.41,373,158.8
149,2026-11-11,0.3,586,14,90.6,46.95,400,158.8
149,2026-11-11,0.3,800,14,90.6,46.95,400,158.8
149,2026-11-11,0.3,160,38,90.6,229.72,160,428.6
149,2026-11-11,0.3,373,38,90.6,224.7,373,428.6
149,2026-11-11,0.3,586,38,90.6,224.7,400,428.6
149,2026-11-11,0.3,800,38,90.6,224.7,400,428.6
149,2026-11-11,0.3,160,32,90.6,157.82,160,350.9
149,2026-11-11,0.3,373,32,90.6,153.97,373,350.9
149,2026-11-11,0.3,586,32,90.6,153.97,400,350.9
149,2026-11-11,0.3,800,32,90.6,153.97,400,350.9
149,2026-11-11,0.3,160,28,90.6,141.99,160,290.2
149,2026-11-11,0.3,373,28,90.6,141.99,373,290.2
149,2026-11-11,0.3,586,28,90.6,141.99,400,290.2
149,2026-11-11,0.3,800,28,90.6,141.99,400,290.2
149,2026-11-11,0.3,160,37,90.6,208.43,160,387.0
149,2026-11-11,0.3,373,37,90.6,198.9,373,387.0
149,2026-11-11,0.3,586,37,90.6,198.9,400,387.0
149,2026-11-11,0.3,800,37,90.6,198.9,400,387.0
149,2026-11-11,0.3,160,29,90.6,132.24,160,269.1
149,2026-11-11,0.3,373,29,90.6,132.24,373,269.1
149,2026-11-11,0.3,586,29,90.6,132.24,400,269.1
149,2026-11-11,0.3,800,29,90.6,132.24,400,269.1
149,2026-11-11,0.3,160,26,94.2,122.78,160,213.5
149,2026-11-11,0.3,373,26,94.2,115.85,373,213.5
149,2026-11-11,0.3,586,26,94.2,115.85,400,213.5
149,2026-11-11,0.3,800,26,94.2,115.85,400,213.5
149,2026-11-11,0.3,160,6,148.6,22.17,160,42.8
149,2026-11-11,0.3,373,6,148.6,22.17,373,42.8
149,2026-11-11,0.3,586,6,148.6,22.17,400,42.8
149,2026-11-11,0.3,800,6,148.6,22.17,400,42.8
149,2026-11-11,0.3,160,15,176.3,65.02,160,99.3
149,2026-11-11,0.3,373,15,176.3,57.64,373,99.3
149,2026-11-11,0.3,586,15,176.3,57.64,400,99.3
149,2026-11-11,0.3,800,15,176.3,57.64,400,99.3
149,2026-11-11,0.3,160,34,212.3,173.79,160,294.7
149,2026-11-11,0.3,373,34,222.4,166.38,373,294.8
149,2026-11-11,0.3,586,34,222.4,166.38,400,294.8
149,2026-11-11,0.3,800,34,222.4,166.38,400,294.8
149,2026-11-11,0.3,160,35,239.7,188.94,160,297.8
149,2026-11-11,0.3,373,35,212.3,177.42,373,297.8
149,2026-11-11,0.3,586,35,212.3,177.42,400,297.8
149,2026-11-11,0.3,800,35,212.3,177.42,400,297.8
149,2026-11-11,0.3,160,32,215.9,164.28,160,243.6
149,2026-11-11,0.3,373,32,218.3,157.5,373,243.6
149,2026-11-11,0.3,586,32,218.3,157.5,400,243.6
149,2026-11-11,0.3,800,32,218.3,157.5,400,243.6
149,2026-11-11,0.3,160,36,212.3,191.46,160,288.7
149,2026-11-11,0.3,373,36,212.3,183.87,373,288.7
149,2026-11-11,0.3,586,36,212.3,183.87,400,288.7
149,2026-11-11,0.3,800,36,212.3,183.87,400,288.7
844,2026-11-11,0.3,12,1,0.0,14.19,12,3.6
844,2026-11-11,0.3,28,1,0.0,14.19,28,3.6
844,2026-11-11,0.3,44,1,0.0,14.19,30,3.6
844,2026-11-11,0.3,60,1,0.0,14.19,30,3.6
