city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,6,32.1,37.11,160,70.9
149,2026-11-11,0.3,373,6,32.1,35.64,373,70.9
149,2026-11-11,0.3,586,6,32.1,35.64,400,70.9
149,2026-11-11,0.3,800,6,32.1,35.64,400,70.9
149,2026-11-11,0.3,160,11,61.1,59.35,160,119.2
149,2026-11-11,0.3,373,11,32.1,54.83,373,119.2
149,2026-11-11,0.3,586,11,32.1,54.83,400,119.2
149,2026-11-11,0.3,800,11,32.1,54.83,400,119.2
149,2026-11-11,0.3,160,18,32.1,106.27,160,192.5
149,2026-11-11,0.3,373,18,32.1,106.27,373,192.5
149,2026-11-11,0.3,586,18,32.1,106.27,400,192.5
149,2026-11-11,0.3,800,18,32.1,106.27,400,192.5
149,2026-11-11,0.3,160,10,32.1,52.36,160,77.5
149,2026-11-11,0.3,373,10,32.1,44.98,373,77.5
149,2026-11-11,0.3,586,10,32.1,44.98,400,77.5
149,2026-11-11,0.3,800,10,32.1,44.98,400,77.5
149,2026-11-11,0.3,160,24,84.4,146.49,160,244.2
149,2026-11-11,0.3,373,24,84.4,146.49,373,244.2
149,2026-11-11,0.3,586,24,84.4,146.49,400,244.2
149,2026-11-11,0.3,800,24,84.4,146.49,400,244.2
149,2026-11-11,0.3,160,16,32.1,83.74,160,141.3
149,2026-11-11,0.3,373,16,32.1,78.89,373,141.3
149,2026-11-11,0.3,586,16,32.1,78.89,400,141.3
149,2026-11-11,0.3,800,16,32.1,78.89,400,141.3
149,2026-11-11,0.3,160,17,32.1,84.4,160,142.7
149,2026-11-11,0.3,373,17,32.1,84.4,373,142.7
149,2026-11-11,0.3,586,17,32.1,84.4,400,142.7
149,2026-11-11,0.3,800,17,32.1,84.4,400,142.7
149,2026-11-11,0.3,160,13,32.1,70.2,160,83.8
149,2026-11-11,0.3,373,13,32.1,70.2,373,83.8
149,2026-11-11,0.3,586,13,32.1,70.2,400,83.8
149,2026-11-11,0.3,800,13,32.1,70.2,400,83.8
149,2026-11-11,0.3,160,24,101.7,139.9,160,202.3
149,2026-11-11,0.3,373,24,101.7,139.9,373,202.3
149,2026-11-11,0.3,586,24,101.7,139.9,400,202.3
149,2026-11-11,0.3,800,24,101.7,139.9,400,202.3
149,2026-11-11,0.3,160,23,106.7,132.0,160,181.4
149,2026-11-11,0.3,373,23,81.6,129.68,373,181.4
149,2026-11-11,0.3,586,23,81.6,129.68,400,181.4
149,2026-11-11,0.3,800,23,81.6,129.68,400,181.4
149,2026-11-11,0.3,160,18,101.7,92.74,160,112.7
149,2026-11-11,0.3,373,18,79.4,91.26,373,112.8
149,2026-11-11,0.3,586,18,79.4,91.26,400,112.8
149,2026-11-11,0.3,800,18,79.4,91.26,400,112.8
149,2026-11-11,0.3,160,14,122.4,97.73,160,69.0
149,2026-11-11,0.3,373,14,122.4,97.73,373,69.0
149,2026-11-11,0.3,586,14,122.4,97.73,400,69.0
149,2026-11-11,0.3,800,14,122.4,97.73,400,69.0
149,2026-11-11,0.3,160,23,134.4,138.22,160,150.7
149,2026-11-11,0.3,373,23,163.4,126.55,373,150.7
149,2026-11-11,0.3,586,23,163.4,126.55,400,150.7
149,2026-11-11,0.3,800,23,163.4,126.55,400,150.7
149,2026-11-11,0.3,160,22,166.4,130.77,160,129.9
149,2026-11-11,0.3,373,22,134.4,124.62,373,129.9
149,2026-11-11,0.3,586,22,134.4,124.62,400,129.9
149,2026-11-11,0.3,800,22,134.4,124.62,400,129.9
149,2026-11-11,0.3,160,18,163.4,113.46,160,77.7
149,2026-11-11,0.3,373,18,134.4,107.03,373,77.7
149,2026-11-11,0.3,586,18,134.4,107.03,400,77.7
149,2026-11-11,0.3,800,18,134.4,107.03,400,77.7
149,2026-11-11,0.3,160,21,189.4,116.99,160,85.3
149,2026-11-11,0.3,373,21,189.4,116.99,373,85.3
149,2026-11-11,0.3,586,21,189.4,116.99,400,85.3
149,2026-11-11,0.3,800,21,189.4,116.99,400,85.4
149,2026-11-11,0.3,160,20,163.4,137.49,160,81.7
149,2026-11-11,0.3,373,20,134.4,122.94,373,81.7
149,2026-11-11,0.3,586,20,185.8,120.18,400,81.7
149,2026-11-11,0.3,800,20,185.8,120.18,400,81.8
149,2026-11-11,0.3,160,14,134.4,75.89,160,48.8
149,2026-11-11,0.3,373,14,134.4,75.89,373,48.8
149,2026-11-11,0.3,586,14,134.4,75.89,400,48.8
149,2026-11-11,0.3,800,14,134.4,75.89,400,48.8
149,2026-11-11,0.3,160,41,372.9,267.85,160,327.2
149,2026-11-11,0.3,373,41,372.9,267.85,373,327.2
