city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,23,0.0,116.45,160,202.3
149,2026-11-11,0.3,373,23,0.0,116.45,373,202.3
149,2026-11-11,0.3,586,23,0.0,102.82,400,202.3
149,2026-11-11,0.3,800,23,0.0,102.82,400,202.3
149,2026-11-11,0.3,160,23,23.9,108.78,160,183.1
149,2026-11-11,0.3,373,23,23.9,108.78,373,183.1
149,2026-11-11,0.3,586,23,23.9,108.78,400,183.1
149,2026-11-11,0.3,800,23,23.9,108.78,400,183.1
149,2026-11-11,0.3,160,24,28.7,118.64,160,141.4
149,2026-11-11,0.3,373,24,28.7,115.93,373,141.4
149,2026-11-11,0.3,586,24,28.7,115.93,400,141.4
149,2026-11-11,0.3,800,24,28.7,115.93,400,141.4
149,2026-11-11,0.3,160,25,28.7,113.28,160,134.0
149,2026-11-11,0.3,373,25,28.7,113.28,373,134.0
149,2026-11-11,0.3,586,25,28.7,113.28,400,134.0
149,2026-11-11,0.3,800,25,28.7,113.28,400,134.0
149,2026-11-11,0.3,160,24,28.7,110.05,160,107.9
149,2026-11-11,0.3,373,24,28.7,110.05,373,107.9
149,2026-11-11,0.3,586,24,28.7,110.05,400,107.9
149,2026-11-11,0.3,800,24,28.7,110.05,400,107.9
149,2026-11-11,0.3,160,24,28.7,114.16,160,107.5
149,2026-11-11,0.3,373,24,28.7,114.16,373,107.5
149,2026-11-11,0.3,586,24,28.7,114.16,400,107.5
149,2026-11-11,0.3,800,24,28.7,114.16,400,107.5
149,2026-11-11,0.3,160,21,28.7,102.54,160,100.1
149,2026-11-11,0.3,373,21,28.7,102.54,373,100.1
149,2026-11-11,0.3,586,21,28.7,102.54,400,100.1
149,2026-11-11,0.3,800,21,28.7,102.54,400,100.1
149,2026-11-11,0.3,160,20,179.5,118.59,160,106.5
149,2026-11-11,0.3,373,20,179.5,118.59,373,106.5
149,2026-11-11,0.3,586,20,179.5,118.59,400,106.5
149,2026-11-11,0.3,800,20,179.5,118.59,400,106.5
149,2026-11-11,0.3,160,20,161.9,119.73,160,85.8
149,2026-11-11,0.3,373,20,161.9,119.73,373,85.8
149,2026-11-11,0.3,586,20,161.9,119.73,400,85.8
149,2026-11-11,0.3,800,20,161.9,119.73,400,85.8
149,2026-11-11,0.3,160,20,212.0,115.24,160,79.6
149,2026-11-11,0.3,373,20,245.4,112.56,373,79.6
149,2026-11-11,0.3,586,20,245.4,112.56,400,79.6
149,2026-11-11,0.3,800,20,245.4,112.56,400,79.6
149,2026-11-11,0.3,160,19,330.8,114.8,160,70.0
149,2026-11-11,0.3,373,19,267.8,111.13,373,70.0
149,2026-11-11,0.3,586,19,267.8,111.13,400,70.0
149,2026-11-11,0.3,800,19,267.8,111.13,400,70.0
149,2026-11-11,0.3,160,22,424.2,120.64,160,83.2
149,2026-11-11,0.3,373,22,424.2,120.64,373,83.2
149,2026-11-11,0.3,586,22,424.2,120.64,400,83.3
