city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,36,59.4,238.38,160,426.9
149,2026-11-11,0.3,373,36,79.9,216.92,373,426.9
149,2026-11-11,0.3,586,36,79.9,216.92,400,426.9
149,2026-11-11,0.3,800,36,79.9,216.92,400,426.9
149,2026-11-11,0.3,160,34,0.0,236.2,160,329.2
149,2026-11-11,0.3,373,34,0.0,225.67,373,329.2
149,2026-11-11,0.3,586,34,0.0,225.67,400,329.2
149,2026-11-11,0.3,800,34,0.0,225.67,400,329.2
149,2026-11-11,0.3,160,35,0.0,225.55,160,318.9
149,2026-11-11,0.3,373,35,0.0,225.55,373,318.9
149,2026-11-11,0.3,586,35,0.0,225.55,400,318.9
149,2026-11-11,0.3,800,35,0.0,225.55,400,318.9
149,2026-11-11,0.3,160,35,0.0,217.05,160,294.6
149,2026-11-11,0.3,373,35,0.0,209.59,373,294.6
149,2026-11-11,0.3,586,35,0.0,209.59,400,294.6
149,2026-11-11,0.3,800,35,0.0,209.59,400,294.6
149,2026-11-11,0.3,160,27,0.0,179.47,160,280.8
149,2026-11-11,0.3,373,27,17.4,168.46,373,280.8
149,2026-11-11,0.3,586,27,17.4,168.46,400,280.8
149,2026-11-11,0.3,800,27,17.4,168.46,400,280.8
149,2026-11-11,0.3,160,25,0.0,154.83,160,261.0
149,2026-11-11,0.3,373,25,14.8,150.85,373,261.0
149,2026-11-11,0.3,586,25,14.8,150.85,400,261.0
149,2026-11-11,0.3,800,25,14.8,150.85,400,261.0
149,2026-11-11,0.3,160,22,0.0,130.5,160,221.4
149,2026-11-11,0.3,373,22,0.0,130.5,373,221.4
149,2026-11-11,0.3,586,22,0.0,130.5,400,221.4
149,2026-11-11,0.3,800,22,0.0,130.5,400,221.4
149,2026-11-11,0.3,160,20,0.0,115.35,160,199.4
149,2026-11-11,0.3,373,20,17.4,112.6,373,199.4
149,2026-11-11,0.3,586,20,17.4,112.6,400,199.4
149,2026-11-11,0.3,800,20,17.4,112.6,400,199.4
149,2026-11-11,0.3,160,18,17.4,98.29,160,177.4
149,2026-11-11,0.3,373,18,0.0,96.92,373,177.4
149,2026-11-11,0.3,586,18,0.0,96.92,400,177.4
149,2026-11-11,0.3,800,18,0.0,96.92,400,177.4
149,2026-11-11,0.3,160,19,68.4,100.61,160,179.6
149,2026-11-11,0.3,373,19,59.6,98.6,373,179.7
149,2026-11-11,0.3,586,19,59.6,98.6,400,179.7
149,2026-11-11,0.3,800,19,59.6,98.6,400,179.7
149,2026-11-11,0.3,160,20,53.5,117.17,160,198.3
149,2026-11-11,0.3,373,20,40.0,105.82,373,198.3
149,2026-11-11,0.3,586,20,40.0,105.82,400,198.3
149,2026-11-11,0.3,800,20,40.0,105.82,400,198.3
149,2026-11-11,0.3,160,19,75.2,107.03,160,181.1
149,2026-11-11,0.3,373,19,75.2,107.03,373,181.1
149,2026-11-11,0.3,586,19,75.2,107.03,400,181.1
149,2026-11-11,0.3,800,19,75.2,107.03,400,181.1
149,2026-11-11,0.3,160,16,88.4,82.98,160,124.6
149,2026-11-11,0.3,373,16,88.4,82.98,373,124.6
149,2026-11-11,0.3,586,16,88.4,82.98,400,124.6
149,2026-11-11,0.3,800,16,88.4,82.98,400,124.6
1,2026-11-11,0.3,80,15,21.8,116.57,80,26.5
1,2026-11-11,0.3,186,15,21.8,116.57,186,26.5
1,2026-11-11,0.3,293,15,21.8,116.57,200,26.5
1,2026-11-11,0.3,400,15,21.8,116.57,200,26.5
1,2026-11-11,0.3,80,12,21.8,75.49,80,23.0
1,2026-11-11,0.3,186,12,21.8,75.49,186,23.0
1,2026-11-11,0.3,293,12,21.8,75.49,200,23.0
1,2026-11-11,0.3,400,12,21.8,75.49,200,23.0
1,2026-11-11,0.3,80,6,21.8,14.57,80,11.5
1,2026-11-11,0.3,186,6,21.8,14.57,186,11.5
1,2026-11-11,0.3,293,6,21.8,14.57,200,11.5
1,2026-11-11,0.3,400,6,21.8,14.57,200,11.5
126,2026-11-11,0.3,12,3,0.0,27.97,12,3.6
126,2026-11-11,0.3,28,3,0.0,27.97,28,3.6
126,2026-11-11,0.3,44,3,0.0,27.97,30,3.6
126,2026-11-11,0.3,60,3,0.0,27.97,30,3.6
150,2026-11-11,0.3,12,1,0.0,8.78,12,3.1
150,2026-11-11,0.3,28,1,0.0,8.78,28,3.1
150,2026-11-11,0.3,44,1,0.0,8.78,30,3.1
150,2026-11-11,0.3,60,1,0.0,8.78,30,3.1
844,2026-11-11,0.3,12,1,0.0,9.5,12,3.1
844,2026-11-11,0.3,28,1,0.0,9.5,28,3.1
844,2026-11-11,0.3,44,1,0.0,9.5,30,3.1
844,2026-11-11,0.3,60,1,0.0,9.5,30,3.1
1004,2026-11-11,0.3,80,12,193.5,153.71,80,26.2
1004,2026-11-11,0.3,186,12,193.5,153.71,186,26.2
1004,2026-11-11,0.3,293,12,193.5,153.71,200,26.2
1004,2026-11-11,0.3,400,12,193.5,153.71,200,26.2
1004,2026-11-11,0.3,80,11,183.9,166.75,80,24.1
1004,2026-11-11,0.3,186,11,183.9,166.75,186,24.1
1004,2026-11-11,0.3,293,11,183.9,166.75,200,24.1
1004,2026-11-11,0.3,400,11,183.9,166.75,200,24.1
1004,2026-11-11,0.3,80,9,248.5,184.27,80,15.5
1004,2026-11-11,0.3,186,9,248.5,184.27,186,15.5
1004,2026-11-11,0.3,293,9,248.5,184.27,200,15.5
1004,2026-11-11,0.3,400,9,248.5,184.27,200,15.5
